Entity Name,Alternative Name,Type,Tag
Cookery,,Tartar horse,No
Cooper,,"T.T., traveller on Tibetan frontier",No
Copper,,token currency of Mahomed Tughlak,No
Copper,,imported to Malabar,No
Copper,,to Cambay,No
Coral,,"valued in Kashmir, Tibet, etc",No
Corea,Kauli,,No
Corn,,Emperor’s store and distribution of,No
Coromandel,Maabar,/see/ Mabar,No
Corsairs,,/see/ Pirates,No
Corte del Milione,,/see/ Ca’ Polo,No
Corte del Milione,,—— Sabbionera at Venice,No
Cosmography,,mediaeval,No
Cosmography,,/Costus/,No
Cotan,,/see/ Khotan,Location
Cotton,,stuffs of,No
Cotton,,at Merdin,No
Cotton,,in Persia,No
Cotton,,at Kashgar,No
Cotton,,Yarkand,No
Cotton,,Khotan,No
Cotton,,Pein,No
Cotton,,Bengal,No
Cotton,,bushes of gigantic size,No
Counts in Vokhan,,,No
Counts in Vokhan,,at Dofar,No
Courts of Justice,,at Kinsay,No
Courts of Justice,,"/Couvade/, custom of",No
Cow-dung,,its use in Maabar,No
Cowell,,Professor,No
Cowries ,,"pig shells), used for money, etc.",No
Cowries ,,procured from Locac,No
Cowries ,,"/Cralantur/, its meaning (?)",No
Cramoisy,,,No
Cranes,,five kinds of,No
Crawford,,John,No
Cremation,,,No
Cremation,,in Middle Ages,No
Cremesor,,Hot Region (Garmsir),Location
Çribhõja,Çribhôdja,country,Location
Crocodiles,,/see/ Alligators,No
Cross,,legend of the Tree of the,No
Cross,,"gibes against, on Nayan’s defeat",No
Cross,,on monument at Singanfu,No
Crossbows,,,No
Cruelties,,Tartar,No
Cruelties,,/Crusca MS./ of Polo,No
Cubeb pepper,,,No
Cubits,,astronomical altitude estimated by,No
Cublay,,/see/ Kúblái,Person
Cucintana,,,No
Cudgel,,Tartars’ use of,No
Cuiju,Kwei-chau,province,Location
Cuinet,,"Vital, on Turkman villages",No
Cuinet,,on Mosul Kurds,No
Cuirbouly,,,No
Cuju,,,No
Cuncun ,Han–Chung,province,Location
Cunningham,,General A,Person
Cups,,flying,No
Curds and Curdistan,,,No
Currency,,"copper token, in India",No
Currency,,salt,No
Currency,,leather,No
Currency,,"Cowrie, /see/ Cowries",No
Currency,,"paper, in China",No
Currency,,attempt to institute in Persia,No
Currency,,alluded to,No
Current,,strong south along East Coast of Africa,No
Currents,,"Cape of, or Corrientes",No
Curtains,,Persian,No
Curzola Island,,Genoese victory at,Location
Curzola Island,,Polo’s galley at,Location
Curzola Island,,map of,Location
Curzon,,Lord,No
Curzon,,list of Pamirs,No
Curzon,,"—— Hon. R., on invention of printing",No
Customs,,Custom-houses,No
Cutch pirates,,,No
Cuxstac,,Kuhestec,No
Cuy Khan,Kuyuk,,Person
Cycle,,Chinese,No
Cycle,,"/Cynocephali/, the",No
Cypresses,,"sacred, of the Magians",No
Cyprus,,,No
Cyrus,,his use of camels in battle near Sardis,No
Cyrus,,,No
Dabul,,,No
Dabul,,"/Dadián/, title of Georgian kings",No
Da Gama,,,Person
Dagroian,,"kingdom of, in Sumatra",Location
Dagroian,,probable position of,Location
Dailiu,Tali,,No
Daïtu,,"Taidu, Tatu (Peking), Kúblái’s new city of Cambaluc",Location
Dakiánus,,city of (Camadi),Location
Dakiánus,,"/Dalada/, tooth relique of Buddha",No
Dalai Lama,,with four hands,Person
D’Alboquerque,,,No
Dalivar,,"Dilivar, Diláwar (Lahore), a province of India",Location
Dalmian,,,No
Damas,,,No
Damascus,,,Location
Damascus,,siege of,Location
Damasks,,with /cheetas/ in them,No
Damasks,,with giraffes,No
Damasks,,(/see/ also Patterns.),No
Damghan,,,No
Dancing dervishes,,,No
Dancing girls,,in Hindu temples,No
Dandolo,,"Andrea, Admiral of Venetian fleet at Curzola",Person
Dandolo,,his captivity and suicide,Person
Dandolo,,funeral at Venice,Person
D’Anghieria,,Pietro Martire,No
Dantapura,,,No
Dante,,number of MSS.,No
Dante,,does not allude to Polo,No
Dante,,/Convito/,No
D’Anville’s Map,,,No
Darábjird,,,No
Darah,,,No
Dárápur,,,No
Dárápur,,"/Dardas/, stuff embroidered in gold",No
Dariel,,Pass of (Gate of the Alans),No
Darius,,,Person
Darius,,the Golden King,Person
Dark Ocean of the South,,,No
Darkness,,magical,No
Darkness,,—— land of,No
Darkness,,how the Tartars find their way out,No
Darkness,,the people and their peltry,No
Darkness,,Alexander’s legendary entrance into,No
Darkness,,Dumb trade of,No
Darkness,,"/Darráj/, black partridge, its peculiar call",No
Darúná,,salt mines,No
Darwaz,,,No
Dasht,,"or Plain, of Bahárak",No
Dashtáb,,hot springs,No
Dasht-i-Lut ,Tali,,No
Dashtistan tribe and district,,,No
Dates (chronology) in Polo’s book,,generally erroneous,No
Dates (chronology) in Polo’s book,,—— (trees or fruit),No
Dates (chronology) in Polo’s book,,Basra,No
Dates (chronology) in Polo’s book,,Bafk,No
Dates (chronology) in Polo’s book,,"Reobarles, province",No
Dates (chronology) in Polo’s book,,Formosa Plain,No
Dates (chronology) in Polo’s book,,Hormos,No
Dates (chronology) in Polo’s book,,wine of,No
Dates (chronology) in Polo’s book,,"diet of fish, etc",No
Daughters of Marco Polo,,,No
D’Avezac,,M,No
David,,king of Abyssinia,Person
David,,king of Georgia (Dawith),Person
Davids,,"Professor T.W. Rhys, /Buddhist Birth Stories/",No
Davis,,Sir John F,No
Dawaro,,,No
Daya,,,No
Dead,,"disposal of the, in Tangut",No
Dead,,at Cambaluc,No
Dead,,in Coloman,No
Dead,,in China,No
Dead,,in Dagroian,No
Dead,,by the Battas,No
Dead,,"—— burning of the, /see/ Cremation",No
Dead,,"eating the, /see/ Cannibalism",No
De Barros,,,No
De Barros,,on Java,No
De Barros,,Singhapura,No
De Barros,,Janifs,No
Debt,,singular arrest for,No
Debt,,"/Decima/, or Tithe on bequest",No
Decimal organisation of Tartar armies,,,No
Decius,,Emperor,Person
Degháns,,Dehgáns,No
Dehánah,,village,Location
Deh Bakri,,,No
De la Croix,,Pétis,No
Delhi,,Sultans of,Location
D’Ely,,"Mount, /see/ Eli",No
Demoiselle Crane,,/anthropoides virgo/,No
Deogir,,,No
Derbend,,Wall of (/see/ also Iron Gate of.),No
Deserts,,haunted,No
Deserts of Kerman or of Lút,,,Location
Deserts of Kerman or of Lút,,of Khorasan,Location
Deserts of Kerman or of Lút,,of Charchan,Location
Deserts of Kerman or of Lút,,Lop (Gobi),Location
Deserts of Kerman or of Lút,,Kharakorum,Location
Desgodins,,Abbé,No
Despina Khatun,,,No
Devadási,,,No
Devapattan,,,No
Devéria,,G,No
Devil-dancing,,,No
Devil trees,,,No
Devils,,White,No
D’Evreux,,Father Yves,No
Dhafar,Dofar,Thafar),No
Dhafar,,its incense,No
Dhafar,,two places of the name,No
Dhafar,,"/Dhárani/, mystic charms",No
Dhúlkarnain,,/see/ Zulkarnain,No
Dialects,,Chinese,No
Diamonds in India,,how found,No
Diamonds in India,,mines of,No
Diamonds in India,,diffusion of legend about,No
Diamonds in India,,“Diex Terrien”,No
Diláwar,,Polo’s Dihar,No
Dimitri II,,"Thawdadebuli, king of Georgia",Person
Dínár,,/see/ Bezant,No
Dinár of Red Gold,,,No
Dinh Tiên-hwàng,,king of An-nam,Person
Diocletian,,,No
Diocletian,,/Dioscorides insula/,No
Dir,,chief town of Panjkora,Location
Dirakht-i-Fazl,,,No
Dirakht-i-Kush,,,No
Diráwal,,ancient capital of the Bhattis,Location
Dirhem–Kub,,"Shah Mahomed, founder of Hormuz dynasty",No
Dish of Sakya or of Adam,,,No
Diu ,,City,Location
Diul–Sind,,Lower Sind,No
Divination by twigs or arrows,,,No
Dixan,,branding with cross at,No
Dizabulus,,pavilion of,No
Dizful River,,,lo0
Djaya,,turquoises,No
Doctors at Kinsay,,,No
Dofar,,/see/ Dhafar,No
Dogana,,,No
Dogana,,conjectures as to,No
Doghábah River,,,Location
Dog-headed races,,,No
Dogs,,the Khan’s mastiffs,No
Dogs,,of Tibet,No
Dogs,,fierce in Cuiju,No
Dog-sledging in Far North,,,No
Dog-sledging in Far North,,notes on dogs,No
Dolfino,,"Ranuzzo, husband of Polo’s daughter, Moreta",No
Dolonnúr,,,No
Dominicans,,sent with Polos but turn back,No
Dominicans,,"/D’ or plain/, the expression",No
Dorah Pass,,,No
Doria,,family at Meloria,No
Doria,,—— Lampa,No
Doria,,Admiral of Genoese Fleet sent to Adriatic,No
Doria,,his victory,No
Doria,,his tomb and descendants,No
Doria,,at Meloria with six sons,No
Doria,,"—— Octaviano, death of",No
Doria,,"—— Tedisio, exploring voyage of",No
Dorjé,,,No
D’Orléans,,Prince Henri,Person
Douglas,,Rev. Dr. C,No
Doyley,,Sir Fulke,No
Dragoian,Ta-hua-Mien,,Location
Dragoian,,/Draps entaillez/,Location
Drawers,,"enormous, of Badakhshan women",No
Dreams,,notable,No
Drums,,sound of in certain sandy districts,No
Drums,,/Dryabalanops Camphora/,No
Dua Khan,,,Person
Du Bose,,Rev. H.C,No
Ducat,,or sequin,No
Dudley,,/Arcano del Mare/,No
Duel,,mode in S. India of,No
Dufour,,on mediaeval artillery,No
Duhalde,,Plan of Ki-chau,No
Duhalde,,or T’si-ning chau,No
Dukuz Khatun,,,No
Dulcarnon,Zulkarnain,,No
Dulites,,,No
Dumas,,Alexander,No
Dumb trade,,,No
Duncan,,Rev. Moir,No
Duncan,,"/Dungen (Tungani)/, or converts",No
Duplicates in geography,,,No
Duplicates in geography,,/Dupu/,No
Dürer’s Map of Venice,,so-called,No
Durga Temple,,,No
Dursamand,,,No
Dursamand,,"/Dúsháb/, sweet liquor or syrup",No
Dust-storms,,,No
Duties,,on Great Kiang,No
Duties,,on goods at Kinsay and Zayton,No
Duties,,on horses,No
Duties,,at Hormuz,No
Duties,,(/See/ also Customs.),No
Dutthagamini,,king of Ceylon,Person
Dwara Samudra,,,No
Dzegun-tala,,name applied to Mongolia,No
Dzungaria,,,No
Dzungaria,,,No
Eagle mark on shoulder of Georgian kings,,,No
Eagles,,trained to kill large game,No
Eagles,,"—— white, in the Diamond Country",No
Eagle-wood,,origin of the name. (/See/ Lign-aloes.),No
Earth honoured,,,No
East,,"its state, circa, 1260",No
Ebony ,,,No
Edkins,,Rev,No
Edward I,,,No
Edward II,,correspondence with Tartar princes,No
Effeminacy,,in Chinese palaces,No
Eggs of Ruc and Aepyornis,,,No
Egrigaia,,province,Location
Ela,cardamom,,No
Elchidai,,,No
Elenovka,,,No
Elephantiasis,,,No
Elephants,,Kúblái carried on a timber bartizan by four,No
Elephants,,Kúblái’s,No
Elephants,,the king of Mien’s,Person
Elephants,,numbers of men alleged to be carried by,No
Elephants,,how the Tartars routed,No
Elephants,,wild,No
Elephants,,in Caugigu,No
Elephants,,Champa,No
Elephants,,Locac,No
Elephants,,Sumatra,No
Elephants,,Madagascar and Zanghibar,No
Elephants,,trade in teeth of,No
Elephants,,carried off by the Ruc,No
Elephants,,in Zanghibar,No
Elephants,,used in war,No
Elephants,,an error,No
Elephants,,Nubian,No
Elephants,,fable about,No
Elephants,,not bred in Abyssinia,No
Elephants,,training of African,No
Elephants,,war of the,No
Eli,,"Ely, Elly (Hili), kingdom of",Location
Elias,,Ney,No
Elixir vitae of the Jogis,,,No
Elliot,,Sir Walter,No
Emad,,"Ed-din Abu Thaher, founder of the Kurd dynasty",No
Embroidery of silk at Kerman,,,No
Embroidery of silk at Kerman,,leather in Guzerat,No
Empoli,,Giovanni d’,No
Empoli,,"/Empusa/, the Arabian Nesnás",No
Enchanters,,at Socotra,No
Enchantments,,of the Caraonas,No
Enchantments,,"(/See/ also Conjurers, Socerers.)",No
Engano Island,,legend,No
Engineering feat,,,No
Engineers,,their growing importance in Middle Ages,No
England,,Kúblái’s message to king of,Location
England,,correspondence of Tartar princes with kings of,Location
English trade and character in Asia,,,No
Enlightenment,,Land of,No
Enlightenment,,"/Erba/, poisonous plant or grass",No
Erculin,,Arculin (an animal),No
Erdeni Tso,Erdenidsu,or Erdeni Chao Monastery,No
Eremites ,Rishis,of Kashmir,No
Erguiul,,province,Location
Erivan,,,No
Erivan,,"/Erkeun/, (/Ye li ke un/), Mongol for Christians",No
Ermine,,,No
Erzinjan,,"Erzinga, Eriza (Arzinga)",Location
Erzrum,Arziron,,No
Erzrum,,"/Eschiel/, the word",No
Esher,Shehr,Es-shehr),Location
Esher,,"trade with India, incense, Ichthyophagi",Location
Esher,,singular sheep,Location
Essentemur,Isentimur,"Kúblái’s grandson, king of Carajan",Person
Essentemur,,"/Estimo/, Venetian, or forced loan",No
Etchmiadzin Monastery,,,No
Ethiopia and India,,confused,No
Ethiopian sheep,,,No
Etiquette of the Mongol Court,,,No
Etymologies,,,No
Etymologies,,/Balustrade/,No
Etymologies,,buckram,No
Etymologies,,Avigi,No
Etymologies,,Geliz (Ghellé),No
Etymologies,,Jatolic,No
Etymologies,,muslin,No
Etymologies,,baudekins,No
Etymologies,,cramoisy,No
Etymologies,,ondanique,No
Etymologies,,zebu,No
Etymologies,,carbine,No
Etymologies,,Dulcarnon,No
Etymologies,,balas,No
Etymologies,,azure and lazuli,No
Etymologies,,None,No
Etymologies,,Mawmet and Mummery,No
Etymologies,,salamander,No
Etymologies,,berrie,No
Etymologies,,barguerlac,No
Etymologies,,S’ling,No
Etymologies,,siclatoun,No
Etymologies,,Argon,No
Etymologies,,Tungani,No
Etymologies,,Guasmul,No
Etymologies,,chakór,No
Etymologies,,Jádú and Yadah,No
Etymologies,,Tafur,No
Etymologies,,Bacsi,No
Etymologies,,Sensin,No
Etymologies,,P’ungyi,No
Etymologies,,/carquois/,No
Etymologies,,Keshikán,No
Etymologies,,vernique,No
Etymologies,,"camut, borgal, shagreen",No
Etymologies,,Chinuchi or Chunichi,No
Etymologies,,Toscaol,No
Etymologies,,Bularguchi,No
Etymologies,,Fondaco,No
Etymologies,,Bailo,No
Etymologies,,comerque,No
Etymologies,,porcelain,No
Etymologies,,Sangon,No
Etymologies,,Faghfur,No
Etymologies,,"Manjanik, mangonel, mangle, etc.",No
Etymologies,,galingale,No
Etymologies,,Chini and Misri,No
Etymologies,,Satin,No
Etymologies,,"eagle-wood, aloes-wood",No
Etymologies,,"Bonús, Calamanz",No
Etymologies,,benzoni,No
Etymologies,,china pagoda,No
Etymologies,,Pacauca,No
Etymologies,,"Balanjar, a-muck",No
Etymologies,,Pariah,No
Etymologies,,Govi,No
Etymologies,,Avarian,No
Etymologies,,Abraiaman,No
Etymologies,,Choiach,No
Etymologies,,proques,No
Etymologies,,Tembul and Betel,No
Etymologies,,Sappan and Brazil,No
Etymologies,,Balladi,No
Etymologies,,Belledi,No
Etymologies,,Indigo baccadeo,No
Etymologies,,"Gatpaul, baboon",No
Etymologies,,Salami cinnamon,No
Etymologies,,[Greek: kómakon],No
Etymologies,,rook (in chess),No
Etymologies,,Aranie,No
Etymologies,,Erculin and Vair,No
Etymologies,,Miskál,No
Etymologies,,—— (of Proper Names),No
Etymologies,,Curd,No
Etymologies,,Dzungaria,No
Etymologies,,Chingintalas,No
Etymologies,,Cambuscan,No
Etymologies,,Oirad,No
Etymologies,,Kungurat,No
Etymologies,,Manzi,No
Etymologies,,Bayan,No
Etymologies,,Kinsay,No
Etymologies,,Japan,No
Etymologies,,Sornau,No
Etymologies,,Narkandam,No
Etymologies,,Ceylon,No
Etymologies,,Ma’bar,No
Etymologies,,Chilaw,No
Etymologies,,Mailapúr,No
Etymologies,,Sônagarpattanam,No
Etymologies,,"Punnei-Káyal, Káyal",No
Etymologies,,Kollam (Coilum),No
Etymologies,,Hili (Ely),No
Etymologies,,Cambaet,No
Etymologies,,Mangla and Nebila,No
Etymologies,,Socotra,No
Etymologies,,Colesseeah,No
Etymologies,,Caligine,No
Etymologies,,Aijaruc,No
Etymologies,,Nemej,No
Etymologies,,—— Chinese,No
Etzina,,,No
Eunuchs,,,No
Eunuchs,,procured from Bengal,No
Euphrates,,,No
Euphrates,,said to flow into the Caspian,No
Euphrates,,/Euphratesia/,No
Euxine,,/see/ Black Sea,Location
Evelyn’s /Diary/,,,No
Execution of Princes of the Blood,,mode of,No
Eyircayá,,,No
Eyircayá,,,No
Facen,,Dr. J,No
Faghfur,Facfur,Emperor of Southern China),Person
Faghfur,,meaning of title,Person
Faghfur,,his effeminate diversions,Person
Faghfur,,decay of his palace,Person
Faizabad in Badakhshan,,,No
Fakanúr,,,No
Fakata,,,No
Fakhruddin Ahmad,,Prince of Hormuz,Person
Falconers,,Kúblái’s,No
Falcons,,of Kerman,No
Falcons,,Saker and Lanner,No
Falcons,,peregrine,No
Falcons,,Kúblái’s,No
Famine,,horrors,No
Famine,,"/Fanchán, P’ingchang/, title of a second class Cabinet Minister",No
Fanchan Lake,,,Location
Fan-ching,,siege of,No
Fandaraina,,,No
Fandaraina,,"/Fang, see/ Squares",No
Fansur,,"in Sumatra, kingdom of",Location
Fansuri camphor,,,No
Fan Wen-hu,,"or Fan-bunko, a General in Japanese Expedition",No
Fariab,,or Pariab,No
Faro of Constantinople,,,No
Farriers,,none in S. India,No
Fars,,province,No
Fashiyah,,Atabeg dynasty,No
Fassa,,,No
Fasting days,,Buddhist,No
Fattan,,in Ma’bar,No
Fatten,,‘Ali Sháh,No
Fausto,,"Vettor, his Quinquereme",No
Fazl,,Ibn Hassan (Fazluïeh-Hasunïeh),No
Feili,,Lurs dynasty,No
Female attendants on Chinese Emperors,,,No
Ferlec,,"in Sumatra, kingdom of (Parlák)",Location
Ferlec,,Hill people,Location
Fernandez,,"or Moravia, Valentine",No
Ferrier,,General,No
Festivals,,Order of the Kaan’s,No
Fiag,,or Pog River,Location
Fiag,,/Ficus Vasta/,Location
Fiag,,"/Fidáwí/, Ismailite adepts",Location
Filial Piety in China,,,No
Filippi,,"Professor F. de, Silk industry in Ghílán",No
Finn,,,No
Fiordelisa,,daughter of younger Maffeo Polo,Person
Fiordelisa,,—— supposed to be Nicolo Polo’s second wife,Person
Fiordelisa,,—— wife of Felice Polo,Person
Firando Island,,,Location
Firdús,,Ismailite Castle,Location
Firdúsí,,,No
Fire,,affected by height of Pamir Plain,No
Fire,,regulations at Kinsay,No
Fire-baptism,,ascribed to Abyssinians,No
Fire-Pao,,,No
Fire-worship,,"or rockets, in Persia",No
Fire-worship,,by the Sensin in Cathay,No
Firishta,,the historian,No
Fish miracle in Georgia,,,No
Fish miracle in Georgia,,in the Caspian,No
Fish miracle in Georgia,,and date diet,No
Fish miracle in Georgia,,supply at Kinsay,No
Fish miracle in Georgia,,food for cattle,No
Fish miracle in Georgia,,stored for man and beast,No
Fish-oil,,used for rubbing ships,No
Florin,,or ducat,No
Flour,Sago,trees producing,No
Flückiger,,Dr,No
Fog,,dry,No
Fo-kien,,/see/ Fu-chau,Location
Folin ,Byzantine Empire,,No
Fondaco,,,No
Foot-mark on Adam’s Peak,,/q.v./,No
Foot-posts in Cathay,,,No
Forg,,,No
Formosa,,Plain (Harmuza),Location
Forsyth,,Sir T. Douglas,No
Fortune,,R,No
Foundlings,,provision for,No
Four-horned sheep,,,No
Fowls with hair,,,No
Foxes,,black,No
Fozlán,,Ibn,No
Fozlán,,/Fra terre/ (Interior),No
Fracastoro,,Jerome,No
Franciscan converts,,,No
Franciscan converts,,in Volga region,No
Franciscan converts,,at Yang-chau,No
Franciscan converts,,Zayton,No
Francolin (darráj of the Persians,,black partridge,No
Frankincense,,/see/ Incense,No
Frederic II,,Emperor,Person
Frederic II,,his account of the Tartars,Person
Frederic II,,story of implicit obedience,Person
Frederic II,,his /cheetas/,Person
Frederic II,,his leather money,Person
Frederic II,,his giraffe,Person
French,,,No
French,,the original language of Polo’s Book,No
French,,its large diffusion in that age,No
French Expedition up the Kamboja River,,,No
Frenchmen,,riding long like,No
French mission and missionaries in China,,,No
French mission and missionaries in China,,/Frère charnel/,No
Frere,,Sir B,No
Froissart,,,No
Fu-chau,Fo-kien,Fuju),Location
Fu-chau,,paper-money at,Location
Fu-chau,,wild hill people of,Location
Fu-chau,,its identity,Location
Fu-chau,,language of,Location
Fu-chau,,tooth relique at,Location
Fuen ho ,Fen ho,River,Location
Funeral rites,,Chinese,No
Funeral rites,,in Tangut,No
Funeral rites,,of the Kaans,No
Funeral rites,,at Kinsay,No
Funeral rites,,(/See/ also Dead.),No
Fungul,,city of,Location
Furs,,of the Northern Regions,No
Fusang,,Mexico (?),Location
Fuyang,,,Location
Fuzo,,/see/ Fu-chau,No
Fuzo,,,No
Gabala,,Bishop of,No
Gagry,,maritime defile of,No
Gagry,,,No
Gaisue,,officer of Kúblái’s Mathematical Board,No
Gaisue,,"/Galeasse/, Venetian gallery",No
Galingale,,,No
Galletti,,Marco,No
Galleys of the Middle Ages,,war,No
Galleys of the Middle Ages,,arrangement of rowers,No
Galleys of the Middle Ages,,number of oars,No
Galleys of the Middle Ages,,dimensions,No
Galleys of the Middle Ages,,tactics in fight,No
Galleys of the Middle Ages,,toil in rowing,No
Galleys of the Middle Ages,,strength and cost of crew,No
Galleys of the Middle Ages,,staff of fleet,No
Galleys of the Middle Ages,,Joinville’s description of,No
Galleys of the Middle Ages,,customs of,No
Galley-slaves not usual in Middle Ages,,,No
Gambling,,prohibited by Kúblái,No
Game,,/see/ Sport,No
Game Laws,,Mongol,No
Game,,supplied to Court of Cambaluc,No
Ganapati Kings,,,No
Gandar,,Father,Person
Gandhára,,,No
Gandhára,,Buddhist name for Yun-nan,No
Ganfu,,port of Kinsay,lo0
Ganja,,gate of,No
Gan-p’u,,,No
Gantanpouhoa,,Kúblái’s son,Person
Gantûr,,,No
Gardenia,,fruit and dyes,No
Gardner,,C,No
Garmsir,,"Ghermseer (Cremesor), Hot Region",No
Garnier,,Lieut. Francis (journey to Talifu),No
Garrisons,,"Mongol, in Cathay and Manzi",No
Garrisons,,disliked by the people,No
Garrisons,,/Garuda/,No
Gate of Iron,,ascribed to Derbend,No
Gates,,of Kaan’s palace,No
Gates,,of Cambaluc,No
Gates,,of Somnath,No
Gat-pauls,,"Gatopaul, Gatos-paulas",No
Gat-pauls,,/Gatto maimone/,No
Gauenispola ,,Island,Location
Gaur,,etc./),No
Gauristan,,,No
Gavraz villages,,,No
Gazaria,,,No
Gedrosi,,,No
Gelath in Imeretia,,Iron Gate at,No
Gelath in Imeretia,,"/Geliz/, Spanish for silk dealer",No
Genealogy of Polos,,,No
Genealogy of Polos,,"errors as given by Barbaro, etc., in",No
Genealogy of Polos,,tabular,No
Genealogy of Polos,,of House of Chinghiz,No
Genoa,,Polo’s captivity at,Location
Genoa,,"—— and Pisa, rivalry, and wars of",Location
Genoa,,"—— and Venice, rivalry and wars of",Location
Genoese,,their growth in skill and splendour,No
Genoese,,character as seamen by poet of their own,No
Genoese,,character by old Italian author,No
Genoese,,capture of Soldaia,No
Genoese,,their navigation of the Caspian,No
Genoese,,trade in box-wood,No
Genoese,,their merchants at Tabriz,No
Genoese,,in Fo-kien,No
Gentile Plural names converted into local singulars,,,No
Geographical Text of Polo’s Book constantly quoted,,,No
Geographical Text of Polo’s Book constantly quoted,,its language,No
Geographical Text of Polo’s Book constantly quoted,,proofs that it is the original,No
Geographical Text of Polo’s Book constantly quoted,,tautology,No
Geographical Text of Polo’s Book constantly quoted,,source of other texts,No
George,Jirjis,"Yurji, Gurgán), king of Tenduc",Person
George,,of the time of Prester John,Person
George,,a possible descendant of,Person
Georgia,Georgiana,beauty of,Location
Georgia,,and its inhabitants,Location
Georgia,,their kings,Location
Gerfalcons,Shonkár,,No
Gerfalcons,,tablets engraved with,No
Gerini,,Colonel,No
German Follower of the Polos,,,No
Ghaissuddin Balban ,Asedin Soldan,Sultan of Delhi,Person
Gháran ,,country,Person
Gházán,Casan,son of Arghún,Person
Gházán,,his regard for the Polos,Person
Gházán,,marries the Lady Kukachin,Person
Gházán,,his mosque at Tabriz,Person
Gházán,,set to watch the Khorasan frontier,Person
Gházán,,obtains the throne,Person
Gházán,,his object and accomplishments,Person
Ghel,,"or Ghelan (Ghel-u-chelan), Sea of, Caspian Sea",Location
Ghellé,Gílí,silk of the Gíl province,No
Ghes,,or Kenn (formerly Kish or Kais),No
Ghes,,/Ghez/ tree,No
Ghiuju,,,No
Ghiyas ed-din,,last Prince of Kurd dynasty,Person
Ghori,,or Aksarai River,Location
Ghori,,"/Ghúls/, goblins",Location
Ghúr,,,No
Giglioli,,Professor H,Person
Gíl,,"or Gílán, province",Location
Gilgit,,,No
Gill,,Captain (/River of Golden Sand/),Location
Ginao,,Mt. and Hot Springs,No
Gindanes of Herodotus,,,No
Ginger,,,No
Ginger,,Shan-si,No
Ginger,,Caindu,No
Ginger,,alleged to grow in Kiangnan,No
Ginger,,Fuju,No
Ginger,,Coilum,No
Ginger,,different qualities and prices of,No
Ginger,,Ely,No
Ginger,,Malabar,No
Ginger,,Guzerat,No
Giraffes,,,No
Giraffes,,mediaeval notices of,No
Girardo,,Paul,No
Girdkuh,,"an Ismailite fortress, its long defence",No
Girls,,consecrated to idols in India,No
Gittarchan,,/see/ Astrakhan,No
Glaza,Ayas,/q.v./),No
Gleemen and jugglers,,conquer Mien,No
Goa,,,Location
Gobernador,,Straits of,No
Goës,,Benedict,No
Gog and Magog,Ung and Mungul,,No
Gog and Magog,,legend of,No
Gog and Magog,,rampart of,No
Gog and Magog,,country of,No
Gog and Magog,,name suggested by Wall of China,No
Gogo,,,No
Goître at Yarkand,,,No
Golconda diamond mines,,,No
Gold,,"Frankincense, and Myrrh, their mystic meaning",No
Gold dust in Tibet,,,No
Gold dust in Tibet,,exchanged for salt in Caindu,No
Gold dust in Tibet,,Brius River,No
Gold dust in Tibet,,in Kin-shia-Kiang,No
Gold dust in Tibet,,and nuggets in Carajan,No
Gold dust in Tibet,,abundant in Yun-nan,No
Gold dust in Tibet,,Caugigu,No
Gold dust in Tibet,,Coloman,No
Gold dust in Tibet,,infinite in Chipangu,No
Gold dust in Tibet,,in Sea of Chin Islands,No
Gold dust in Tibet,,dust in Gulf of Cheinan Islands,No
Gold dust in Tibet,,not found in Java,No
Gold dust in Tibet,,in Locac,No
Gold dust in Tibet,,the Malayo–Siamese territories,No
Gold dust in Tibet,,Sumatra,No
Gold dust in Tibet,,vast accumulations in South India,No
Gold dust in Tibet,,imported into Malabar,No
Gold dust in Tibet,,and into Cambay,No
Gold dust in Tibet,,purchased in Socotra,No
Gold and silver towers of Mien,,,No
Gold and silver towers of Mien,,—— cloths of. (/See/ Silk and Gold.),No
Gold and silver towers of Mien,,—— of the Gryphons in Herodotus,No
Gold and silver towers of Mien,,"—— Teeth (Zardandan), Western Yun-nan",No
Gold and silver towers of Mien,,"—— to silver, relative value of",No
Golden King and Prester John,,tale of the,No
Golden King and Prester John,,—— Island,No
Golden King and Prester John,,—— Horde (kings of the Ponent),No
Golden King and Prester John,,"/Golfo, Indigo di/",No
Gomispola,,"Gomispoda, /see/ Gauenispola",No
Gomushtapah,,Wall of,No
Gomuti palm,,,No
Gondophares,,a king in the St. Thomas legends,Person
Gordon’s “Ever Victorious Army”,,,No
Gordun Sháh,,,No
Göring,,F,No
Goriosan,,,No
Goriosan,,"/Gor Khar/, wild ass",No
Goshawks,,,No
Goshawks,,black,No
Gothia,Crimean,,No
Gothia,,its limit and language,No
Govy,,a low caste in Maabar,No
Goza,,,No
Gozurat,,/see/ Guzerat,Location
Grail,,Buddhist parallel to the Holy,No
Granaries,,Imperial,No
Grapes in Shan-si,,,No
Grass-cloths,,,No
Grasso,,Donato,No
Great Bear,Meistre,,No
Great Bear,,"and Little, force of, and application of these epithets",No
Great,,or Greater Sea (Black Sea),No
Greece,,Bactria’s relation to,No
Greek fire,,,No
Greeks,,in Turcomania,No
Greeks,,and Greek tongue in Socotra,No
Greeks,,possible relic of,No
Green,,Rev. D.D,No
Green,,"—— Island, legendary",No
Green,,—— Islands,No
Green,,"—— Mount, Cambaluc",No
Green,,"—— R., /see/ Tsien Tang",No
