Entity Name	Type
Catholicos	of the Nestorians
Cators 	great partridges
Cat's Head Tablet	
Cats in China	
Caucasian Wall	
Caugigu	province
Caulking of Chinese ships	
Cauly	Kauli 
Causeway	south of the Yellow River
Cauterising  heads of children	
Cavo de Eli	
Cavo de Eli	DASH de Diab
Cave-houses	
Cayu (Kao-yu)	
Celtic Church	
Census of houses in Kinsay	
Census of houses in Kinsay	DASH tickets
Ceremonial of Mongol Court	see Etiquette
Ceylon (Seilan)	
Ceylon (Seilan)	circuit of
Ceylon (Seilan)	etymology of
Ceylon (Seilan)	customs of natives
Ceylon (Seilan)	mountain of Adam's (alias Sagamoni Borcan's) Sepulchre
Ceylon (Seilan)	history of Buddha
Ceylon (Seilan)	origin of idolatry
Ceylon (Seilan)	subject to China
Chachan (properly Charchand)	see Charchan
Chagan-Nur(N.E. of Kamul)	DASH site of a Palace of Kublai's
Chagan-Nur(N.E. of Kamul)	Balghassun
Chagan-Nur(N.E. of Kamul)	Jang
Chagatai	son of Chinghiz
Champa (Chamba)	kingdom of
Champa (Chamba)	Kublai's expedition against
Champa (Chamba)	the king and his wives
Champa (Chamba)	products
Chandra Banu	
Chandu (Shangtu)	City and Summer Palance of the Kaan
Changan	
Changchau (Chinginju)	
Changgan	
Changlu	
Changshan (Chanshan)	
Chang-y (Chenchu)	
Chaohien	Sung Prince
Chaotong	
Chapu	
Characters	"written, four acquired by Marco Polo"
Characters	"one in Manzi, but divers spoken dialects"
"Charchan (Chachan of Johnson, Charchand)"	
Charities of the Kaan	DASH Buddhistic and Chinese
Charities of the Kaan	DASH at Kinsay
Chasteaux	sense of the word
Chaukans or  temporary wives at Kashgar	
Chaul	
Cheapness in China	
Cheetas	or hunting leopards
Cheinan	Gulf of
Chekiang into Fokien	Roads from
Chenching (Cochin-China)	
Chenchu 	conspires with Vanchu against Ahmad
Chenchu 	puts A. to death
Cheu	the Seven
Chibai and Chiban	
Chilaw	
Chin	Sea of
China	appears in map
China	Imperial Maritime Customs Returns for 1900
China	Dominicans in
China	paved roads in
China	relations with Korea and Japan
China	the name
China	king of Malacca at Court of
China	trade from Arabia to
China	from Sofala in Africa
China	(See also Cathay and Manzi.)
Chinangli(Tísinan-fu)	
Chin·r	Oriental planes
Chinchau	"Chincheo, Chinchew, Chwanchew, Tswanchau, see Zayton"
Chinese	
Chinese	Polo ignorant of the languages
Chinese	epigrams
Chinese	funeral and mourning customs
Chinese	feeling towards Kublai
Chinese	religion and irreligion
Chinese	their politeness and filial piety
Chinese	gambling
Chinese	character for integrity
Chinese	written character and varieties of dialect
Chinese	ships
Chinese	pagodas at Negapatam and elsewhere
Chinese	coins found in Southern India
Chinese	pottery
Chinese	trade and intercourse with Southern India
Chinghian-fu (Chinkiang-fu)	
Chinghiz Khan	
Chinghiz Khan	reported to be a Christian
Chinghiz Khan	Aung Khan's saying of
Chinghiz Khan	his use of UÌgh˙r  character
Chinghiz Khan	Erzrum taken by
Chinghiz Khan	harries Balkh
Chinghiz Khan	captures Talikan
Chinghiz Khan	ravages Badakhshan
Chinghiz Khan	his respect for Christians
Chinghiz Khan	subjugates Kutchluk Khan
Chinghiz Khan	his campaigns in Tangut
Chinghiz Khan	Rubruquis' account of
Chinghiz Khan	made king of the Tartars
Chinghiz Khan	his system of conquests
Chinghiz Khan	and Prester John
Chinghiz Khan	divining by twigs - presage of victory
Chinghiz Khan	defeats and slays Prester John
Chinghiz Khan	his death and burial-place
Chinghiz Khan	his aim at conquest of the world
Chinghiz Khan	his funeral
Chinghiz Khan	his army
Chinghiz Khan	defeats the Merkits
Chinghiz Khan	relations between Prester John's and his families
Chinghiz Khan	the Horiad tribe
Chinghiz Khan	his prophecy about Kublai
Chinghiz Khan	rewards his captains
Chinghiz Khan	captures Peking
Chinghiz Khan	defeats and slays Taiyang Khan
Chinghiz Khan	his alleged invasion of Tibet
Chinghiz Khan	his mechanical artillery
Chinghiz Khan	his cruelty
Chinghiz Khan	Table of Genealogy of his House
Chinghiz Tora	
Ching-hoang tower at Hangchau-fu	
Chinghu	
Chinginju (Changchau)	
Chingintalas	province
Chingintalas	the region intended
Chingsang	"Ching-siang (Chinisan), title of a Chief Minister of State"
Chingting-fu (Acbaluc)	
Chingtsu or Yunglo	 Emperor
Chinkin	"Chingkim,Kublai's Heir Apparent"
Chinkin	his palace
Chin-tan	"or ChÌnasth·na, Chinese etymology of"
Chinuchi	"Cunichi, Kublai's Masters of the Hounds"
Chipangu (Japan)	described
Chipangu (Japan)	Kublai sends an expedition against
Chipangu (Japan)	its disasters
Chipangu (Japan)	history of expedition
Chipangu (Japan)	relations with China and Korea
Chitral	
Chochau (Juju)	
Choiach	the term
Chola	"or Sola-desam (Soli, Tanjore)"
Chonka 	kingdom of Fokien
Chonka 	explanation of name
ChonkwÈ 	
Chorcha	the Churche or Manchu Country
Christian	astrologers
Christian	"churches in China, early"
Christian	inscription of Singanfu
Christian	Alans in the Mongol service
Christianity	attributed to Chinghizide princes
Christianity	Kublai's views on
Christianity	"DASH former, of Socotra"
Christians	"of the Greek rite, Georgians"
Christians	and Russians
Christians	"Jacobite and Nestorian, at Mosul"
Christians	among the Kurds
Christians	and the Khalif of Baghdad  the miracle of the mountain and the
Christians	one-eyed cobbler
Christians	Kashgar
Christians	in Samarkand
Christians	the miracle of the stone removed
Christians	Yarkand
Christians	Tangut
Christians	Chingintalas
Christians	Suh-chau
Christians	Kan-chau
Christians	in Chinghiz's camp
Christians	Erguiul and Sinju
Christians	Egrigaia
Christians	Tenduc
Christians	Nayan and the Khan's decision
Christians	at Kublai's Court
Christians	in Yun-nan
Christians	Cacanfu
Christians	Yang-chau
Christians	churches at Chin-kiang fu
Christians	at Kinsay
Christians	St. Thomas
Christians	Coilum
Christians	Male and Female Islands
Christians	Socotra
Christians	Abyssinia and fire baptism
Christians	of the Girdle
Christians	in Lac (Wallachia)
Christians	"Chrocho, the Rukh (q.v.)"
Chrocho (The Rukh)	
Chronology and chronological data discussed	
Chronology and chronological data discussed	first journey of the Polos
Chronology and chronological data discussed	war between Barka and Húlakú
Chronology and chronological data discussed	Polos' stay at Bokhara
Chronology and chronological data discussed	their departure and their second journey from Acre
Chronology and chronological data discussed	their return voyage and arrival in Persia
Chronology and chronological data discussed	story of Nigudar
Chronology and chronological data discussed	Hormuz princes
Chronology and chronological data discussed	destruction of Ismailites
Chronology and chronological data discussed	history of Chinghiz
Chronology and chronological data discussed	Kublai's birth and accession
Chronology and chronological data discussed	Nayan's rebellion
Chronology and chronological data discussed	visit to Yun-nan
Chronology and chronological data discussed	battle with the king of Mien
Chronology and chronological data discussed	wars between China and Burma
Chronology and chronological data discussed	value of Indo-Chinese
Chronology and chronological data discussed	conquest of S. China
Chronology and chronological data discussed	capture of Siang-yang
Chronology and chronological data discussed	Kublai's dealings with Japan
Chronology and chronological data discussed	with Champa
Chronology and chronological data discussed	Marco's visit to Japan
Chronology and chronological data discussed	Kublai's Java expedition
Chronology and chronological data discussed	review of the Malay
Chronology and chronological data discussed	events in Ma'bar
Chronology and chronological data discussed	King Gondophares
Chronology and chronological data discussed	cessation of Chinese navigation to India
Chronology and chronological data discussed	Abyssinia
Chronology and chronological data discussed	Kaidu's wars
Chronology and chronological data discussed	"Mongol revolutions in Persia, notes from"
Chronology and chronological data discussed	wars of Toktai and Noghai
Chronology and chronological data discussed	(see also Dates.)
Chloroxylon	
Chuchau-fu	in Chekiang
Chuchu	in Kiangsi
ChungkwÈ	Middle Kingdom
Chungtu	"or Yen-King (Peking, see Cambaluc)"
Churches	"Christian, in Kashgar"
Churches	Samarkand
Churches	Egrigaia
Churches	Tenduc
Churches	"early, in China"
Churches	Yang-chau
Churches	Chin-kiang fu
Churches	Kinsay
Churches	Zayton
Churches	St. Thomas's
Churches	Coilum
Churches	Socotra
Churchin	"or NiuchÈ, ChurchÈ, Chorcha (the Manchu Country)"
Cielstan	Suolstan (Sh˙list·n)
Cinnamon	Tibet
Cinnamon	Caindu
Cinnamon	Ceylon
Cinnamon	story in Herodotus of
Cinnamon	Malabar
Circumcision 	of Socotrans
Circumcision 	"forcible, of a bishop"
Circumcision 	of Abyssinians
Cirophanes	"or Syrophenes, story of"
Civet of Sumatra	
Clement IV	Pope
Clepsydra	
Cloves	Clove-like plant in Caindu
Coal	
Coal	in Scotland in Middle Ages
Coal	in Kinsay
Cobinan (KohñBan·n)	identifed
Cocachin (Kuk·chin)	the Lady
Cocachin (Kuk·chin)	selected as bride of Arghun Khan
Cocachin (Kuk·chin)	"made over to Kaikhatu in Persia, married to Ghazan"
Cocachin (Kuk·chin)	"wept at parting with Polos,notice of her in Persian history"
Cochin-China	the mediaeval Champa (q.v.)
Coco-nut (Indian nut)	
Coco Islands	of Hiuen T'sang
Cocos Islands	
Coeur de Lion	his mangonels
Coffins	"Chinese, in Tangut"
Cogachin (Hukaji)	" son of Kublai, King of Carajan"
Cogatai	
Cogatal	a Tartar envoy to the Pope
Coiganju (Hwaingan-fu)	
"Coilum (Kaulam, Quilon)"	 kingdom of
"Coilum (Kaulam, Quilon)"	identity of meaning of name
"Coilum (Kaulam, Quilon)"	Church of St. George at
"Coilum (Kaulam, Quilon)"	modern state of
"Coilum (Kaulam, Quilon)"	Kúblái’s intercourse with
Coilumin	"columbino, colomni, so-called Brazil-wood"
Coilumin	ginger
Coins 	of Cilician Armenia
Coins 	of Mosul
Coins 	Agathocles and Pantaleon
Coins 	Seljukian with Lion and Sun
Coins 	found at Siang–Yang
Coins 	King Gondophares
Coins 	Tartar heathen princes with Mahomedan and Christian formulae
Coja (Koja)	Tartar envoy from Persia to the Khan
Cold	"intense, in Kerman"
Cold	in Russia
Cold	Cold Mountains
Coleridge	verses on Kublai's Paradise
Coloman	province
Colombino	see Coilumin
Columbum	"see Coilum, the see of a Latin bishop"
Colossal Buddhas	recumbent
Columbum	see Coilum
Columbus	Polo paralleled with
Columbus	remarks on
Comania	Comanians
Comari	"Comori (Cape Comorin, Travancore)"
Comari	temple at
Comorin	Cape
Comoro Islands	
Combermere	"Lord, prophecy applied to"
Combermere	"Comercque, Khan's custom-house"
Compartments	in hulls of ships
Compass	Mariner's
Competitive Examinations in beauty	
Conchi	King of the North
Concubines	how the Khan selects
Condor	its habits
Condor	Temple's account of
Condor	Padre Bolivar's of the African
Condur and Sondur	
Condux	sable or beaver
Conia	Coyne (Iconium)
Conjeveram	
Conjurers	the Kashmirian
Conjurers	weather-
Conjurers	Lamas' ex-feats
Conjurers	(see also Sorcerers.)
Conosalmi (Kamasal)	
Constantinople	Straits of
Convents	see Monasteries
Cookery	Tartar horse
Cooper	"T.T., traveller on Tibetan frontier"
Copal	Indian
Copper	token currency of Mahomed Tughlak
Copper	imported to Malabar
Copper	to Cambay
Coral	"valued in Kashmir, Tibet, etc"
Corea (Kauli)	
Corn	Emperor's store and distribution of
Coromandel (Maabar)	see Mabar
Corsairs	see Pirates
Corte del Milione	see Ca' Polo
Corte del Milione	DASH Sabbionera at Venice
Cosmography	mediaeval
Costus	
Cotan	see Khotan
Cotton	stuffs of
Cotton	at Merdin
Cotton	in Persia
Cotton	at Kashgar
Cotton	Yarkand
Cotton	Khotan
Cotton	Pein
Cotton	Bengal
Cotton	bushes of gigantic size
Counts in Vokhan	
Counts in Vokhan	at Dofar
Courts of Justice	at Kinsay
Courts of Justice	"Couvade, custom of"
Cowdung	its use in Maabar
Cowell	Professor
"Cowries (porcelain shells, pig shells)"	"used for money, etc."
"Cowries (porcelain shells, pig shells)"	procured from Locac
Cralantur	 its meaning 
Cramoisy (quermesis)	
Cranes	five kinds of
Crawford	John
Cremation	
Cremation	in Middle Ages
Cremesor	Hot Region (Garmsir)
Crocodiles	see Alligators
Cross	legend of the Tree of the
Cross	"gibes against, on Nayan's defeat"
Cross	on monument at Singanfu
Crossbows	on gallevs
Cruelties	Tartar
Crusca MS. of Polo	
Cubeb pepper	
Cubits	astronomical altitude estimated by
Cublay	see Kublai
Cucintana	
Cudgel	Tartars' use of
Cuiju (Kweichau)	province
Cuinet	"Vital, on Turkman villages"
Cuinet	on Mosul Kurds
Cuirbouly	
Cuju	
Cuncun (Han-Chung) 	province
Cunningham	General A
Cups	flying
Curds and Curdistan	
Curmosa (Hormuz)	
Currency	"copper token, in India"
Currency	salt
Currency	leather
Currency	"Cowrie, see Cowries"
Currency	"paper, in China"
Currency	attempt to institute in Persia
Currency	alluded to
Current	strong south along East Coast of Africa
Currents	"Cape of, or Corrientes"
Curtains	Persian
Curzola 	Island
Curzola 	Genoese victory at
Curzola 	Polo’s galley at
Curzola 	map of
Curzon	Lord
Curzon	list of Pamirs
Curzon	"DASH Hon. R., on invention of printing"
Customs	Custom-houses
Cutch pirates	
Cuxstac	Kuhestec
Cuy Khan 	GKuyuk
Cycle	Chinese
Cycle	"Cynocephali, the"
Cypresses	"sacred, of the Magians"
Cyprus	
Cyrus	his use of camels in battle near Sardis
Cyrus	
Dabul	
Dabul	"Dadi·n, title of Georgian kings"
Da Gama	
Dagroian	"kingdom of, in Sumatra"
Dagroian	probable position of
Dailiu (Tali)	
DaÔtu	"Taidu, Tatu (Peking), Kúblái’s new city of Cambaluc"
Daki·nus	city of (Camadi)
Dalada	 tooth relique of Buddha
Dalai Lama	with four hands
D'Alboquerque	
Dalivar	"Dilivar, Diláwar (Lahore), a province of India"
Dalmian	
Damas	
Damascus	
Damascus	siege of
Damasks	with cheetas in them
Damasks	with giraffes
Damasks	(see also Patterns.)
Damghan	
Dancing dervishes	
Dancing girls	in Hindu temples
Dandolo	"Andrea, Admiral of Venetian fleet at Curzola"
Dandolo	his captivity and suicide
Dandolo	funeral at Venice
D'Anghieria	Pietro Martire
Dantapura	
Dante	number of MSS.
Dante	does not allude to Polo
Dante	Convito
Darabjird	
Darah	
D·r·pur 	
D·r·pur 	"Dardas, stuff embroidered in gold"
Dariel	Pass of (Gate of the Alans)
Darius	
Darius	the Golden King
Dark Ocean of the South	
Darkness	magical
Darkness	DASH land of
Darkness	how the Tartars find their way out
Darkness	the people and their peltry
Darkness	Alexander's legendary entrance into
Darkness	Dumb trade of
Darraj	"black partridge, its peculiar call"
Daruna	salt mines
Darwaz	
Dasht	"or Plain, of Baharak"
Dasht·b	hot springs
Dasht-i-Lut(Desert of L˙t) 	
Dashtistan tribe and district	(chronology) in Polo's book
Dates 	generally erroneous
Dates 	DASH (trees or fruit)
Dates 	Basra
Dates 	Bafk
Dates 	"Reobarles, province"
Dates 	Formosa Plain
Dates 	Hormos
Dates 	wine of
Dates 	"diet of fish, etc"
Daughters of Marco Polo	
DíAvezac	M
David	king of Abyssinia
David	king of Georgia (Dawith)
Davids	"Professor T.W. Rhys, Buddhist Birth Stories"
Davis	Sir John F
Dawaro	
Daya	
Dead	"disposal of the, in Tangut"
Dead	at Cambaluc
Dead	in Coloman
Dead	in China
Dead	in Dagroian
Dead	by the Battas
Dead	"DASH burning of the, see Cremation"
Dead	"eating the, see Cannibalism"
De Barros	
De Barros	on Java
De Barros	Singhapura
De Barros	Janifs
De Bode	Baron
De Borron	Robert and Helie
Debt	singular arrest for
Decima	or Tithe on bequest
Decimal organisation of Tartar armies	
Decius	Emperor
Degh·ns	Dehgáns
Deh·nah	village
Deh Bakri	
De la Croix	PÈtis
Delhi	Sultans of
D'Ely	"Mount, see Eli"
Demoiselle Crane	anthropoides virgo
Depopulation of Badakhshan	
Deogir	
Derbend	Wall of (see also Iron Gate of.)
Deserts	of Kerman or of L˙t
Deserts	of Khorasan
Deserts	of Charchan
Deserts	Lop (Gobi)
Deserts	Kharakorum
Desgodins	AbbÈ
Despina Khatun	
Devad·si	
Devapattan	
DevÈria	G
Devil-dancing	
Devil trees	
Devils	White
"Dhafar (Dofar, Zhafar)"	its incense
"Dhafar (Dofar, Zhafar)"	two places of the name
"Dhafar (Dofar, Zhafar)"	"Dh·rani, mystic charms"
Dh˙lkarnain 	see Zulkarnain
Dialects	Chinese
Diamonds in India	how found
Diamonds in India	mines of
Diamonds in India	diffusion of legend about
Diamonds in India	Diex Terrien
Dil·war	Polo's Dihar
Dimitri II	"Thawdadebuli, king of Georgia"
Din·r	see Bezant
Din·r of Red Gold	
Dinh TiÍn-hw‡ng	king of An-nam
Diocletian	
Diocletian	Dioscorides insula
Dir	chief town of Panjkora
Dirakht-i-Fazl	
Dirakht-i-Kush	
Dir·wal	ancient capital of the Bhattis
Dirhem-Kub	"Shah Mahomed, founder of Hormuz dynasty"
Dish of Sakya or of Adam	
Diu City	
Diul-Sind	Lower Sind
Divination by twigs or arrows	
Dixan	branding with cross at
Dizabulus	pavilion of
Dizful River	
Djao (Chao) Namian SumÈ  (Kaipingfu)	
Djaya	turquoises
Doctors at Kinsay	
Dofar	see Dhafar
Dogana	
Dogana	conjectures as to
Dogh·bah River	
Dog-headed races	
Dogs	the Khan's mastiffs
Dogs	of Tibet
Dogs	fierce in Cuiju
Dog-sledging in Far North	
Dog-sledging in Far North	notes on dogs
Dolfino	"Ranuzzo, husband of Polo's daughter, Moreta"
Dolonn˙r	
Dominicans	sent with Polos but turn back
Dominicans	"D’ or plain, the expression"
Dorah Pass	
Doria	family at Meloria
Doria	DASH Lampa
Doria	Admiral of Genoese Fleet sent to Adriatic
Doria	his victory
Doria	his tomb and descendants
Doria	at Meloria with six sons
Doria	"DASH Octaviano, death of"
Doria	"DASH Tedisio, exploring voyage of"
DorjÈ	
DíOrlÈans	Prince Henri
Douglas	Rev. Dr. C
Doyley	Sir Fulke
Dragoian (Ta-hua-Mien)	
Dragoian (Ta-hua-Mien	Draps entaillez
Drawers	"enormous, of Badakhshan women"
Dreams	notable
Drums	sound of in certain sandy districts
Drums	Dryabalanops Camphora
Dua Khan	
Du Bose	Rev. H.C
Ducat	or sequin
Dudley	Arcano del Mare
Duel	mode in S. India of
Dufour	on mediaeval artillery
Duhalde	Plan of Ki-chau
Duhalde	or T'si-ning chau
Dukuz Khatun	
Dulcarnon (Zulkarnain)	
Dulites	
Dumas	Alexander
Dumb trade	
Duncan	Rev. Moir
Duncan	"Dungen (Tungani), or converts"
Duplicates in geography	
Duplicates in geography	Dupu
D¸rerís Map of Venice	so-called
Durga Temple	
Dursamand	
Dursamand	"D˙sh·b, sweet liquor or syrup"
Dust-storms	
Duties	on Great Kiang
Duties	on goods at Kinsay and Zayton
Duties	on horses
Duties	at Hormuz
Duties	(See also Customs.)
Dutthagamini	king of Ceylon
Dwara Samudra	
Dzegun-tala	name applied to Mongolia
Dzungaria	
Dzungaria	
Eagle mark on shoulder of Georgian kings	
Eagles	trained to kill large game
Eagles	"DASH white, in the Diamond Country"
Eagle-wood	origin of the name. (See Lign-aloes.)
Earth honoured	
East	"its state, circa, 1260"
Ebony (bonus)	
Edkins	Rev
Edward I	
Edward II	correspondence with Tartar princes
Effeminacy	in Chinese palaces
Eggs of Ruc and Aepyornis	
Egrigaia	province
Ela (cardamom)	
Elchidai	
Elenovka	
Elephantiasis	
Elephants	K˙bl·i carried on a timber bartizan by four
Elephants	K˙bl·iís
Elephants	the king of Mien's
Elephants	numbers of men alleged to be carried by
Elephants	how the Tartars routed
Elephants	wild
Elephants	in Caugigu
Elephants	Champa
Elephants	Locac
Elephants	Sumatra
Elephants	Madagascar and Zanghibar
Elephants	trade in teeth of
Elephants	carried off by the Ruc
Elephants	in Zanghibar
Elephants	used in war
Elephants	an error
Elephants	Nubian
Elephants	fable about
Elephants	not bred in Abyssinia
Elephants	training of African
Elephants	war of the
Eli	"Ely, Elly (Hili), kingdom of"
Elima	
Elixir vitae of the Jogis	
Elliot	Sir Walter
Emad	"Ed-din Abu Thaher, founder of the Kurd dynasty"
Embroidery	 of silk at Kerman
Embroidery	leather in Guzerat
Empoli	Giovanni d'
Empusa	the Arabian Nesn·s
Enchanters	at Socotra
Enchantments	of the Caraonas
Enchantments	"(See also Conjurers, Socerers.)"
Engano Island	legend
Engineering feat	
Engineers	their growing importance in Middle Ages
England	Kublai's message to king of
England	correspondence of Tartar princes with kings of
English trade and character in Asia	
Enlightenment	Land of
Erba	poisonous plant or grass
Erculin	Arculin (an animal)
Erdeni Tso (Erdenidsu	or Erdeni Chao Monastery
Eremites (Rishis	of Kashmir
Erguiul	province
Erivan	
Erivan	"Erkeun, (Ye li ke un), Mongol for Christians"
Ermine	
Erzinjan	"Erzinga, Eriza (Arzinga)"
Erzrum (Arziron)	
Eschiel	the word
"Esher (Shehr, Es-shehr)"	described
"Esher (Shehr, Es-shehr)"	"trade with India, incense, Ichthyophagi"
"Esher (Shehr, Es-shehr)"	singular sheep
Essentemur (Isentimur)	"Kublai's grandson, king of Carajan"
Estimo	" Venetian, or forced loan"
Etchmiadzin Monastery	
Ethiopia and India	confused
Ethiopian sheep	
Etiquette of the Mongol Court	
Etymologies	
Etymologies	Balustrade
Etymologies	buckram
Etymologies	Avigi
Etymologies	Geliz (GhellÈ)
Etymologies	Jatolic
Etymologies	muslin
Etymologies	baudekins
Etymologies	cramoisy
Etymologies	ondanique
Etymologies	zebu
Etymologies	carbine
Etymologies	Dulcarnon
Etymologies	balas
Etymologies	azure and lazuli
Etymologies	None
Etymologies	Mawmet and Mummery
Etymologies	salamander
Etymologies	berrie
Etymologies	barguerlac
Etymologies	S'ling
Etymologies	siclatoun
Etymologies	Argon
Etymologies	Tungani
Etymologies	Guasmul
Etymologies	chakÛr
Etymologies	J·d˙ and Yadah
Etymologies	Tafur
Etymologies	Bacsi
Etymologies	Sensin
Etymologies	P'ungyi
Etymologies	carquois
Etymologies	Keshik·n
Etymologies	vernique
Etymologies	"camut, borgal, shagreen"
Etymologies	Chinuchi or Chunichi
Etymologies	Toscaol
Etymologies	Bularguchi
Etymologies	Fondaco
Etymologies	Bailo
Etymologies	comerque
Etymologies	porcelain
Etymologies	Sangon
Etymologies	Faghfur
Etymologies	"Manjanik, mangonel, mangle, etc."
Etymologies	galingale
Etymologies	Chini and Misri
Etymologies	Satin
Etymologies	"eagle-wood, aloes-wood"
Etymologies	"Bonus, Calamanz"
Etymologies	benzoni
Etymologies	china pagoda
Etymologies	Pacauca
Etymologies	"Balanjar, a-muck"
Etymologies	Pariah
Etymologies	Govi
Etymologies	Avarian
Etymologies	Abraiaman
Etymologies	Choiach
Etymologies	proques
Etymologies	Tembul and Betel
Etymologies	Sappan and Brazil
Etymologies	Balladi
Etymologies	Belledi
Etymologies	Indigo baccadeo
Etymologies	"Gatpaul, baboon"
Etymologies	Salami cinnamon
Etymologies	[Greek: kÛmakon]
Etymologies	rook (in chess)
Etymologies	Aranie
Etymologies	Erculin and Vair
Etymologies	Misk·l
Etymologies	DASH (of Proper Names)
Etymologies	Curd
Etymologies	Dzungaria
Etymologies	Chingintalas
Etymologies	Cambuscan
Etymologies	Oirad
Etymologies	Kungurat
Etymologies	Manzi
Etymologies	Bayan
Etymologies	Kinsay
Etymologies	Japan
Etymologies	Sornau
Etymologies	Narkandam
Etymologies	Ceylon
Etymologies	Ma'bar
Etymologies	Chilaw
Etymologies	Mailap˙r
Etymologies	SÙnagarpattanam
Etymologies	"Punnei-K·yal, K·yal"
Etymologies	Kollam (Coilum)
Etymologies	Hili (Ely)
Etymologies	Cambaet
Etymologies	Mangla and Nebila
Etymologies	Socotra
Etymologies	Colesseeah
Etymologies	Caligine
Etymologies	Aijaruc
Etymologies	Nemej
Etymologies	DASH Chinese
Etzina	
Eunuchs	
Eunuchs	procured from Bengal
Euphrates	
Euphrates	said to flow into the Caspian
Euphrates	Euphratesia
Euxine	see Black Sea
Evelyn's Diary	
Execution of Princes of the Blood	mode of
Eyircay· 	
Facen	Dr. J
Faghfur (Facfur)	Emperor of Southern China
Faghfur (Facfur)	meaning of title
Faghfur (Facfur)	his effeminate diversions
Faghfur (Facfur)	decay of his palace
Faizabad in Badakhshan	
Fakan˙r	
Fakata	
Fakhruddin Ahmad	Prince of Hormuz
Falconers	the Kaan's
Falcons	of Kerman
Falcons	Saker and Lanner
Falcons	peregrine
Falcons	Kaan's
Famine	horrors
Famine	"Fanch·n, Píingchang, title of a second class Cabinet Minister"
Fanchan Lake	
Fanching	siege of
Fandaraina	
Fandaraina	"Fang, see Squares"
Fansur	"in Sumatra, kingdom of"
Fansuri camphor	
Fan Wen-hu	"or Fan-bunko, a General in Japanese Expedition"
Fariab	or Pariab
Faro of Constantinople	
Farriers	none in S. India
Fars	province
Fashiyah	Atabeg dynasty
Fassa	
Fasting days	Buddhist
Fattan	in Ma'bar
Fausto	"Vettor, his Quinquereme"
Fazl	Ibn Hassan (FazluÔeh-HasunÔeh)
Feili	Lurs dynasty
Female attendants on Chinese Emperors	
Ferlec	"in Sumatra, kingdom of (Parl·k)"
Ferlec	Hill people
Fernandez	"or Moravia, Valentine"
Ferrier	General
Festivals	Order of the Kaan's
Fiag	or Pog River
Fiag	Ficus Vasta
Fid·wÌ	Ismailite adepts
Filial Piety in China	
Filippi	"Professor F. de, Silk industry in Ghílán"
Finn	
Fiordelisa	daughter of younger Maffeo Polo
Fiordelisa	DASH supposed to be Nicolo Polo’s second wife
Fiordelisa	DASH wife of Felice Polo
Firando Island	
Fird˙s	Ismailite Castle
Fire	affected by height of Pamir Plain
Fire	regulations at Kinsay
Fire-baptism	ascribed to Abyssinians
Fire-worship	"or rockets, in Persia"
Fire-worship	by the Sensin in Cathay
Firishta	the historian
Fish	 miracle in Georgia
Fish	in the Caspian
Fish	and date diet
Fish	supply at Kinsay
Fish	food for cattle
Fish	stored for man and beast
Fish-oil	used for rubbing ships
Florin	or ducat
Flour (Sago	trees producing
Fl¸ckiger	Dr
Fog	dry
Fokien	see Fu-chau
Folin (Byzantine Empire)	
Fondaco	
Foot-mark on Adam's Peak	q.v.
Foot-posts in Cathay	
Forg	
Formosa	Plain (Harmuza)
Forsyth	Sir T. Douglas
Fortune	R
Foundlings	provision for
Four-horned sheep	
Fowls with hair	
Foxes	black
Fozl·n	Ibn
Fra terre (Interior)	
Fracastorious	Jerome
Franciscan converts	
Franciscan converts	in Volga region
Franciscan converts	at Yang-chau
Franciscan converts	Zayton
Francolin (darr·j of the Persians)	black partridge
Frankincense	see Incense
Frederic II	Emperor
Frederic II	his account of the Tartars
Frederic II	story of implicit obedience
Frederic II	his cheetas
Frederic II	his leather money
Frederic II	his giraffe
French	
French	the original language of Polo’s Book
French	its large diffusion in that age
French Expedition up the Kamboja River	
Frenchmen	riding long like
French mission and missionaries in China	
Frère charnel	
Frere	Sir Bartle
Froissart	
Fuchau (Fuju)	paper-money at
Fuchau (Fuju)	tooth relique at
Fuju (Fokien and Fuchau)	city
Fuen (Fen) ho 	River
Funeral rites	Chinese
Funeral rites	in Tangut
Funeral rites	of the Kaans
Funeral rites	at Kinsay
Funeral rites	(See also Dead.)
Fungul	city of
Furs	of the Northern Regions
Fusang	Mexico 
Fuyang	
Fuzo	see Fu-chau
Fuzo	
Gabala	Bishop of
Gagry	maritime defile of
Galashkird	
Galeazza	Venetian
Gaisue	officer of Kublai's Mathematical Board
Galeasse	Venetian gallery
Galingale	
Galletti	Marco
Galleys of the Middle Ages	war
Galleys of the Middle Ages	arrangement of rowers
Galleys of the Middle Ages	number of oars
Galleys of the Middle Ages	dimensions
Galleys of the Middle Ages	tactics in fight
Galleys of the Middle Ages	toil in rowing
Galleys of the Middle Ages	strength and cost of crew
Galleys of the Middle Ages	staff of fleet
Galleys of the Middle Ages	Joinville's description of
Galleys of the Middle Ages	customs of
Galley-slaves 	not usual in Middle Ages
Gambling	prohibited by Kublai
Game	see Sport
Game Laws	Mongol
Game	supplied to Court of Cambaluc
Ganapati Kings	
Gandar	Father
Gandh·ra 	
Gandh·ra 	Buddhist name for Yun-nan
Ganfu	port of Kinsay
Ganja	gate of
Gan-p'u	
Gantanpouhoa	Kublai's son
Gant˚r 	
Gardenia	fruit and dyes
Gardinerís (misprinted Gardnerís)	
