Entity Name	Type	Tag
Deserts	of Khorasan	FALSE
Deserts	of Charchan	FALSE
Deserts	Lop (Gobi)	FALSE
Deserts	Kharakorum	FALSE
Desgodins	AbbÈ	FALSE
Despina Khatun		FALSE
Devad·si		FALSE
Devapattan		FALSE
DevÈria	G	FALSE
Devil trees		FALSE
Devil-dancing		FALSE
Devils	White	FALSE
"Dhafar (Dofar, Zhafar)"	its incense	Location
"Dhafar (Dofar, Zhafar)"	two places of the name	Location
"Dhafar (Dofar, Zhafar)"	"Dh·rani, mystic charms"	Location
Dh˙lkarnain 	see Zulkarnain	FALSE
Dialects	Chinese	FALSE
Diamonds in India	how found	FALSE
Diamonds in India	mines of	FALSE
Diamonds in India	diffusion of legend about	FALSE
Diamonds in India	Diex Terrien	FALSE
Dil·war	Polo's Dihar	FALSE
Dimitri II	"Thawdadebuli, king of Georgia"	Person
Din·r	see Bezant	FALSE
Din·r of Red Gold		FALSE
Dinh TiÍn-hw‡ng	king of An-nam	Person
Diocletian		FALSE
Diocletian	Dioscorides insula	FALSE
Dir	chief town of Panjkora	Location
Dirakht-i-Fazl		FALSE
Dirakht-i-Kush		FALSE
Dir·wal	ancient capital of the Bhattis	Location
Dirhem-Kub	"Shah Mahomed, founder of Hormuz dynasty"	Person
Dish of Sakya or of Adam		FALSE
Diu City		FALSE
Diul-Sind	Lower Sind	FALSE
Divination by twigs or arrows		FALSE
Dixan	branding with cross at	FALSE
Dizabulus	pavilion of	FALSE
Dizful River		FALSE
Djao (Chao) Namian SumÈ  (Kaipingfu)		FALSE
Djaya	turquoises	FALSE
Doctors at Kinsay		FALSE
Dofar	see Dhafar	FALSE
Dogana		FALSE
Dogana	conjectures as to	FALSE
Dogh·bah River		FALSE
Dog-headed races		FALSE
Dogs	the Khan's mastiffs	FALSE
Dogs	of Tibet	FALSE
Dogs	fierce in Cuiju	FALSE
Dog-sledging in Far North		FALSE
Dog-sledging in Far North	notes on dogs	FALSE
Dolfino	"Ranuzzo, husband of Polo's daughter, Moreta"	Person
Dolonn˙r		FALSE
Dominicans	sent with Polos but turn back	FALSE
Dominicans	"D’ or plain, the expression"	FALSE
Dorah Pass		FALSE
Doria	his victory	Person
Doria	his tomb and descendants	Person
Doria	family at Meloria	Person
Doria	DASH Lampa	Person
Doria	Admiral of Genoese Fleet sent to Adriatic	Person
Doria	at Meloria with six sons	Person
Doria	"DASH Octaviano, death of"	Person
Doria	"DASH Tedisio, exploring voyage of"	Person
DorjÈ		FALSE
Douglas	Rev. Dr. C	FALSE
Doyley	Sir Fulke	Person
Dragoian (Ta-hua-Mien	Draps entaillez	FALSE
Dragoian (Ta-hua-Mien)		FALSE
Drawers	"enormous, of Badakhshan women"	FALSE
Dreams	notable	FALSE
Drums	sound of in certain sandy districts	FALSE
Drums	Dryabalanops Camphora	FALSE
Du Bose	Rev. H.C	FALSE
Dua Khan		FALSE
Ducat	or sequin	FALSE
Dudley	Arcano del Mare	FALSE
Duel	mode in S. India of	FALSE
Dufour	on mediaeval artillery	FALSE
Duhalde	Plan of Ki-chau	FALSE
Duhalde	or T'si-ning chau	FALSE
Dukuz Khatun		FALSE
Dulcarnon (Zulkarnain)		FALSE
Dulites		FALSE
Dumas	Alexander	FALSE
Dumb trade		FALSE
Duncan	Rev. Moir	FALSE
Duncan	"Dungen (Tungani), or converts"	FALSE
Duplicates in geography		FALSE
Duplicates in geography	Dupu	FALSE
D¸rerís Map of Venice	so-called	FALSE
Durga Temple		FALSE
Dursamand		FALSE
Dursamand	"D˙sh·b, sweet liquor or syrup"	FALSE
Dust-storms		FALSE
Duties	on Great Kiang	FALSE
Duties	on goods at Kinsay and Zayton	FALSE
Duties	on horses	FALSE
Duties	at Hormuz	FALSE
Duties	(See also Customs.)	FALSE
Dutthagamini	king of Ceylon	Person
Dwara Samudra		FALSE
Dzegun-tala	name applied to Mongolia	FALSE
Dzungaria		FALSE
Dzungaria		FALSE
Eagle mark on shoulder of Georgian kings		FALSE
Eagles	trained to kill large game	FALSE
Eagles	"DASH white, in the Diamond Country"	FALSE
Eagle-wood	origin of the name. (See Lign-aloes.)	FALSE
Earth honoured		FALSE
East	"its state, circa, 1260"	FALSE
Ebony (bonus)		FALSE
Edkins	Rev	FALSE
Edward I		FALSE
Edward II	correspondence with Tartar princes	FALSE
Effeminacy	in Chinese palaces	FALSE
Eggs of Ruc and Aepyornis		FALSE
Egrigaia	province	Location
Ela (cardamom)		FALSE
Elchidai		FALSE
Elenovka		FALSE
Elephantiasis		FALSE
Elephants	the king of Mien's	Person
Elephants	war of the	FALSE
Elephants	K˙bl·i carried on a timber bartizan by four	FALSE
Elephants	K˙bl·iís	FALSE
Elephants	numbers of men alleged to be carried by	FALSE
Elephants	how the Tartars routed	FALSE
Elephants	wild	FALSE
Elephants	in Caugigu	FALSE
Elephants	Champa	FALSE
Elephants	Locac	FALSE
Elephants	Sumatra	FALSE
Elephants	Madagascar and Zanghibar	FALSE
Elephants	trade in teeth of	FALSE
Elephants	carried off by the Ruc	FALSE
Elephants	in Zanghibar	FALSE
Elephants	used in war	FALSE
Elephants	an error	FALSE
Elephants	Nubian	FALSE
Elephants	fable about	FALSE
Elephants	not bred in Abyssinia	FALSE
Elephants	training of African	FALSE
Eli	"Ely, Elly (Hili), kingdom of"	Location
Elima		FALSE
Elixir vitae of the Jogis		FALSE
Elliot	Sir Walter	Person
Emad	"Ed-din Abu Thaher, founder of the Kurd dynasty"	Person
Embroidery	leather in Guzerat	Person
Embroidery	 of silk at Kerman	FALSE
Empoli	Giovanni d'	FALSE
Empusa	the Arabian Nesn·s	FALSE
Enchanters	at Socotra	FALSE
Enchantments	of the Caraonas	FALSE
Enchantments	"(See also Conjurers, Socerers.)"	FALSE
Engano Island	legend	FALSE
Engineering feat		FALSE
Engineers	their growing importance in Middle Ages	FALSE
England	Kublai's message to king of	Person
England	correspondence of Tartar princes with kings of	FALSE
English trade and character in Asia		FALSE
Enlightenment	Land of	Location
Erba	poisonous plant or grass	FALSE
Erculin	Arculin (an animal)	FALSE
Erdeni Tso (Erdenidsu	or Erdeni Chao Monastery	FALSE
Eremites (Rishis	of Kashmir	FALSE
Erguiul	province	Location
Erivan		FALSE
Erivan	"Erkeun, (Ye li ke un), Mongol for Christians"	FALSE
Ermine		FALSE
Erzinjan	"Erzinga, Eriza (Arzinga)"	FALSE
Erzrum (Arziron)		FALSE
Eschiel	the word	FALSE
"Esher (Shehr, Es-shehr)"	described	FALSE
"Esher (Shehr, Es-shehr)"	"trade with India, incense, Ichthyophagi"	FALSE
"Esher (Shehr, Es-shehr)"	singular sheep	FALSE
Essentemur (Isentimur)	"Kublai's grandson, king of Carajan"	Person
Estimo	" Venetian, or forced loan"	FALSE
Etchmiadzin Monastery		FALSE
Ethiopia and India	confused	FALSE
Ethiopian sheep		FALSE
Etiquette of the Mongol Court		FALSE
Etymologies		FALSE
Etymologies	Balustrade	FALSE
Etymologies	buckram	FALSE
Etymologies	Avigi	FALSE
Etymologies	Geliz (GhellÈ)	FALSE
Etymologies	Jatolic	FALSE
Etymologies	muslin	FALSE
Etymologies	baudekins	FALSE
Etymologies	cramoisy	FALSE
Etymologies	ondanique	FALSE
Etymologies	zebu	FALSE
Etymologies	carbine	FALSE
Etymologies	Dulcarnon	FALSE
Etymologies	balas	FALSE
Etymologies	azure and lazuli	FALSE
Etymologies	None	FALSE
Etymologies	Mawmet and Mummery	FALSE
Etymologies	salamander	FALSE
Etymologies	berrie	FALSE
Etymologies	barguerlac	FALSE
Etymologies	S'ling	FALSE
Etymologies	siclatoun	FALSE
Etymologies	Argon	FALSE
Etymologies	Tungani	FALSE
Etymologies	Guasmul	FALSE
Etymologies	chakÛr	FALSE
Etymologies	J·d˙ and Yadah	FALSE
Etymologies	Tafur	FALSE
Etymologies	Bacsi	FALSE
Etymologies	Sensin	FALSE
Etymologies	P'ungyi	FALSE
Etymologies	carquois	FALSE
Etymologies	Keshik·n	FALSE
Etymologies	vernique	FALSE
Etymologies	"camut, borgal, shagreen"	FALSE
Etymologies	Chinuchi or Chunichi	FALSE
Etymologies	Toscaol	FALSE
Etymologies	Bularguchi	FALSE
Etymologies	Fondaco	FALSE
Etymologies	Bailo	FALSE
Etymologies	comerque	FALSE
Etymologies	porcelain	FALSE
Etymologies	Sangon	FALSE
Etymologies	Faghfur	FALSE
Etymologies	"Manjanik, mangonel, mangle, etc."	FALSE
Etymologies	galingale	FALSE
Etymologies	Chini and Misri	FALSE
Etymologies	Satin	FALSE
Etymologies	"eagle-wood, aloes-wood"	FALSE
Etymologies	"Bonus, Calamanz"	FALSE
Etymologies	benzoni	FALSE
Etymologies	china pagoda	FALSE
Etymologies	Pacauca	FALSE
Etymologies	"Balanjar, a-muck"	FALSE
Etymologies	Pariah	FALSE
Etymologies	Govi	FALSE
Etymologies	Avarian	FALSE
Etymologies	Abraiaman	FALSE
Etymologies	Choiach	FALSE
Etymologies	proques	FALSE
Etymologies	Tembul and Betel	FALSE
Etymologies	Sappan and Brazil	FALSE
Etymologies	Balladi	FALSE
Etymologies	Belledi	FALSE
Etymologies	Indigo baccadeo	FALSE
Etymologies	"Gatpaul, baboon"	FALSE
Etymologies	Salami cinnamon	FALSE
Etymologies	[Greek: kÛmakon]	FALSE
Etymologies	rook (in chess)	FALSE
Etymologies	Aranie	FALSE
Etymologies	Erculin and Vair	FALSE
Etymologies	Misk·l	FALSE
Etymologies	DASH (of Proper Names)	FALSE
Etymologies	Curd	FALSE
Etymologies	Dzungaria	FALSE
Etymologies	Chingintalas	FALSE
Etymologies	Cambuscan	FALSE
Etymologies	Oirad	FALSE
Etymologies	Kungurat	FALSE
Etymologies	Manzi	FALSE
Etymologies	Bayan	FALSE
Etymologies	Kinsay	FALSE
Etymologies	Japan	FALSE
Etymologies	Sornau	FALSE
Etymologies	Narkandam	FALSE
Etymologies	Ceylon	FALSE
Etymologies	Ma'bar	FALSE
Etymologies	Chilaw	FALSE
Etymologies	Mailap˙r	FALSE
Etymologies	SÙnagarpattanam	FALSE
Etymologies	"Punnei-K·yal, K·yal"	FALSE
Etymologies	Kollam (Coilum)	FALSE
Etymologies	Hili (Ely)	FALSE
Etymologies	Cambaet	FALSE
Etymologies	Mangla and Nebila	FALSE
Etymologies	Socotra	FALSE
Etymologies	Colesseeah	FALSE
Etymologies	Caligine	FALSE
Etymologies	Aijaruc	FALSE
Etymologies	Nemej	FALSE
Etymologies	DASH Chinese	FALSE
Etzina		FALSE
Eunuchs		FALSE
Eunuchs	procured from Bengal	FALSE
Euphrates		FALSE
Euphrates	said to flow into the Caspian	FALSE
Euphrates	Euphratesia	FALSE
Euxine	see Black Sea	FALSE
Evelyn's Diary		FALSE
Execution of Princes of the Blood	mode of	FALSE
Eyircay· 		FALSE
Facen	Dr. J	Person
Faghfur (Facfur)	his effeminate diversions	Person
Faghfur (Facfur)	decay of his palace	Person
Faghfur (Facfur)	Emperor of Southern China	Person
Faghfur (Facfur)	meaning of title	FALSE
Faizabad in Badakhshan		FALSE
Fakan˙r		FALSE
Fakata		FALSE
Fakhruddin Ahmad	Prince of Hormuz	Person
Falconers	the Kaan's	FALSE
Falcons	of Kerman	FALSE
Falcons	Saker and Lanner	FALSE
Falcons	peregrine	FALSE
Falcons	Kaan's	FALSE
Famine	horrors	FALSE
Famine	"Fanch·n, Píingchang, title of a second class Cabinet Minister"	FALSE
Fan Wen-hu	"or Fan-bunko, a General in Japanese Expedition"	FALSE
Fanchan Lake		FALSE
Fanching	siege of	FALSE
Fandaraina	"Fang, see Squares"	FALSE
Fandaraina		FALSE
Fansur	"in Sumatra, kingdom of"	Location
Fansuri camphor		FALSE
Fariab	or Pariab	FALSE
Faro of Constantinople		FALSE
Farriers	none in S. India	FALSE
Fars	province	Location
Fashiyah	Atabeg dynasty	Organization
Fassa		FALSE
Fasting days	Buddhist	Person
Fattan	in Ma'bar	FALSE
Fausto	"Vettor, his Quinquereme"	Person
Fazl	Ibn Hassan (FazluÔeh-HasunÔeh)	FALSE
Feili	Lurs dynasty	FALSE
Female attendants on Chinese Emperors		FALSE
Ferlec	"in Sumatra, kingdom of (Parl·k)"	Location
Ferlec	Hill people	FALSE
Fernandez	"or Moravia, Valentine"	FALSE
Ferrier	General	FALSE
Festivals	Order of the Kaan's	FALSE
Fiag	or Pog River	Location
Fiag	Ficus Vasta	FALSE
Fid·wÌ	Ismailite adepts	FALSE
Filial Piety in China		FALSE
Filippi	"Professor F. de, Silk industry in Ghílán"	Person
Finn		FALSE
Fiordelisa	daughter of younger Maffeo Polo	Person
Fiordelisa	DASH supposed to be Nicolo Polo’s second wife	Person
Fiordelisa	DASH wife of Felice Polo	Person
Firando Island		Location
Fird˙s	Ismailite Castle	Location
Fire	affected by height of Pamir Plain	FALSE
Fire	regulations at Kinsay	FALSE
Fire-baptism	ascribed to Abyssinians	FALSE
Fire-worship	"or rockets, in Persia"	FALSE
Fire-worship	by the Sensin in Cathay	FALSE
Firishta	the historian	Person
Fish	 miracle in Georgia	FALSE
Fish	in the Caspian	FALSE
Fish	and date diet	FALSE
Fish	supply at Kinsay	FALSE
Fish	food for cattle	FALSE
Fish	stored for man and beast	FALSE
Fish-oil	used for rubbing ships	FALSE
Florin	or ducat	FALSE
Flour (Sago	trees producing	FALSE
Fl¸ckiger	Dr	FALSE
Fog	dry	FALSE
Fokien	see Fu-chau	FALSE
Folin (Byzantine Empire)		FALSE
Fondaco		FALSE
Foot-mark on Adam's Peak	q.v.	FALSE
Foot-posts in Cathay		FALSE
Forg		FALSE
Formosa	Plain (Harmuza)	FALSE
Forsyth	Sir T. Douglas	FALSE
Fortune	R	FALSE
Foundlings	provision for	FALSE
Four-horned sheep		FALSE
Fowls with hair		FALSE
Foxes	black	FALSE
Fozl·n	Ibn	FALSE
Frère charnel		FALSE
Fra terre (Interior)		FALSE
Fracastorious	Jerome	FALSE
Franciscan converts		FALSE
Franciscan converts	in Volga region	FALSE
Franciscan converts	at Yang-chau	FALSE
Franciscan converts	Zayton	FALSE
Francolin (darr·j of the Persians)	black partridge	FALSE
Frankincense	see Incense	FALSE
Frederic II	his account of the Tartars	Person
Frederic II	his cheetas	Person
Frederic II	his leather money	Person
Frederic II	his giraffe	Person
Frederic II	Emperor	FALSE
Frederic II	story of implicit obedience	FALSE
French		FALSE
French	the original language of Polo's Book	FALSE
French	its large diffusion in that age	FALSE
French Expedition up the Kamboja River		FALSE
French mission and missionaries in China		FALSE
Frenchmen	riding long like	FALSE
Frere	Sir Bartle	Person
Froissart		FALSE
Fuchau (Fuju)	paper-money at	FALSE
Fuchau (Fuju)	tooth relique at	FALSE
Fuen (Fen) ho 	River	Location
Fuju (Fokien and Fuchau)	city	Location
Funeral rites	Chinese	FALSE
Funeral rites	in Tangut	FALSE
Funeral rites	of the Kaans	FALSE
Funeral rites	at Kinsay	FALSE
Funeral rites	(See also Dead.)	FALSE
Fungul	city of	Location
Furs	of the Northern Regions	Person
Fusang	Mexico 	Location
Fuyang		FALSE
Fuzo	see Fu-chau	FALSE
Fuzo		FALSE
Gabala	Bishop of	Person
Gagry	maritime defile of	FALSE
Gaisue	officer of Kublai's Mathematical Board	Person
Galashkird		FALSE
Galeasse	Venetian gallery	FALSE
Galeazza	Venetian	FALSE
Galingale		FALSE
Galletti	Marco	FALSE
Galleys of the Middle Ages	war	FALSE
Galleys of the Middle Ages	arrangement of rowers	FALSE
Galleys of the Middle Ages	number of oars	FALSE
Galleys of the Middle Ages	dimensions	FALSE
Galleys of the Middle Ages	tactics in fight	FALSE
Galleys of the Middle Ages	toil in rowing	FALSE
Galleys of the Middle Ages	strength and cost of crew	FALSE
Galleys of the Middle Ages	staff of fleet	FALSE
Galleys of the Middle Ages	Joinville's description of	FALSE
Galleys of the Middle Ages	customs of	FALSE
Galley-slaves 	not usual in Middle Ages	FALSE
Gambling	prohibited by Kublai	FALSE
Game	see Sport	FALSE
Game	supplied to Court of Cambaluc	FALSE
Game Laws	Mongol	FALSE
Ganapati Kings		FALSE
Gandar	Father	Person
Gandh·ra 	Buddhist name for Yun-nan	Person
Gandh·ra 		FALSE
Ganfu	port of Kinsay	Location
Ganja	gate of	Location
Gan-p'u		FALSE
Gantanpouhoa	Kublai's son	Person
Gant˚r 		FALSE
Gardenia	fruit and dyes	FALSE
Gardinerís (misprinted Gardnerís)		FALSE
Gardner	Mr. C.	Person
Garmsir	"Ghermseer (Cremesor), Hot Region"	Person
Garnier	Lieut. Francis (journey to Talifu)	FALSE
Garrisons	"Mongol, in Cathay and Manzi"	FALSE
Garrisons	disliked by the people	FALSE
Garrisons	Garuda	FALSE
Gate of Iron	ascribed to Derbend	FALSE
Gates	of Kaan's palace	Location
Gates	of Cambaluc	Location
Gates	of Somnath	Location
Gat-pauls	"Gatopaul, Gatos-paulas"	FALSE
Gat-pauls	Gatto maimone	FALSE
Gauenispola Island		Location
Gauristan		FALSE
Gavraz villages		FALSE
Gazaria		FALSE
Gedrosi		FALSE
Gelath in Imeretia	Iron Gate at	FALSE
Gelath in Imeretia	"Geliz, Spanish for silk dealer"	FALSE
Genealogy of Polos		FALSE
Genealogy of Polos	"errors as given by Barbaro, etc., in"	FALSE
Genealogy of Polos	tabular	FALSE
Genealogy of Polos	of House of Chinghiz	FALSE
Genoa	Polo's captivity at	FALSE
Genoa	"DASH and Pisa, rivalry, and wars of"	FALSE
Genoa	"DASH and Venice, rivalry and wars of"	FALSE
Genoese	their growth in skill and splendour	FALSE
Genoese	character as seamen by poet of their own	FALSE
Genoese	character by old Italian author	FALSE
Genoese	capture of Soldaia	FALSE
Genoese	their navigation of the Caspian	FALSE
Genoese	trade in box-wood	FALSE
Genoese	their merchants at Tabriz	FALSE
Genoese	in Fo-kien	FALSE
Gentile Plural names converted into local singulars		FALSE
Geographical Text of Polo's Book constantly quoted	source of other texts	Person
Geographical Text of Polo's Book constantly quoted		FALSE
Geographical Text of Polo's Book constantly quoted	its language	FALSE
Geographical Text of Polo's Book constantly quoted	proofs that it is the original	FALSE
Geographical Text of Polo's Book constantly quoted	tautology	FALSE
"George (Jirjis Yurji, Gurg·n)"	king of Tenduc	Person
"George (Jirjis Yurji, Gurg·n)"	of the time of Prester John	Person
"George (Jirjis Yurji, Gurg·n)"	a possible descendant of	Person
Georgia (Georgiana)	beauty of	Location
Georgia (Georgiana)	and its inhabitants	Location
Georgia (Georgiana)	their kings	Location
Gerfalcons 	tablets engraved with	FALSE
Gerini	Colonel	FALSE
German Follower of the Polos		FALSE
Ghaissuddin Balban (Asedin Soldan)	Sultan of Delhi	Person
Gh·ran country	ruby mines in	Location
Ghazan (Casan) Khan of Persia	son of Arghún	Person
Ghazan (Casan) Khan of Persia	his regard for the Polos	Person
Ghazan (Casan) Khan of Persia	his mosque at Tabriz	Person
Ghazan (Casan) Khan of Persia	his object and accomplishments	Person
Ghazan (Casan) Khan of Persia	marries the Lady Kukachin	Person
Ghazan (Casan) Khan of Persia	set to watch the Khorasan frontier	Person
Ghazan (Casan) Khan of Persia	obtains the throne	Person
Ghel	"or Ghelan (Ghel-u-chelan), Sea of, Caspian Sea"	FALSE
GhellÈ (GÌlÌ)	silk of the Gíl province	FALSE
Ghes	or Kenn (formerly Kish or Kais)	FALSE
Ghes	Ghez tree	FALSE
Ghiuju		FALSE
Ghiyas ed-din	last Prince of Kurd dynasty	Person
Ghori	or Aksarai River	Location
Ghori	"Gh˙ls, goblins"	FALSE
Gh˙r		FALSE
Giglioli	Professor H	Person
GÌl	"or GÌl·n, province"	FALSE
Gilgit		FALSE
Gill	Captain (River of Golden Sand)	Location
Ginao	Mt. and Hot Springs	FALSE
Gindanes of Herodotus		FALSE
Ginger		FALSE
Ginger	Shan-si	FALSE
Ginger	Caindu	FALSE
Ginger	alleged to grow in Kiangnan	FALSE
Ginger	Fuju	FALSE
Ginger	Coilum	FALSE
Ginger	different qualities and prices of	FALSE
Ginger	Ely	FALSE
Ginger	Malabar	FALSE
Ginger	Guzerat	FALSE
Giraffes		FALSE
Giraffes	mediaeval notices of	FALSE
Girardo	Paul	FALSE
Girdkuh	"an Ismailite fortress, its long defence"	Location
Girls	consecrated to idols in India	FALSE
Gittarchan	see Astrakhan	FALSE
Glaza (Ayas)		FALSE
Gleemen and jugglers	conquer Mien	FALSE
Goître at Yarkand		FALSE
Goa		FALSE
Gobernador	Straits of	FALSE
GoÎs	Benedict	FALSE
Gog and Magog (Ung and Mungul)	country of	Location
Gog and Magog (Ung and Mungul)	rampart of	FALSE
Gog and Magog (Ung and Mungul)		FALSE
Gog and Magog (Ung and Mungul)	legend of	FALSE
Gog and Magog (Ung and Mungul)	name suggested by Wall of China	FALSE
Gogo		FALSE
Golconda diamond mines		FALSE
Gold	"Frankincense, and Myrrh, their mystic meaning"	FALSE
Gold and silver towers of Mien	DASH of the Gryphons in Herodotus	Person
Gold and silver towers of Mien		FALSE
Gold and silver towers of Mien	DASH cloths of. (See Silk and Gold.)	FALSE
Gold and silver towers of Mien	"DASH Teeth (Zardandan), Western Yun-nan"	FALSE
Gold and silver towers of Mien	"DASH to silver, relative value of"	FALSE
Gold dust in Tibet	Brius River	Location
Gold dust in Tibet		FALSE
Gold dust in Tibet	exchanged for salt in Caindu	FALSE
Gold dust in Tibet	in Kin-shia-Kiang	FALSE
Gold dust in Tibet	and nuggets in Carajan	FALSE
Gold dust in Tibet	abundant in Yun-nan	FALSE
Gold dust in Tibet	Caugigu	FALSE
Gold dust in Tibet	Coloman	FALSE
Gold dust in Tibet	infinite in Chipangu	FALSE
Gold dust in Tibet	in Sea of Chin Islands	FALSE
Gold dust in Tibet	dust in Gulf of Cheinan Islands	FALSE
Gold dust in Tibet	not found in Java	FALSE
Gold dust in Tibet	in Locac	FALSE
Gold dust in Tibet	the Malayo–Siamese territories	FALSE
Gold dust in Tibet	Sumatra	FALSE
Gold dust in Tibet	vast accumulations in South India	FALSE
Gold dust in Tibet	imported into Malabar	FALSE
Gold dust in Tibet	and into Cambay	FALSE
Gold dust in Tibet	purchased in Socotra	FALSE
Golden King and Prester John	tale of the	FALSE
Golden King and Prester John	DASH Island	FALSE
Golden King and Prester John	DASH Horde (kings of the Ponent)	FALSE
Golden King and Prester John	"Golfo, Indigo di"	FALSE
Gomispola	"Gomispoda, see Gauenispola"	FALSE
Gomushtapah	Wall of	FALSE
Gomuti palm		FALSE
Gondophares	a king in the St. Thomas legends	FALSE
Gordon’s “Ever Victorious Army”		FALSE
Gordun Sháh		FALSE
Goriosan		FALSE
Goriosan	"Gor Khar, wild ass"	FALSE
Goshawks		FALSE
Goshawks	black	FALSE
Gothia (Crimean		FALSE
Gothia (Crimean	its limit and language	FALSE
Govy	a low caste in Maabar	FALSE
Goza		FALSE
Gozurat	see Guzerat	FALSE
Grail	Buddhist parallel to the Holy	Person
Granaries	Imperial	FALSE
Grapes in Shan-si		FALSE
Grass-cloths		FALSE
Grasso	Donato	FALSE
Great	or Greater Sea (Black Sea)	FALSE
Great Bear (Meistre		FALSE
Great Bear (Meistre	"and Little, force of, and application of these epithets"	FALSE
Greece	Bactria’s relation to	FALSE
Greek fire		FALSE
Greeks	in Turcomania	FALSE
Greeks	and Greek tongue in Socotra	FALSE
Greeks	possible relic of	FALSE
Green	Rev. D.D	FALSE
Green	"DASH Island, legendary"	FALSE
Green	DASH Islands	FALSE
Green	"DASH Mount, Cambaluc"	FALSE
Green	"DASH R., see Tsien Tang"	FALSE
Gregorieff	his excavations at Sarai	Person
Gregory X	"Pope, see Theobald of Piacenza"	Person
Grenard		FALSE
Grioni	Zanino	FALSE
Grioni	"Griut (kurut), sour-curd"	FALSE
Groat	Venetian grosso	FALSE
Groot	"Professor, J.J.M. de"	Person
Grote	Arthur	Person
Grueber and Dorville	Jesuit travellers	FALSE
Grueber and Dorville	"Grus, cinerea, antigone, leucogeranus, monachus"	FALSE
Gryphon	see Rue	FALSE
Göring	F	FALSE
Guasmul (Basmul	half-breeds	FALSE
Guchluk		FALSE
Gudar (village	"Gudderi, musk animals, Tibet"	FALSE
Gudar (village)		FALSE
Gudran		FALSE
Guebers	the	FALSE
Guilds of craftsmen at Kinsay		FALSE
Guilds of craftsmen at Kinsay	DASH Venetian	FALSE
Guinea-fowl		FALSE
Guions	a quasi-Tibetan tribe	FALSE
Gujáh	Húlákú‘s chief secretary	FALSE
Gujáh	"Gugal, bdellum"	FALSE
Gumish–Khának	silver mines	FALSE
Gunpowder		FALSE
Gur–Khan of Karacathay		FALSE
Gurgan	a Tartar chief	Person
Gurgan	"Gurgan, son-inlaw, a title"	FALSE
Gutturals	Mongol elision of	FALSE
Gutturals	Guz=100	FALSE
Guzerat (Gozurat		FALSE
Guzerat (Gozurat	"products, mediaeval architecture and dress"	FALSE
Guzerat (Gozurat	work	FALSE
Guzerat (Gozurat		FALSE
Haast	"Dr., discovers a fossil Rue"	Person
Habíb-ullah of Khotan		FALSE
Habsh (Abash	see Abyssinia	FALSE
Hadhramaut (Sessania Adrumetorum)		FALSE
Hadiah		FALSE
Haffer		FALSE
Hai-nan	Gulf of	Location
Hai-nan	DASH language of	FALSE
Hairy men in Sumatra		FALSE
Hajji Mahomed		FALSE
Hakeddin		FALSE
Half-breeds	see Argon	FALSE
Hamd Allah Mastaufi	the geographer	Person
Hamilton	Captain Alexander	FALSE
Hammer–Purgstall on Marco Polo		FALSE
Hamúm Arabs		FALSE
Hamza of Ispahan		FALSE
Hamza Pantsúri	or Fantsúri	FALSE
Han dynasty	DASH River	Location
Han dynasty		FALSE
Han Yu		FALSE
Han Yu	Harám	FALSE
Hanbury	D	FALSE
Han-chung (Cuncun)		FALSE
Hang-chau fu	see Kinsay	FALSE
Hanjam		FALSE
Han-kau		FALSE
Hansi		FALSE
Harhaura	W. Panjáb	FALSE
Harlez	Mgr. de	FALSE
Harlez	Hármozeia	FALSE
Harlez	"Harpagornis, fossil Ruc"	FALSE
Harran		FALSE
Harshadeva	king of Kashmir	Person
Harsuddi	temple of	FALSE
Haru	or Aru	FALSE
Hashíshín	see Assassins	FALSE
Hasik		FALSE
Hassán Kalá	hot springs at	FALSE
Hassan	"son of Sabah, founder of the Ismailites"	Person
Hastings	"Warren, letter of"	FALSE
Hatan	rebellion of	FALSE
Haunted deserts		FALSE
Havret	Father H	Person
Havret	"Hawáríy (Avarian), the term"	FALSE
Hawks	on shores and islands of Northern Ocean	Person
Hawks	hawking in Georgia	FALSE
Hawks	Yezd and Kerman	FALSE
Hawks	Badakhshan	FALSE
Hawks	Etzina	FALSE
Hawks	among the Tartars	FALSE
Hawks	Kúblái’s sport at Chagannor	FALSE
Hawks	in mew at Chandu	FALSE
Hawks	trained eagles	FALSE
Hawks	Kúblái’s establishment of	FALSE
Hawks	in Tibet	FALSE
Hawks	Sumatra	FALSE
Hawks	Maabar	FALSE
Hayton I. (Hethum	king of Lesser Armenia	Person
Hayton I. (Hethum	his autograph	Person
Hazáras	"the, Mongol origin of"	FALSE
Hazáras	lax custom ascribed to	FALSE
Hazbana	king of Abyssinia	Person
Heat	great at Hormuz	FALSE
Heat	in India	FALSE
Heaven	City of (Kinsay)	Location
Hedin	Dr. Sven	Person
Heibak	caves at	FALSE
Height	effects on fire of great	FALSE
Heikel	"Professor Axel, on Buddhist monasteries in the Orkhon"	Person
Hei-shui (Mongol Etsina) River		Location
Hel	Ela (Cardamom)	FALSE
Helena	Empress	FALSE
Helli	see Eli	FALSE
He-lung Kiang		FALSE
Hemp of Kwei-chau		FALSE
Henry II	Duke of Silesia	FALSE
Henry III		FALSE
Heraclius	Emperor	Person
Heraclius	said to have loosed the shut-up nations	FALSE
Herat		FALSE
Hereditary trades		FALSE
Hereford	Map	FALSE
Hermenia	see Armenia	FALSE
Hermits of Kashmir		FALSE
Herodotus		FALSE
Hethum	see Hayton	FALSE
