chapterNo	chapterTitle	sectionNo	sectionTitle	sentenceNo	sentence	Polo Location	Person	Location	Travel verbs	Travel Verb Phrases	Travel Noun Phrases	Travel Phrases	Travelled Location
1	PART 1	12	On the Kingdom of Creman	194	Creman is a kingdom anciently belonging to Persia, and which used to be governed by a hereditary prince ; 	Creman		Creman,Persia					
1	PART 1	12	On the Kingdom of Creman	195	but since the Tartar conquered it, he appoints what deputy he pleases.								
1	PART 1	12	On the Kingdom of Creman	196	In that region the stones called turquoises are in great abundance ; 								
1	PART 1	12	On the Kingdom of Creman	197	they are found in the mountains, and excavated from the rocks.								
1	PART 1	12	On the Kingdom of Creman	198	 The inhabitants make all things necessary for troops, such as reins, saddles, bows, arrows, quivers, and all kinds of arms, according to the custom of the country.								
1	PART 1	12	On the Kingdom of Creman	199	The ladies work very neatly cloths of gold and silk, representing with the needle, beasts, birds, and many other objects.								
1	PART 1	12	On the Kingdom of Creman	200	In the mountains are reared the finest falcons in the world, for though smaller than the peregrine species, they fly so swiftly that no bird can escape them.				escape	escape them	them		
1	PART 1	12	On the Kingdom of Creman	201	When a man leaves the city of Creman, he travels seven days through towns and fortified places, finding much amusement, because there are great numbers of wild beasts and birds.			Creman					
1	PART 1	12	On the Kingdom of Creman	202	 At the end of these seven days, he comes to the declivity of a mountain, and continues two days always descending.				descending				
1	PART 1	12	On the Kingdom of Creman	203	There are abundance of fruits, but no habitation, only shepherds pasturing their flocks.								
1	PART 1	12	On the Kingdom of Creman	204	The cold on this road during winter is so great that a man cannot safely travel unless with a very ample provision of clothes.				travel	travel unless with a very ample provision of clothes	travel,a very ample provision of clothes,a very ample provision,clothes		
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	205	At the bottom of this descent is a very extensive plain, at the commencement of which is a city named Camandu,once wonderfully great and noble, but now much declined, because the Tartar invaders have repeatedly plundered it.	Camandu,Reobarle		Camandu					
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	206	The heat here is extreme, and the province is called Reobarle.			Reobarle					
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	207	Its fruits are dates, pistachio nuts, apples of paradise, and others which do not grow in our country.								
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	208	Here are a species of birds called francolin, which are different from those of other lands, their colour being a mixture of white and black, while the beak and feet are red.								
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	209	The oxen are very large, white as snow, and the hair very smooth, in consequence of the heat.								
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	210	Between the shoulders is a hump, two palms high, and their appearance is the most beautiful of any in the world.								
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	211	When the owner wishes to load them, they bend down as the camels do, and after receiving their burden, rise and bear it well, being extremely strong.								
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	212	There are sheep as large as asses, and with tails so thick and so broad as to weigh full thirty pounds.								
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	213	They are also fat, and make excellent food.								
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	214	The people have castles and cities surrounded by walls of earth, in order to defend themselves against the Caraunas, a mixed race between the Indians and the Tartars.								
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	215	When these people wish to overrun the country and rob it, they, by their enchantment and diabolical agency, cause the day to become dark, so that you can see to little or no distance, and this darkness they make to last seven days.								
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	216	They know the places so well, that they can ride during the thickest of it ; 				ride	ride during the thickest of it	ride,the thickest of it,the thickest,it		
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	217	and they are sometimes ten thousand in number, so that nothing found on the plain, man, beast, or any thing, can escape.				escape	escape	escape		
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	218	They kill the old persons, and carry off the young to sell them for slaves.								
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	219	Their king is called Nogodar, and he went to the court of Ciagatai, who was the brother of the great khan, with 10,000 men, and remained with him, because his uncle was very powerful.		Nogodar,Khan,Ciagatai		went	went to the court of Ciagatai , who was the brother of the great khan , with 10,000 men , and remained with him , because his uncle was very powerful	the court of Ciagatai , who was the brother of the great khan , with 10,000 men , and remained with him , because his uncle was very powerful,the court,Ciagatai,the brother of the great khan , with 10,000 men ,,the brother,the great khan , with 10,000 men ,,the great khan,10,000 men,him,his uncle		
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	220	During this stay, Nogodar committed a very great wickedness, and I will tell you what it was.		Nogodar						
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	221	He departed from his uncle Ciagatai, who was in Great Armenia, and took with him 10,000 of his people, who were very cruel, and marched by Badasian and through a province called Pasciai, and another called Chesciemur, losing many of his people and beasts, because the roads were narrow and very bad; 		Ciagatai	Great Armenia,Badasian,Pasciai,Chesciemur	departed,marched	departed from his uncle Ciagatai , who was in Great Armenia , and took with him 10,000 of his people , who were very cruel , and marched by Badasian and through a province called Pasciai , and another called Chesciemur , losing many of his people and beasts , because the roads were narrow and very bad,departed from his uncle Ciagatai , who was in Great Armenia ,,marched by Badasian and through a province called Pasciai , and another called Chesciemur , losing many of his people and beasts , because the roads were narrow and very bad	his uncle Ciagatai , who was in Great Armenia ,,his uncle Ciagatai,Great Armenia,Badasian,a province called Pasciai , and another called Chesciemur , losing many of his people and beasts , because the roads were narrow,a province,Pasciai , and another called Chesciemur , losing many of his people and beasts,Pasciai,another called Chesciemur,many of his people and beasts,many,his people and beasts,the roads	a province called Pasciai  , and another called Chesciemur 	Pasciai ,Chesciemur
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	222	and when they had passed all these provinces, they entered into India, on the borders of one called Dilivar.			India,Dilivar	passed,entered	passed all these provinces,entered into India , on the borders of one called Dilivar	all these provinces,India,the borders of one called Dilivar,the borders,one called Dilivar,one,Dilivar	India ,the borders of one called Dilivar	India ,Dilivar
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	223	They came to the city of the same name, and took it from a king called Asidiu Sultan, who was very great and rich.		Asidiu Sultan		came	came to the city of the same name , and took it from a king called Asidiu Sultan , who was very great and rich	the city of the same name,the city,the same name,it,a king called,a king,Asidiu Sultan , who was very great and rich,Asidiu Sultan		
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	224	There Nogodar, with his people, continues to rule, and makes war with all the other Tartars who dwell in the surrounding country.		Nogodar						
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	225	Having told you of this plain, and of the people who produced darkness in order to rob, I must also mention that Messer Marco himself was nearly taken by them amid this gloom, but though a number of his companions were captured, and either killed or sold as slaves, he himself escaped to a castle named Canosalmi.		Messer Marco	Canosalmi	escaped	escaped to a castle named Canosalmi	a castle named Canosalmi,a castle,Canosalmi	a castle named Canosalmi	Canosalmi
1	PART 1	14	On the City of Cormos	226	That plain extends five days' journey southward, and you then come to a descent which continues twenty miles by a very bad and difficult road, full of wicked robbers.	Formosa, Cormos							
1	PART 1	14	On the City of Cormos	227	You then approach the very beautiful plain of Formosa, watered by fine rivers, with plantations of the date-palm, and having the air filled with francolins, parrots, and other birds unknown to our climate.			Formosa					
1	PART 1	14	On the City of Cormos	228	You ride two days through it, and then arrive at the ocean, on which there is a city and fort named Cormos.			Cormos	arrive	arrive at the ocean , on which there is a city and fort named Cormos	the ocean , on which there is a city and fort named Cormos,the ocean,there,a city and fort named Cormos,a city and fort,Cormos	 on which there is a city and fort named Cormos	Cormos
1	PART 1	14	On the City of Cormos	229	The ships of India bring thither all kinds of spiceries, precious stones, and pearls, cloths of silk and gold, elephants' teeth, and many other articles.			India					
1	PART 1	14	On the City of Cormos	230	It is the capital of a kingdom, having many cities and castles under it, and the sovereign is called Ruemedan Achomac.			Ruemedan Achomac					
1	PART 1	14	On the City of Cormos	231	 The climate, however, is intensely hot, and extremely unhealthy, and when any foreign merchant dies, the king inherits all his property.								
1	PART 1	14	On the City of Cormos	232	Wine is here made of dates and other spices, and is extremely good ; 								
1	PART 1	14	On the City of Cormos	233	but when drunk by men unaccustomed to it, has a strong purgative quality, though, after some use, it agrees well, and promotes corpulence.								
1	PART 1	14	On the City of Cormos	234	The people live chiefly on dates and salted fish, particularly the tunny ; 								
1	PART 1	14	On the City of Cormos	235	considering these victuals to be the most wholesome, and that if they used wheaten bread and fiesh they would fall sick.								
1	PART 1	14	On the City of Cormos	236	The ships are very bad, and many are lost from not being secured by nails like ours, but sewed together by a thread made of the bark of the Indian nuttrees, which being softened in water, becomes like horsehair, and is durable enough.								
1	PART 1	14	On the City of Cormos	237	They use it for want of iron, but it is by no means strong or secure.								
1	PART 1	14	On the City of Cormos	238	They have a mast, sail, and rudder, all single, and a coverlet of leather, which is spread over the goods, and on that they place the horses, many of which are transported into India.			India					
1	PART 1	14	On the City of Cormos	239	These ships, too, are not tarred, but covered with the oil of fish.								
1	PART 1	14	On the City of Cormos	240	The people are black, and adore Mohammed.		Mohammed						
1	PART 1	14	On the City of Cormos	241	They do not remain in the city during summer, for then they would all die, but retire to the country, where they have verdant gardens, finely watered by streams.								
1	PART 1	14	On the City of Cormos	242	Even there they would not escape, because there often blows from the sandy tracts that surround the city a wind so excessively hot that it would kill them all, if they did not plunge into the water and thus escape it.				escape,escape	escape , because there often blows from the sandy tracts that surround the city a wind so excessively hot that it would kill them all , if they did not plunge into the water and thus escape it,escape , because there often blows from the sandy tracts that surround the city a wind so excessively hot that it would kill them all , if they did not plunge into the water and thus escape it	escape , because there often blows from the sandy tracts that surround the city a wind so excessively hot that it would kill them all , if they did not plunge into the water and thus escape it,escape,there often blows from the sandy tracts that surround the city a wind so excessively hot that it would kill them all , if they did not plunge into the water and thus escape it,there,blows,the sandy tracts,the city,a wind,it,them,they,plunge,the water,it,escape , because there often blows from the sandy tracts that surround the city a wind so excessively hot that it would kill them all , if they did not plunge into the water and thus escape it,escape,there often blows from the sandy tracts that surround the city a wind so excessively hot that it would kill them all , if they did not plunge into the water and thus escape it,there,blows,the sandy tracts,the city,a wind,it,them,they,plunge,the water,it		
1	PART 1	14	On the City of Cormos	243	They sow wheat, barley, and other kinds of grain in the month of November, and reap them in March, when they become ripe and perfect ; 								
1	PART 1	14	On the City of Cormos	244	but none except the date will endure till May, being dried up by the extreme heat.								
1	PART 1	14	On the City of Cormos	245	I have also to tell you, when men or women die, great grief is shown, and the ladies, during full four years after the death of their husbands, make lamentations at least once a-day.								
1	PART 1	14	On the City of Cormos	246	On these occasions, they assemble their relations and neighbours, who join them in loud moanings and cries.								
1	PART 1	14	On the City of Cormos	247	In proof of the extreme violence of the heat, Marco Polo mentions the following circumstance which occurred during his residence.		Marco Polo						
1	PART 1	14	On the City of Cormos	248	The ruler of Cormos neglected to pay his tribute to the King of Creman, who took the resolution of enforcing it at the season when the principal inhabitants go in to the country.			Cormos,Creman					
1	PART 1	14	On the City of Cormos	249	He therefore despatched 1600 horse and 5000 foot through the district of Reobarle, to take them by surprise.			Reobarle					
1	PART 1	14	On the City of Cormos	250	Being misled, however, by the guides, they did not reach the place till night, when they halted to rest in a grove near the town.				reach	reach the place till night , when they halted to rest in a grove near the town	the place,night , when they halted to rest in a grove near the town,night,they,a grove near the town,a grove,the town		
1	PART 1	14	On the City of Cormos	251	On renewing their march next morning, they were attacked by the hot wind, and all suffocated ; 								
1	PART 1	14	On the City of Cormos	252	not one surviving to carry back the fatal intelligence.								
1	PART 1	14	On the City of Cormos	253	When the people of Cormos learned this event, and went to bury the dead bodies lest they should infect the air, they found them so softened by the intense heat, that the limbs, when handled, separated from the trunks ; 			Cormos	went	went to bury the dead bodies lest they should infect the air	the dead bodies,they,the air		
1	PART 1	14	On the City of Cormos	254	and it was necessary to dig graves close to where the corpses lay.								
1	PART 1	15	Return to Creman	255	We will now leave this city, and not go on to India, for I will describe it farther on in my book, in the proper time and place.	Creman		India	leave,go	leave this city , and not go on to India , for I will describe it farther on in my book , in the proper time and place,go on to India , for I will describe it farther on in my book , in the proper time and place	this city,India,I,it,my book,the proper time and place,the proper time,place,India,I,it,my book,the proper time and place,the proper time,place		
1	PART 1	15	Return to Creman	256	We will return, therefore, by another road to Creman, because the countries now to be delineated can be reached only by way of that city, and I must tell you that Ruemedan Achomac, of whom we have just spoken, is subject to its king.			Creman,Ruemedan Achomac	return,reached	return , therefore , by another road to Creman , because the countries now to be delineated can be reached only by way of that city,reached only by way of that city	return , therefore , by another road to Creman , because the countries now to be delineated,return , therefore ,,return,another road to Creman , because the countries now to be delineated,another road,Creman,the countries,way of that city,way,that city,way of that city,way,that city	 by another road to Creman 	Creman
1	PART 1	15	Return to Creman	257	The route in returning thither from Cormos is through a very fine plain.			Cormos	returning	returning thither from Cormos	Cormos	Cormos	Cormos
1	PART 1	15	Return to Creman	258	There are many springs whence the water issues in a hot state, forming baths very salutary in cutaneous and other diseases.								
1	PART 1	15	Return to Creman	259	Here is abundance of fruits and dates, also of partridges and other birds ; 								
1	PART 1	15	Return to Creman	260	but the wheaten bread, owing to the quality of the water, is so bitter that no one unaccustomed to its use can eat it.								
1	PART 1	15	Return to Creman	261	I now wish to tell you of a country lying to the north.								
1	PART 1	15	Return to Creman	262	When a man has left Creman, he travels seven days in that direction, through a very dreary region.			Creman	left	left Creman	Creman	Creman	Creman
1	PART 1	15	Return to Creman	263	During three days he finds no river, and the little water met with is salt, green like grass, and so bitter that it is impossible to drink it, and if a man tastes even a drop, it produces violent purging.								
1	PART 1	15	Return to Creman	264	Travellers, therefore, carry water with them ; 								
1	PART 1	15	Return to Creman	265	but the beasts being obliged to drink such as they find, suffer severely.								
1	PART 1	15	Return to Creman	266	The whole tract is an arid desert, destitute of animals, which could not find food.								
1	PART 1	15	Return to Creman	267	On the fourth day, you reach a river of fresh water, but with its channel mostly under ground.								
1	PART 1	15	Return to Creman	268	In some spots, however, the force of the current makes abrupt openings, when the stream appears for a short space, and drink is abundantly supplied.								
1	PART 1	15	Return to Creman	269	Then follows another tract that lasts four days, and is also a dry desert, with bitter water, and no animals except wild asses.								
1	PART 1	15	Return to Creman	270	 At the end of the four days, we leave the kingdom of Creman and proceed towards Cobinam.			Creman,Cobinam	proceed	proceed towards Cobinam	Cobinam	Cobinam	Cobinam
1	PART 1	16	On the City of Cobinam	271	Cobinam is a great city inhabited by Mohammedans.	Cobinam		Cobinam					
1	PART 1	16	On the City of Cobinam	272	There is abundance of iron, brass, and andanico, of the second of which they construct large and beautiful mirrors; 								
1	PART 1	16	On the City of Cobinam	273	they make here also the tutty, which is extremely good for the eyes, and likewise sponge, in the following manner.								
1	PART 1	16	On the City of Cobinam	274	They take a vein of earth fitted for this purpose, and throw it into a burning furnace, above which is a grating of iron; 								
1	PART 1	16	On the City of Cobinam	275	then the smoke and moisture ascending adhere to the iron and form tutty, while the earth which remains in the furnace becomes sponge.				ascending	ascending			
1	PART 1	17	On the Province of Tonocain	276	When a man departs from Cobinam, he goes through a desert of eight days, and the country is very arid; 	Tonocain		Cobinam					
1	PART 1	17	On the Province of Tonocain	277	there is neither fruit nor trees, and the water is bitter and bad, so that he must carry both it and food for himself, but the beasts drink that on the road, though very unwillingly.								
1	PART 1	17	On the Province of Tonocain	278	He then comes to a province called Tonocain, with cities and many castles, bordering upon Persia towards the north; 			Tonocain,Persia					
1	PART 1	17	On the Province of Tonocain	279	and there is a very great plain on which grows what the Christians call the dry tree, which I will describe to you.								
1	PART 1	17	On the Province of Tonocain	280	It is very large, and its leaves are green on one side and white on the other.								
1	PART 1	17	On the Province of Tonocain	281	It yields a nut like the chestnut ; 								
1	PART 1	17	On the Province of Tonocain	282	but there is nothing within it.								
1	PART 1	17	On the Province of Tonocain	283	It is a strong wood, and yellow like box ; 								
1	PART 1	17	On the Province of Tonocain	284	and there is no other tree in those parts for a hundred miles round, except on one side, at ten miles' distance.								
1	PART 1	17	On the Province of Tonocain	285	It is said by the people of the country to be the place where Alexander fought with Darius.		Alexander,Darius						
1	PART 1	17	On the Province of Tonocain	286	There are many towns and castles, and the inhabitants have abundance of all good things, the climate being neither too cold nor too hot.								
1	PART 1	17	On the Province of Tonocain	287	Now I must tell you of a country called Mulecte, where the Old Man of the Mountain used to dwell.		Old Man of the Mountain	Mulecte					
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	288	You shall learn all about the Old Man of the Mountain, as I Marco heard related by many persons.	Tonocain	Old Man of the Mountain,Marco						
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	289	He was called in their language Alaodin, and had caused to be formed, in a valley between two mountains, the largest and most beautiful garden that ever was seen.		Alaodin						
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	290	There grew all the finest fruits in the world, and it was adorned by the most beautiful houses and palaces, the interior being richly gilded, and furnished with finely coloured pictures of birds and beasts, and the most striking objects.								
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	291	It contained several conduits through which flowed respectively water, wine, honey, and milk.								
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	292	Here were ladies and damsels unequalled in beauty and in the skill with which they sung and played on instruments of every description.								
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	293	Now the Old Man made his people believe that this garden was paradise, and he formed it thus because Mohammed had given the Saracens to believe that those who went into that place would meet great numbers of beautiful women, and find rivers of water, wine, milk, and honey; 		the Old Man,Mohammed		went	went into that place	that place		
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	294	hence the visiters were led to think that this really was paradise.								
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	295	Into this garden he admitted no man except those whom he wished to make assassins.								
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	296	The entry to the spot was commanded by a castle so strong that he did not fear any power in the world.								
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	297	He kept in his court all the youths of the country between twelve and twenty years of age, and when he thought proper, selected a number who had been well instructed in the description of paradise.								
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	298	He gave them a beverage which threw them into a deep sleep, then carried them into the garden, and made them be awakened.								
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	299	When any one of them opened his eyes, saw this delightful spot, and heard the delicious music and songs, he really believed himself in the state of blessedness.								
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	300	When again, however, he fell asleep, he was brought out into the castle, where he awoke in great wonder, and felt deep regret at having left that delightful abode.				left	left that delightful abode .	delightful abode		
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	301	He then went humbly to the Old Man, worshipping him as a prophet.		the Old Man		went	went humbly to the Old Man , worshipping him as a prophet	the Old Man,him,a prophet		
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	302	Being asked whence he came, he told that he had been in the paradise described by Mohammed, relating all he had seen, and saying that he desired much to die and return thither.		Mohammed		came,return	came			
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	303	The chief then named to him a great lord whom he wished him to kill.								
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	304	The youth cheerfully obeyed, and if in the act he was taken and put to death, he suffered with exultation, believing that he was to go into the happy place.				go	go into the happy place	the happy place		
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	305	If, after performing the deed, he escaped, the Old Man received him with the greatest honour, and when he wished to destroy another chief, employed him afresh, saying that he was sent into paradise.		the Old Man		escaped	escaped			
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	306	Thus scarcely any person could escape being slain, when the Old Man of the Mountain desired it; 		the Old Man of the Mountain		escape	escape being slain , when the Old Man of the Mountain desired it	escape,the Old Man of the Mountain,the Old Man,the Mountain,it		
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	307	and many barons became vassals to him through the dread of thus losing their lives.								
1	PART 1	19	How Alau took and killed the Old Man of the Mountain	308	Having now told you of the Old Man of the Mountain and his assassins, you shall hear how he was killed.	Tonocain	the Old Man of the Mountain						
1	PART 1	19	How Alau took and killed the Old Man of the Mountain	309	I had forgot to mention, that he had other old men placed under him, one of whom he sent into the country of Damascus, and the other into Kurdistan.			Damascus,Kurdistan					
1	PART 1	19	How Alau took and killed the Old Man of the Mountain	310	But now let us come to his destruction.				come	come to his destruction	his destruction		
1	PART 1	19	How Alau took and killed the Old Man of the Mountain	311	It was in 1262 that Alau, the Lord of the East, having heard of his wicked deeds, determined to destroy him.		Alau						
1	PART 1	19	How Alau took and killed the Old Man of the Mountain	312	He sent his generals with a great body of men, who besieged the castle full three years, and then could only reduce it by famine.								
1	PART 1	19	How Alau took and killed the Old Man of the Mountain	313	Alaodin being taken, was killed, with all his people, and since that time there has been no assassin ; 		Alaodin						
1	PART 1	19	How Alau took and killed the Old Man of the Mountain	314	and thus ended his dominion and his wickedness.								
1	PART 1	20	Of a certain City named Sapurgan	315	When a man departs from that castle, he rides through beautiful hills covered with rich herbage, with fruits and all things in great abundance.	Sapurgan							
1	PART 1	20	Of a certain City named Sapurgan	316	The country extends to a journey of six days, and contains cities the inhabitants of which adore Mohammed.		Mohammed						
1	PART 1	20	Of a certain City named Sapurgan	317	Yet sometimes you find a desert of fifty or sixty miles, without water, which men must carry with them.								
1	PART 1	20	Of a certain City named Sapurgan	318	When the traveller has rode six days through the country now described, he finds a city called Sapurgan.			Sapurgan	rode	rode six days through the country now described	six days through the country now described,six days,the country now described,the country		
1	PART 1	20	Of a certain City named Sapurgan	319	It has great abundance of all things, among which are the finest melons in the world in great plenty, and they are preserved in this manner: The people cut them all round like cucumbers, and dry them in the sun, when they become sweeter than honey, and are sold through all the country.								
1	PART 1	20	Of a certain City named Sapurgan	320	Here is fine hunting of beasts and birds.								
1	PART 1	20	Of a certain City named Sapurgan	321	Now I will go on to another city named Balk.			Balk	go	go on to another city named Balk	another city named Balk,another city,Balk	another city named Balk	Balk
1	PART 1	21	Of the City of Balk	322	Balk is a great and noble town, and was anciently still more so; 	Balk,Dogana		Balk					
1	PART 1	21	Of the City of Balk	323	but the Tartars have spoiled and wasted it, so that many beautiful houses and palaces of marble are now destroyed.								
1	PART 1	21	Of the City of Balk	324	It was here, as I was told by the people, that Alexander took to wife the daughter of Darius.		Alexander,Darius						
1	PART 1	21	Of the City of Balk	325	The people revere Mohammed ; 		Mohammed						
1	PART 1	21	Of the City of Balk	326	and at this point ends the dominion of the Eastern Tartars, this city being the boundary of Persia, between north-east and east.			Persia					
1	PART 1	21	Of the City of Balk	327	Now let us tell of another country named Dogana.			Dogana					
1	PART 1	21	Of the City of Balk	328	On leaving Balk, you ride two days between north-east and east, and find no habitation, because the people have all fled to the fortresses in the mountains for fear of wicked men, who lay waste the land.			Balk	leaving,fled	leaving Balk,fled to the fortresses in the mountains for fear of wicked men , who lay waste the land	Balk,the fortresses in the mountains,the fortresses,the mountains,fear of wicked men , who lay waste the land,fear,wicked men , who lay waste the land,wicked men,waste,the land	Balk	Balk
1	PART 1	21	Of the City of Balk	329	There is no want of water or game, and lions are also seen.								
1	PART 1	21	Of the City of Balk	330	No food is to be procured, but travellers must carry it both for themselves and their horses.								
1	PART 1	22	Of the Castle of Taikan	331	When a man has rode these two days, he finds a castle called Taikan,where there is a great corn-market, and the country round is fine.	Taikan		Taikan	rode	rode these two days			
1	PART 1	22	Of the Castle of Taikan	332	The mountains towards the south are very high, and formed entirely of salt, which is the best in the world, and people come for it from a distance of thirty days' journey round.								
1	PART 1	22	Of the Castle of Taikan	333	It is so hard, that it can be broken only by great iron hammers ; 								
1	PART 1	22	Of the Castle of Taikan	334	and there is enough to supply the whole human race till the end of time.								
1	PART 1	22	Of the Castle of Taikan	335	Departing from that city, you go three days north-east, through a fine country, well planted with grain and fruits.				Departing	Departing from that city	that city		
1	PART 1	22	Of the Castle of Taikan	336	The people, who are followers of Mohammed, are wicked and murderous.		Mohammed						
1	PART 1	22	Of the Castle of Taikan	337	They spend much time in the tavern, for they have abundance of good wine, well prepared.								
1	PART 1	22	Of the Castle of Taikan	338	They wear nothing on their heads but a cord ten palms long wrapt round it.								
1	PART 1	22	Of the Castle of Taikan	339	They are good hunters, and thus supply themselves with venison ; but have no clothing except the skins of animals.								
1	PART 1	23	Of the City of Scassem	340	When a man travels three days, he finds a city named Scassem, which is on the plain, while the others are on the mountains, and through it flows a considerable river.	Scassem		Scassem					
1	PART 1	23	Of the City of Scassem	341	There are here many porcupines, and when the hunters set their dogs upon them, the hogs collect together and push their spines against their assailants, and often hurt them severely.								
1	PART 1	23	Of the City of Scassem	342	This Scassem is a large province, and the shepherds dwell in caverns on the mountains, which are easily formed, being wholly of earth, and make large handsome habitations.			Scassem					
1	PART 1	23	Of the City of Scassem	343	 When a man leaves this city, he travels three days without finding a house, or any thing to eat or drink, being obliged to carry provisions with him, and he then enters the district of Badascian.			Badascian					
1	PART 1	24	Of the Province of Badascian	344	Badascian is a large province, whose people adore Mohammed, and have a language of their own.	Badascian	Mohammed	Badascian					
1	PART 1	24	Of the Province of Badascian	345	It is governed by kings descended from Alexander and the daughter of Darius lord of Persia, and all these kings are called in Saracen Zulcarnem, which means in their language Alexander.		Alexander,Darius,Alexander	Persia					
1	PART 1	24	Of the Province of Badascian	346	In this country occur the precious stones called balasiu, which are very beautiful and valuable.								
1	PART 1	24	Of the Province of Badascian	347	They are found in the rocks of a mountain called Lighinan, and are cut out of very deep caverns, as is done by those who work silver mines.			Lighinan					
1	PART 1	24	Of the Province of Badascian	348	Know, too, that the king makes them be worked out for himself, and no other man may cut out balasiu on that mountain, on pain of death.								
1	PART 1	24	Of the Province of Badascian	349	His majesty sends them as presents to other princes and great lords, either as homage, or in token of friendship, and he likewise sells them for gold and silver.								
1	PART 1	24	Of the Province of Badascian	350	The prohibition is enforced that they may continue valuable ; 								
1	PART 1	24	Of the Province of Badascian	351	for if all persons were allowed to dig for them, they would be quite depreciated.								
1	PART 1	24	Of the Province of Badascian	352	You must likewise know, that in other mountains of the same country are found the stones of which ultramarine is made, and it is the finest and best in the world.								
1	PART 1	24	Of the Province of Badascian	353	There are also lofty hills containing veins yielding silver in abundance.								
1	PART 1	24	Of the Province of Badascian	354	The country is extremely cold, but it breeds very good horses, which run with great speed over these wild tracts without being shod with iron.								
1	PART 1	24	Of the Province of Badascian	355	There are found also the falcons called sacri, which fly well and swiftly ; also those called lanier ; and there is abundant hunting of beasts and birds.								
1	PART 1	24	Of the Province of Badascian	356	Wheat and good barley are plentiful ; 								
1	PART 1	24	Of the Province of Badascian	357	they have no oil of olives, but make it from sesamum and nuts.								
1	PART 1	24	Of the Province of Badascian	358	This kingdom has many a narrow pass and strong post to secure it against the entrance of enemies, and the cities and castles are strongly built on high mountains.								
1	PART 1	24	Of the Province of Badascian	359	The people are good archers and hunters, and mostly clad in the skins of beasts, on account of the scarcity of cloth.								
1	PART 1	24	Of the Province of Badascian	360	The great ladies, however, wear from sixty to a hundred yards of bombasine wrapped round their body, in order that they may appear very fat, because the men delight in such a shape.								
1	PART 1	24	Of the Province of Badascian	361	On the summits of the mountains the air is so pure and salubrious that the inhabitants of the towns and lower valleys, when attacked by fever or other inflammatory complaints, immediately remove thither, and in three or four days recover their health.								
1	PART 1	24	Of the Province of Badascian	362	Marco Polo affirms, that he himself experienced its excellent effects ; 		Marco Polo						
1	PART 1	24	Of the Province of Badascian	363	for after being confined nearly a year by sickness, he was advised to try change of air by ascending the hills, and he then immediately regained his strength.				ascending	ascending the hills	the hills		
1	PART 1	25	Of the Province of Pascia	364	You are to know that ten days south from Badascian is a province called Pascia.	Pascia		Pascia					
