chapterNo	chapterTitle	sectionNo	sectionTitle	sentenceNo	sentence	Polo Location	Person	Location	Travel verbs	Verb subject	Verb object	Verb object2	Tagged sentence
1	PART 1	12	On the Kingdom of Creman	203	There are abundance of fruits, but no habitation, only shepherds pasturing their flocks.								There are abundance of fruits, but no habitation, only shepherds pasturing their flocks.
1	PART 1	12	On the Kingdom of Creman	204	The cold on this road during winter is so great that a man cannot safely travel unless with a very ample provision of clothes.				travel	man			"The cold on this road during winter is so great that a man cannot safely <motion-vb fn-frame=""Travel"">travel</motion-vb> unless with a very ample provision of clothes."
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	205	At the bottom of this descent is a very extensive plain, at the commencement of which is a city named Camandu,once wonderfully great and noble, but now much declined, because the Tartar invaders have repeatedly plundered it.	Camandu,Reobarle		Camandu					At the bottom of this descent is a very extensive plain, at the commencement of which is a city named Camandu,once wonderfully great and noble, but now much declined, because the Tartar invaders have repeatedly plundered it.
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	206	The heat here is extreme, and the province is called Reobarle.			Reobarle					The heat here is extreme, and the province is called Reobarle.
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	207	Its fruits are dates, pistachio nuts, apples of paradise, and others which do not grow in our country.								Its fruits are dates, pistachio nuts, apples of paradise, and others which do not grow in our country.
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	208	Here are a species of birds called francolin, which are different from those of other lands, their colour being a mixture of white and black, while the beak and feet are red.								Here are a species of birds called francolin, which are different from those of other lands, their colour being a mixture of white and black, while the beak and feet are red.
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	209	The oxen are very large, white as snow, and the hair very smooth, in consequence of the heat.								The oxen are very large, white as snow, and the hair very smooth, in consequence of the heat.
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	210	Between the shoulders is a hump, two palms high, and their appearance is the most beautiful of any in the world.								Between the shoulders is a hump, two palms high, and their appearance is the most beautiful of any in the world.
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	211	When the owner wishes to load them, they bend down as the camels do, and after receiving their burden, rise and bear it well, being extremely strong.								When the owner wishes to load them, they bend down as the camels do, and after receiving their burden, rise and bear it well, being extremely strong.
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	212	There are sheep as large as asses, and with tails so thick and so broad as to weigh full thirty pounds.								There are sheep as large as asses, and with tails so thick and so broad as to weigh full thirty pounds.
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	213	They are also fat, and make excellent food.								They are also fat, and make excellent food.
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	214	The people have castles and cities surrounded by walls of earth, in order to defend themselves against the Caraunas, a mixed race between the Indians and the Tartars.								The people have castles and cities surrounded by walls of earth, in order to defend themselves against the Caraunas, a mixed race between the Indians and the Tartars.
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	215	When these people wish to overrun the country and rob it, they, by their enchantment and diabolical agency, cause the day to become dark, so that you can see to little or no distance, and this darkness they make to last seven days.								When these people wish to overrun the country and rob it, they, by their enchantment and diabolical agency, cause the day to become dark, so that you can see to little or no distance, and this darkness they make to last seven days.
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	216	They know the places so well, that they can ride during the thickest of it ; 				ride	they			"They know the places so well, that they can <motion-vb fn-frame=""Self_motion"">ride</motion-vb> during the thickest of it ; "
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	217	and they are sometimes ten thousand in number, so that nothing found on the plain, man, beast, or any thing, can escape.				escape	plain,man,beast,thing			and they are sometimes ten thousand in number, so that nothing found on the plain, man, beast, or any thing, can <motion-vb fn-frame=”Escaping”>escape</motion-vb>.
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	218	They kill the old persons, and carry off the young to sell them for slaves.								They kill the old persons, and carry off the young to sell them for slaves.
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	219	Their king is called Nogodar, and he went to the court of Ciagatai, who was the brother of the great khan, with 10,000 men, and remained with him, because his uncle was very powerful.		Nogodar,Khan,Ciagatai		went	he			"Their king is called Nogodar, and he <motion-vb fn-frame=""Motion"">went</motion-vb> to <loc fe=goal>the court of Ciagatai</loc>, who was the brother of the great khan, with 10,000 men, and remained with him, because his uncle was very powerful."
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	220	During this stay, Nogodar committed a very great wickedness, and I will tell you what it was.		Nogodar						During this stay, Nogodar committed a very great wickedness, and I will tell you what it was.
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	221	He departed from his uncle Ciagatai, who was in Great Armenia, and took with him 10,000 of his people, who were very cruel, and marched by Badasian and through a province called Pasciai, and another called Chesciemur, losing many of his people and beasts, because the roads were narrow and very bad; 		Ciagatai	Great Armenia,Badasian,Pasciai,Chesciemur	departed,marched	He,He	,	,	He <motion-vb fn-frame=”Departing”>departed</motion-vb> from <loc fe=source>his uncle Ciagatai</loc>, who was in Great Armenia, and took with him 10,000 of his people, who were very cruel, and <motion-vb fn-frame=”Self_motion”>marched</motion-vb> by Badasian and through a province called Pasciai, and another called Chesciemur, losing many of his people and beasts, because the roads were narrow and very bad; 
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	222	and when they had passed all these provinces, they entered into India, on the borders of one called Dilivar.			India,Dilivar	passed,entered	they,they	provinces,	,	and when they had <motion-vb fn-frame=”Traversing”>passed</motion-vb> all these provinces, they <motion-vb fn-frame=”Arriving”>entered</motion-vb> into <loc fe=goal>India</loc>, on the borders of one called Dilivar.
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	223	They came to the city of the same name, and took it from a king called Asidiu Sultan, who was very great and rich.		Asidiu Sultan		came	They			"They <motion-vb fn-frame=""Arriving"">came</motion-vb> to <loc fe=goal>the city of the same name</loc>, and took it from a king called Asidiu Sultan, who was very great and rich."
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	224	There Nogodar, with his people, continues to rule, and makes war with all the other Tartars who dwell in the surrounding country.		Nogodar						There Nogodar, with his people, continues to rule, and makes war with all the other Tartars who dwell in the surrounding country.
1	PART 1	13	On Camandu, Reobarle, and the Karauna Robbers	225	Having told you of this plain, and of the people who produced darkness in order to rob, I must also mention that Messer Marco himself was nearly taken by them amid this gloom, but though a number of his companions were captured, and either killed or sold as slaves, he himself escaped to a castle named Canosalmi.		Messer Marco	Canosalmi	escaped	he			"Having told you of this plain, and of the people who produced darkness in order to rob, I must also mention that Messer Marco himself was nearly taken by them amid this gloom, but though a number of his companions were captured, and either killed or sold as slaves, he himself <motion-vb fn-frame=""Escaping"">escaped</motion-vb> to a <loc fe=goal>castle named Canosalmi</loc>."
1	PART 1	14	On the City of Cormos	226	That plain extends five days' journey southward, and you then come to a descent which continues twenty miles by a very bad and difficult road, full of wicked robbers.	Formosa, Cormos							That plain extends five days' journey southward, and you then come to a descent which continues twenty miles by a very bad and difficult road, full of wicked robbers.
1	PART 1	14	On the City of Cormos	227	You then approach the very beautiful plain of Formosa, watered by fine rivers, with plantations of the date-palm, and having the air filled with francolins, parrots, and other birds unknown to our climate.			Formosa					You then approach the very beautiful plain of Formosa, watered by fine rivers, with plantations of the date-palm, and having the air filled with francolins, parrots, and other birds unknown to our climate.
1	PART 1	14	On the City of Cormos	228	You ride two days through it, and then arrive at the ocean, on which there is a city and fort named Cormos.			Cormos	arrive	You			"You ride two days through it, and then <motion-vb fn-frame=""Arriving"">arrive</motion-vb> at <loc fe=goal>the ocean</loc>, on which there is a city and fort named Cormos."
1	PART 1	14	On the City of Cormos	229	The ships of India bring thither all kinds of spiceries, precious stones, and pearls, cloths of silk and gold, elephants' teeth, and many other articles.			India					The ships of India bring thither all kinds of spiceries, precious stones, and pearls, cloths of silk and gold, elephants' teeth, and many other articles.
1	PART 1	14	On the City of Cormos	230	It is the capital of a kingdom, having many cities and castles under it, and the sovereign is called Ruemedan Achomac.			Ruemedan Achomac					It is the capital of a kingdom, having many cities and castles under it, and the sovereign is called Ruemedan Achomac.
1	PART 1	14	On the City of Cormos	231	 The climate, however, is intensely hot, and extremely unhealthy, and when any foreign merchant dies, the king inherits all his property.								 The climate, however, is intensely hot, and extremely unhealthy, and when any foreign merchant dies, the king inherits all his property.
1	PART 1	14	On the City of Cormos	232	Wine is here made of dates and other spices, and is extremely good ; 								Wine is here made of dates and other spices, and is extremely good ; 
1	PART 1	14	On the City of Cormos	233	but when drunk by men unaccustomed to it, has a strong purgative quality, though, after some use, it agrees well, and promotes corpulence.								but when drunk by men unaccustomed to it, has a strong purgative quality, though, after some use, it agrees well, and promotes corpulence.
1	PART 1	14	On the City of Cormos	234	The people live chiefly on dates and salted fish, particularly the tunny ; 								The people live chiefly on dates and salted fish, particularly the tunny ; 
1	PART 1	14	On the City of Cormos	235	considering these victuals to be the most wholesome, and that if they used wheaten bread and fiesh they would fall sick.								considering these victuals to be the most wholesome, and that if they used wheaten bread and fiesh they would fall sick.
1	PART 1	14	On the City of Cormos	236	The ships are very bad, and many are lost from not being secured by nails like ours, but sewed together by a thread made of the bark of the Indian nuttrees, which being softened in water, becomes like horsehair, and is durable enough.								The ships are very bad, and many are lost from not being secured by nails like ours, but sewed together by a thread made of the bark of the Indian nuttrees, which being softened in water, becomes like horsehair, and is durable enough.
1	PART 1	14	On the City of Cormos	237	They use it for want of iron, but it is by no means strong or secure.								They use it for want of iron, but it is by no means strong or secure.
1	PART 1	14	On the City of Cormos	238	They have a mast, sail, and rudder, all single, and a coverlet of leather, which is spread over the goods, and on that they place the horses, many of which are transported into India.			India					They have a mast, sail, and rudder, all single, and a coverlet of leather, which is spread over the goods, and on that they place the horses, many of which are transported into India.
1	PART 1	14	On the City of Cormos	239	These ships, too, are not tarred, but covered with the oil of fish.								These ships, too, are not tarred, but covered with the oil of fish.
1	PART 1	14	On the City of Cormos	240	The people are black, and adore Mohammed.		Mohammed						The people are black, and adore Mohammed.
1	PART 1	14	On the City of Cormos	241	They do not remain in the city during summer, for then they would all die, but retire to the country, where they have verdant gardens, finely watered by streams.								They do not remain in the city during summer, for then they would all die, but retire to the country, where they have verdant gardens, finely watered by streams.
1	PART 1	14	On the City of Cormos	242	Even there they would not escape, because there often blows from the sandy tracts that surround the city a wind so excessively hot that it would kill them all, if they did not plunge into the water and thus escape it.				escape,escape	they,they,they,they	it,it	,	Even there they would not <motion-vb fn-frame=”Escaping”>escape</motion-vb>, because there often blows from the sandy tracts that surround the city a wind so excessively hot that it would kill them all, if they did not plunge into the water and thus <motion-vb fn-frame”Escaping”>escape</motion-vb> <loc fe=goal>it</loc>.
1	PART 1	14	On the City of Cormos	243	They sow wheat, barley, and other kinds of grain in the month of November, and reap them in March, when they become ripe and perfect ; 								They sow wheat, barley, and other kinds of grain in the month of November, and reap them in March, when they become ripe and perfect ; 
1	PART 1	14	On the City of Cormos	244	but none except the date will endure till May, being dried up by the extreme heat.								but none except the date will endure till May, being dried up by the extreme heat.
1	PART 1	14	On the City of Cormos	245	I have also to tell you, when men or women die, great grief is shown, and the ladies, during full four years after the death of their husbands, make lamentations at least once a-day.								I have also to tell you, when men or women die, great grief is shown, and the ladies, during full four years after the death of their husbands, make lamentations at least once a-day.
1	PART 1	14	On the City of Cormos	246	On these occasions, they assemble their relations and neighbours, who join them in loud moanings and cries.								On these occasions, they assemble their relations and neighbours, who join them in loud moanings and cries.
1	PART 1	14	On the City of Cormos	247	In proof of the extreme violence of the heat, Marco Polo mentions the following circumstance which occurred during his residence.		Marco Polo						In proof of the extreme violence of the heat, Marco Polo mentions the following circumstance which occurred during his residence.
1	PART 1	14	On the City of Cormos	248	The ruler of Cormos neglected to pay his tribute to the King of Creman, who took the resolution of enforcing it at the season when the principal inhabitants go in to the country.			Cormos,Creman					The ruler of Cormos neglected to pay his tribute to the King of Creman, who took the resolution of enforcing it at the season when the principal inhabitants go in to the country.
1	PART 1	14	On the City of Cormos	249	He therefore despatched 1600 horse and 5000 foot through the district of Reobarle, to take them by surprise.			Reobarle					He therefore despatched 1600 horse and 5000 foot through the district of Reobarle, to take them by surprise.
1	PART 1	14	On the City of Cormos	250	Being misled, however, by the guides, they did not reach the place till night, when they halted to rest in a grove near the town.				reach	they	place		"Being misled, however, by the guides, they did not <motion-vb fn-frame="" "">reach</motion-vb> the <loc fe=goal>place</loc> till night, when they halted to rest in a grove near the town."
1	PART 1	14	On the City of Cormos	251	On renewing their march next morning, they were attacked by the hot wind, and all suffocated ; 								On renewing their march next morning, they were attacked by the hot wind, and all suffocated ; 
1	PART 1	14	On the City of Cormos	252	not one surviving to carry back the fatal intelligence.								not one surviving to carry back the fatal intelligence.
1	PART 1	14	On the City of Cormos	253	When the people of Cormos learned this event, and went to bury the dead bodies lest they should infect the air, they found them so softened by the intense heat, that the limbs, when handled, separated from the trunks ; 			Cormos	went	people			"When the people of Cormos learned this event, and <motion-vb fn-frame=""Motion"">went</motion-vb> to bury the dead bodies lest they should infect the air, they found them so softened by the intense heat, that the limbs, when handled, separated from the trunks ; "
1	PART 1	14	On the City of Cormos	254	and it was necessary to dig graves close to where the corpses lay.								and it was necessary to dig graves close to where the corpses lay.
1	PART 1	15	Return to Creman	255	We will now leave this city, and not go on to India, for I will describe it farther on in my book, in the proper time and place.	Creman		India	leave,go	We,	city,go,	,	We will now <motion-vb fn-frame=”Departing”>leave</motion-vb> <loc fe=goal>this city</loc>, and not <motion-vb fn-frame=”Motion”>go</motion-vb> on to <loc fe=goal>India</loc>, for I will describe it farther on in my book, in the proper time and place.
1	PART 1	15	Return to Creman	256	We will return, therefore, by another road to Creman, because the countries now to be delineated can be reached only by way of that city, and I must tell you that Ruemedan Achomac, of whom we have just spoken, is subject to its king.			Creman,Ruemedan Achomac	return,reached	We,	,	,	We will <motion-vb fn-frame=”Arriving”>return</motion-vb>, therefore, by another road to <loc fe=goal>Creman</loc>, because the countries now to be delineated can be <motion-vb fn-frame=”Arriving”>reached</motion-vb> only by way of that city, and I must tell you that Ruemedan Achomac, of whom we have just spoken, is subject to its king.
1	PART 1	15	Return to Creman	257	The route in returning thither from Cormos is through a very fine plain.			Cormos	returning				"The route in <motion-vb fn-frame=""Arriving"">returning</motion-vb> <loc fe=goal>thither</loc> from <loc fe=source>Cormos</loc> is through a very fine plain."
1	PART 1	15	Return to Creman	258	There are many springs whence the water issues in a hot state, forming baths very salutary in cutaneous and other diseases.								There are many springs whence the water issues in a hot state, forming baths very salutary in cutaneous and other diseases.
1	PART 1	15	Return to Creman	259	Here is abundance of fruits and dates, also of partridges and other birds ; 								Here is abundance of fruits and dates, also of partridges and other birds ; 
1	PART 1	15	Return to Creman	260	but the wheaten bread, owing to the quality of the water, is so bitter that no one unaccustomed to its use can eat it.								but the wheaten bread, owing to the quality of the water, is so bitter that no one unaccustomed to its use can eat it.
1	PART 1	15	Return to Creman	261	I now wish to tell you of a country lying to the north.								I now wish to tell you of a country lying to the north.
1	PART 1	15	Return to Creman	262	When a man has left Creman, he travels seven days in that direction, through a very dreary region.			Creman	left	man	Creman		"When a man has <motion-vb fn-frame="" "">left</motion-vb> <loc fe=source>Creman</loc>, he travels seven days in that direction, through a very dreary region."
1	PART 1	15	Return to Creman	263	During three days he finds no river, and the little water met with is salt, green like grass, and so bitter that it is impossible to drink it, and if a man tastes even a drop, it produces violent purging.								During three days he finds no river, and the little water met with is salt, green like grass, and so bitter that it is impossible to drink it, and if a man tastes even a drop, it produces violent purging.
1	PART 1	15	Return to Creman	264	Travellers, therefore, carry water with them ; 								Travellers, therefore, carry water with them ; 
1	PART 1	15	Return to Creman	265	but the beasts being obliged to drink such as they find, suffer severely.								but the beasts being obliged to drink such as they find, suffer severely.
1	PART 1	15	Return to Creman	266	The whole tract is an arid desert, destitute of animals, which could not find food.								The whole tract is an arid desert, destitute of animals, which could not find food.
1	PART 1	15	Return to Creman	267	On the fourth day, you reach a river of fresh water, but with its channel mostly under ground.								On the fourth day, you reach a river of fresh water, but with its channel mostly under ground.
1	PART 1	15	Return to Creman	268	In some spots, however, the force of the current makes abrupt openings, when the stream appears for a short space, and drink is abundantly supplied.								In some spots, however, the force of the current makes abrupt openings, when the stream appears for a short space, and drink is abundantly supplied.
1	PART 1	15	Return to Creman	269	Then follows another tract that lasts four days, and is also a dry desert, with bitter water, and no animals except wild asses.								Then follows another tract that lasts four days, and is also a dry desert, with bitter water, and no animals except wild asses.
1	PART 1	15	Return to Creman	270	 At the end of the four days, we leave the kingdom of Creman and proceed towards Cobinam.			Creman,Cobinam	Leave,proceed	we			" At the end of the four days, we leave the kingdom of Creman and <motion-vb fn-frame=""Self_motion"">proceed</motion-vb> towards Cobinam."
1	PART 1	16	On the City of Cobinam	271	Cobinam is a great city inhabited by Mohammedans.	Cobinam		Cobinam					Cobinam is a great city inhabited by Mohammedans.
1	PART 1	16	On the City of Cobinam	272	There is abundance of iron, brass, and andanico, of the second of which they construct large and beautiful mirrors; 								There is abundance of iron, brass, and andanico, of the second of which they construct large and beautiful mirrors; 
1	PART 1	16	On the City of Cobinam	273	they make here also the tutty, which is extremely good for the eyes, and likewise sponge, in the following manner.								they make here also the tutty, which is extremely good for the eyes, and likewise sponge, in the following manner.
1	PART 1	16	On the City of Cobinam	274	They take a vein of earth fitted for this purpose, and throw it into a burning furnace, above which is a grating of iron; 								They take a vein of earth fitted for this purpose, and throw it into a burning furnace, above which is a grating of iron; 
1	PART 1	16	On the City of Cobinam	275	then the smoke and moisture ascending adhere to the iron and form tutty, while the earth which remains in the furnace becomes sponge.				ascending		adhere		"then the smoke and moisture <motion-vb fn-frame=""Traversing"">ascending</motion-vb> <loc fe=""destination"">adhere</loc> to the iron and form tutty, while the earth which remains in the furnace becomes sponge."
1	PART 1	17	On the Province of Tonocain	276	When a man departs from Cobinam, he goes through a desert of eight days, and the country is very arid; 	Tonocain		Cobinam					When a man departs from Cobinam, he goes through a desert of eight days, and the country is very arid; 
1	PART 1	17	On the Province of Tonocain	277	there is neither fruit nor trees, and the water is bitter and bad, so that he must carry both it and food for himself, but the beasts drink that on the road, though very unwillingly.								there is neither fruit nor trees, and the water is bitter and bad, so that he must carry both it and food for himself, but the beasts drink that on the road, though very unwillingly.
1	PART 1	17	On the Province of Tonocain	278	He then comes to a province called Tonocain, with cities and many castles, bordering upon Persia towards the north; 			Tonocain,Persia					He then comes to a province called Tonocain, with cities and many castles, bordering upon Persia towards the north; 
1	PART 1	17	On the Province of Tonocain	279	and there is a very great plain on which grows what the Christians call the dry tree, which I will describe to you.								and there is a very great plain on which grows what the Christians call the dry tree, which I will describe to you.
1	PART 1	17	On the Province of Tonocain	280	It is very large, and its leaves are green on one side and white on the other.								It is very large, and its leaves are green on one side and white on the other.
1	PART 1	17	On the Province of Tonocain	281	It yields a nut like the chestnut ; 								It yields a nut like the chestnut ; 
1	PART 1	17	On the Province of Tonocain	282	but there is nothing within it.								but there is nothing within it.
1	PART 1	17	On the Province of Tonocain	283	It is a strong wood, and yellow like box ; 								It is a strong wood, and yellow like box ; 
1	PART 1	17	On the Province of Tonocain	284	and there is no other tree in those parts for a hundred miles round, except on one side, at ten miles' distance.								and there is no other tree in those parts for a hundred miles round, except on one side, at ten miles' distance.
1	PART 1	17	On the Province of Tonocain	285	It is said by the people of the country to be the place where Alexander fought with Darius.		Alexander,Darius						It is said by the people of the country to be the place where Alexander fought with Darius.
1	PART 1	17	On the Province of Tonocain	286	There are many towns and castles, and the inhabitants have abundance of all good things, the climate being neither too cold nor too hot.								There are many towns and castles, and the inhabitants have abundance of all good things, the climate being neither too cold nor too hot.
1	PART 1	17	On the Province of Tonocain	287	Now I must tell you of a country called Mulecte, where the Old Man of the Mountain used to dwell.		Old Man of the Mountain	Mulecte					Now I must tell you of a country called Mulecte, where the Old Man of the Mountain used to dwell.
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	288	You shall learn all about the Old Man of the Mountain, as I Marco heard related by many persons.	Tonocain	Old Man of the Mountain,Marco						You shall learn all about the Old Man of the Mountain, as I Marco heard related by many persons.
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	289	He was called in their language Alaodin, and had caused to be formed, in a valley between two mountains, the largest and most beautiful garden that ever was seen.		Alaodin						He was called in their language Alaodin, and had caused to be formed, in a valley between two mountains, the largest and most beautiful garden that ever was seen.
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	290	There grew all the finest fruits in the world, and it was adorned by the most beautiful houses and palaces, the interior being richly gilded, and furnished with finely coloured pictures of birds and beasts, and the most striking objects.								There grew all the finest fruits in the world, and it was adorned by the most beautiful houses and palaces, the interior being richly gilded, and furnished with finely coloured pictures of birds and beasts, and the most striking objects.
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	291	It contained several conduits through which flowed respectively water, wine, honey, and milk.								It contained several conduits through which flowed respectively water, wine, honey, and milk.
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	292	Here were ladies and damsels unequalled in beauty and in the skill with which they sung and played on instruments of every description.								Here were ladies and damsels unequalled in beauty and in the skill with which they sung and played on instruments of every description.
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	293	Now the Old Man made his people believe that this garden was paradise, and he formed it thus because Mohammed had given the Saracens to believe that those who went into that place would meet great numbers of beautiful women, and find rivers of water, wine, milk, and honey; 		the Old Man,Mohammed		went	those			"Now the Old Man made his people believe that this garden was paradise, and he formed it thus because Mohammed had given the Saracens to believe that those who <motion-vb fn-frame=""Motion"">went</motion-vb> into <loc fe=goal>that place</loc> would meet great numbers of beautiful women, and find rivers of water, wine, milk, and honey; "
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	294	hence the visiters were led to think that this really was paradise.								hence the visiters were led to think that this really was paradise.
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	295	Into this garden he admitted no man except those whom he wished to make assassins.								Into this garden he admitted no man except those whom he wished to make assassins.
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	296	The entry to the spot was commanded by a castle so strong that he did not fear any power in the world.								The entry to the spot was commanded by a castle so strong that he did not fear any power in the world.
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	297	He kept in his court all the youths of the country between twelve and twenty years of age, and when he thought proper, selected a number who had been well instructed in the description of paradise.								He kept in his court all the youths of the country between twelve and twenty years of age, and when he thought proper, selected a number who had been well instructed in the description of paradise.
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	298	He gave them a beverage which threw them into a deep sleep, then carried them into the garden, and made them be awakened.								He gave them a beverage which threw them into a deep sleep, then carried them into the garden, and made them be awakened.
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	299	When any one of them opened his eyes, saw this delightful spot, and heard the delicious music and songs, he really believed himself in the state of blessedness.								When any one of them opened his eyes, saw this delightful spot, and heard the delicious music and songs, he really believed himself in the state of blessedness.
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	300	When again, however, he fell asleep, he was brought out into the castle, where he awoke in great wonder, and felt deep regret at having left that delightful abode.				left		abode		"When again, however, he fell asleep, he was brought out into the castle, where he awoke in great wonder, and felt deep regret at having <motion-vb fn-frame="" "">left</motion-vb> that <loc fe=source>delightful abode<loc>."
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	301	He then went humbly to the Old Man, worshipping him as a prophet.		the Old Man		went	He			"He then <motion-vb fn-frame=""Motion"">went</motion-vb> humbly to the Old Man, worshipping him as a prophet."
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	302	Being asked whence he came, he told that he had been in the paradise described by Mohammed, relating all he had seen, and saying that he desired much to die and return thither.		Mohammed		came,return	he,	,	,	Being asked whence he <motion-vb fn-frame=”Arriving”>came</motion-vb>, he told that he had been in the paradise described by Mohammed, relating all he had seen, and saying that he desired much to die and <motion-vb fn-frame=”Resurrection”>return</motion-vb> <loc fe=goal>thither</loc>.
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	303	The chief then named to him a great lord whom he wished him to kill.								The chief then named to him a great lord whom he wished him to kill.
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	304	The youth cheerfully obeyed, and if in the act he was taken and put to death, he suffered with exultation, believing that he was to go into the happy place.				go				The youth cheerfully obeyed, and if in the act he was taken and put to death, he suffered with exultation, believing that he was to <motion-vb fn-frame=”Motion”>go</motion-vb> into <loc fe=goal>the happy place</loc>.
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	305	If, after performing the deed, he escaped, the Old Man received him with the greatest honour, and when he wished to destroy another chief, employed him afresh, saying that he was sent into paradise.		the Old Man		escaped	he			"If, after performing the deed, he <motion-vb fn-frame=""Escaping"">escaped</motion-vb>, the Old Man received him with the greatest honour, and when he wished to destroy another chief, employed him afresh, saying that he was sent into paradise."
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	306	Thus scarcely any person could escape being slain, when the Old Man of the Mountain desired it; 		the Old Man of the Mountain		escape	person			"Thus scarcely any person could <motion-vb fn-frame=""Escaping"">escape</motion-vb> being slain, when the Old Man of the Mountain desired it; "
1	PART 1	18	On the Castle of the Old Man of the Mountain, and how he trained and employed his Assassins	307	and many barons became vassals to him through the dread of thus losing their lives.								and many barons became vassals to him through the dread of thus losing their lives.
1	PART 1	19	How Alau took and killed the Old Man of the Mountain	308	Having now told you of the Old Man of the Mountain and his assassins, you shall hear how he was killed.	Tonocain	the Old Man of the Mountain						Having now told you of the Old Man of the Mountain and his assassins, you shall hear how he was killed.
1	PART 1	19	How Alau took and killed the Old Man of the Mountain	309	I had forgot to mention, that he had other old men placed under him, one of whom he sent into the country of Damascus, and the other into Kurdistan.			Damascus,Kurdistan					I had forgot to mention, that he had other old men placed under him, one of whom he sent into the country of Damascus, and the other into Kurdistan.
1	PART 1	19	How Alau took and killed the Old Man of the Mountain	310	But now let us come to his destruction.				come	us			"But now let us <motion-vb fn-frame=""Transition_to_a_situation"">come</motion-vb> to his destruction."
1	PART 1	19	How Alau took and killed the Old Man of the Mountain	311	It was in 1262 that Alau, the Lord of the East, having heard of his wicked deeds, determined to destroy him.		Alau						It was in 1262 that Alau, the Lord of the East, having heard of his wicked deeds, determined to destroy him.
1	PART 1	19	How Alau took and killed the Old Man of the Mountain	312	He sent his generals with a great body of men, who besieged the castle full three years, and then could only reduce it by famine.								He sent his generals with a great body of men, who besieged the castle full three years, and then could only reduce it by famine.
1	PART 1	19	How Alau took and killed the Old Man of the Mountain	313	Alaodin being taken, was killed, with all his people, and since that time there has been no assassin ; 		Alaodin						Alaodin being taken, was killed, with all his people, and since that time there has been no assassin ; 
1	PART 1	19	How Alau took and killed the Old Man of the Mountain	314	and thus ended his dominion and his wickedness.								and thus ended his dominion and his wickedness.
1	PART 1	20	Of a certain City named Sapurgan	315	When a man departs from that castle, he rides through beautiful hills covered with rich herbage, with fruits and all things in great abundance.	Sapurgan							When a man departs from that castle, he rides through beautiful hills covered with rich herbage, with fruits and all things in great abundance.
1	PART 1	20	Of a certain City named Sapurgan	316	The country extends to a journey of six days, and contains cities the inhabitants of which adore Mohammed.		Mohammed						The country extends to a journey of six days, and contains cities the inhabitants of which adore Mohammed.
1	PART 1	20	Of a certain City named Sapurgan	317	Yet sometimes you find a desert of fifty or sixty miles, without water, which men must carry with them.								Yet sometimes you find a desert of fifty or sixty miles, without water, which men must carry with them.
