chapterNo	chapterTitle	sectionNo	SentenceNo	sectionTitle	sentence	Marco Location	Person	Location	Travel verbs	VerbNet Travel	Narrate verbs	VerbNet Narrate	WordNet Narrate	FrameNet Narrate	WordNet Travel	FrameNet Travel	Voted Narrate	Voted Travel	Paper Narrate	Paper Travel
1	PART 1	38	552	The great River Kara-moran, and the City Ca-cian-fu	Twenty miles westward from that castle is a river called Kara-moran,so large and broad that it cannot be crossed by a bridge, and flows on even to the ocean.	Kara-moran river, Ca-cian-fu		Kara-moran		crossed		called	called,be,crossed	be		be,crossed	be ,called	crossed		
1	PART 1	38	553	The great River Kara-moran, and the City Ca-cian-fu	On its banks are many cities and castles, likewise many merchants and manufactured goods; 															
1	PART 1	38	554	The great River Kara-moran, and the City Ca-cian-fu	and in the country around ginger grows in great abundance.															
1	PART 1	38	555	The great River Kara-moran, and the City Ca-cian-fu	The number of birds is wonderful, so that for a Venetian grosso one can buy three pheasants ; 															
1	PART 1	38	556	The great River Kara-moran, and the City Ca-cian-fu	and after travelling three days, you find a noble city named Ca-cian-fu.			Ca-cian-fu	travelling	travelling	named		named		travelling	travelling		travelling	named	travelling
1	PART 1	38	557	The great River Kara-moran, and the City Ca-cian-fu	The people are idolaters, as likewise those of Cathay.			Cathay												
1	PART 1	38	558	The great River Kara-moran, and the City Ca-cian-fu	It is a city of great merchandise and many arts.															
1	PART 1	38	559	The great River Kara-moran, and the City Ca-cian-fu	They have abundance of silk, with cloth of gold of all fashions.															
1	PART 1	38	560	The great River Kara-moran, and the City Ca-cian-fu	I will go on to tell you of the capital of the kingdom.				go	go	tell	tell	tell	go,tell	go	go	tell	go	tell	go
1	PART 1	39	561	The City of Quen-gian-fu	When a man has left the city of Ca-cian-fu, and travelled eight days westward, he finds always cities and castles, merchandise and arts, pleasure-grounds and houses; 	Quen-gian-fu		Ca-cian-fu	left,travelled	left,travelled			left		left,travelled	left,travelled		left ,travelled		left,travelled
1	PART 1	39	562	The City of Quen-gian-fu	and the whole country is full of mulberries, producing abundance of silk.															
1	PART 1	39	563	The City of Quen-gian-fu	The men are idolaters and live by labouring the ground, hunting, and hawking.															
1	PART 1	39	564	The City of Quen-gian-fu	At the end of the eight days he comes to the noble city of Quen-gian-fu,capital of a kingdom anciently magnificent and powerful, and which had many noble and valiant kings.			 Quen-gian-fu					had							
1	PART 1	39	565	The City of Quen-gian-fu	At present the crown is held by Mangalu, a son of the great khan.		Mangalu,Khan						held	held			held			
1	PART 1	39	566	The City of Quen-gian-fu	That city is rich in merchandise and manufactures, particularly of implements for the supply of an army; 															
1	PART 1	39	567	The City of Quen-gian-fu	likewise every thing necessary for the subsistence of man.															
1	PART 1	39	568	The City of Quen-gian-fu	The people are all idolaters.															
1	PART 1	39	569	The City of Quen-gian-fu	Westward is a beautiful palace of King Mangalu, which I will describe to you.		Mangalu				describe		describe	describe			describe		describe	
1	PART 1	39	570	The City of Quen-gian-fu	It lies in a great plain watered by a river, as also by many lakes and fountains.															
1	PART 1	39	571	The City of Quen-gian-fu	A wall five miles in circuit, surrounded with battlements, and well built, encloses this splendid edifice, having halls and chambers adorned with beaten gold.								having							
1	PART 1	39	572	The City of Quen-gian-fu	Mangalu exercises his dominion with great justice, and is much beloved by his people ;		Mangalu													
1	PART 1	39	573	The City of Quen-gian-fu	 the residents in the district enjoy great amusement in hawking and hunting.															
1	PART 1	40	574	The Province of Cun-chin	A man departing from this palace travels three days west ward through a very fine plain, always finding villages and castles, with men living by merchandise and rearing silk in great abundance.	Cun-chin			departing	departing					departing	departing,finding		departing		departing
1	PART 1	40	575	The Province of Cun-chin	He then comes to great mountains and valleys belonging to the province of Cun-chin ;the people are all idolaters, and subsist by agriculture and hunting, having many forests full of various wild animals.			Cun-chin					having							
1	PART 1	40	576	The Province of Cun-chin	Thus a man rides for twenty days through mountains, valleys, and woods, always finding cities, castles, and good inns.											finding				
1	PART 1	41	577	The Province of Achalech-Manji	After this journey, he enters a province named Achalech-Manji, entirely level, and full of cities and castles.	Achalech-Manji		Achalech-Manji			named		named						named	
1	PART 1	41	578	The Province of Achalech-Manji	The people are all idolaters, and live by merchandise and art, and the province yields such a quantity of ginger, that it is distributed throughout Cathay, to the great profit of the inhabitants.			Cathay					distributed							
1	PART 1	41	579	The Province of Achalech-Manji	The land also yields rice, wheat, and other grain, and is rich in all productions.															
1	PART 1	41	580	The Province of Achalech-Manji	The principal country is called Achalech-Manji, which means in our language one of the borders of Manji.			Achalech-Manji				called	called				called			
1	PART 1	41	581	The Province of Achalech-Manji	This plain lasts for two days, and we then travel twenty through mountains, valleys, and woods, seeing many cities and castles.								seeing		seeing					seeing
1	PART 1	41	582	The Province of Achalech-Manji	These people are idolaters, and live on the fruits of the earth and the flesh of birds and beasts; 															
1	PART 1	41	583	The Province of Achalech-Manji	for there are abundance of lions, bears, wolves, stags, deer, and particularly of those animals which yield the musk.															
1	PART 1	42	584	The Province of Achalech-Manji	When a man has left this country and travelled twenty days westward, he approaches a province on the borders of Manji named Sin-din-fu.	Sin-din-fu,Quian-su		Manji,Sin-din-fu	left,travelled	left,travelled	named		left,named		left,travelled	left,travelled		left ,travelled	named	left,travelled
1	PART 1	42	585	The Province of Achalech-Manji	The capital, bearing the same name, was anciently very great and noble, governed by a mighty and wealthy sovereign.								was	was		bearing,was	was			
1	PART 1	42	586	The Province of Achalech-Manji	He died, leaving three sons, who divided the city into three parts, and each enclosed his portion with a wall, which was within the great wall of twenty miles in circuit.				leaving	leaving			leaving,was	was	leaving	leaving,was	was	leaving		leaving
1	PART 1	42	587	The Province of Achalech-Manji	They ranked still as kings, and had ample possessions ; 								had							
1	PART 1	42	588	The Province of Achalech-Manji	but the great khan overcame them, and took full possession of their territory.		Khan						took			took				
1	PART 1	42	589	The Province of Achalech-Manji	Through the city, a large river of fresh water, abounding with fish, passes and flows on to the ocean, distant eighty or a hundred days' journey ; it is called Quian-su.			Quian-su				called	called				called			
1	PART 1	42	590	The Province of Achalech-Manji	On that current is a very great number of cities and castles, and such a multitude of ships, as no one who has not seen could possibly believe.								seen		seen					seen
1	PART 1	42	591	The Province of Achalech-Manji	Equally wonderful is the quantity of merchandise conveyed ; 							conveyed	conveyed				conveyed		conveyed	
1	PART 1	42	592	The Province of Achalech-Manji	indeed it is so broad as to appear a sea and not a river.											appear				
1	PART 1	42	593	The Province of Achalech-Manji	Within the city, it is crossed by a bridge, wholly of marble, half a mile long and eight paces broad ; 				crossed	crossed			crossed			crossed		crossed		
1	PART 1	42	594	The Province of Achalech-Manji	the upper part is supported by marble columns, and richly painted ; 								supported							
1	PART 1	42	595	The Province of Achalech-Manji	and upon it are many houses where merchants expose goods for sale ; 															
1	PART 1	42	596	The Province of Achalech-Manji	but these are set up in the morning and taken down in the evening.								set,taken			taken				
1	PART 1	42	597	The Province of Achalech-Manji	At one of them, larger than the others, stands the chamberlain of the khan, who receives the duty on the merchandise sold, which is worth annually a thousand golden bezants.		Khan													
1	PART 1	42	598	The Province of Achalech-Manji	The inhabitants are all idolaters ; 															
1	PART 1	42	599	The Province of Achalech-Manji	and from that city a man goes five days' journey through castles, villages, and scattered houses.															
1	PART 1	42	600	The Province of Achalech-Manji	The people subsist by agriculture, and the tract abounds with wild beasts.															
1	PART 1	42	601	The Province of Achalech-Manji	There are also large manufactures of gauzes and cloth of gold.															
1	PART 1	42	602	The Province of Achalech-Manji	After travelling these five days, he comes to Thibet.			Thibet	travelling	travelling					travelling	travelling		travelling		travelling
1	PART 1	43	603	The Province of Achalech-Manji	This is a very large province; 	Thibet														
1	PART 1	43	604	The Province of Achalech-Manji	the men have a language of their own, and are idolaters.															
1	PART 1	43	605	The Province of Achalech-Manji	They border upon Manji and many other countries, and are very great robbers ; 			Manji												
1	PART 1	43	606	The Province of Achalech-Manji	the extent is such, that it contains eight kingdoms and many cities and castles.															
1	PART 1	43	607	The Province of Achalech-Manji	There are also extensive rivers, lakes, and mountains, where is found a vast quantity of gold.											found				
1	PART 1	43	608	The Province of Achalech-Manji	Cinnamon and coral occur, which last is very dear, because they place it round the neck of their women and their idols, and hold it as a precious jewel.								hold	hold	round	round	hold	round		
1	PART 1	43	609	The Province of Achalech-Manji	Here are made camlets, and other cloths of silk and gold.					made						made		made		made
1	PART 1	43	610	The Province of Achalech-Manji	There are very skilful enchanters and astrologers, but extremely wicked men, who perform works of the devil, which it were unlawful to relate, they would strike with such amazement.						relate	relate	were,relate,strike	were,relate		were	relate ,were		relate	
1	PART 1	43	611	The Province of Achalech-Manji	They have mastiff dogs as largeas asses, and excellent in taking wild animals.								taking			taking				
1	PART 1	43	612	The Province of Achalech-Manji	This province was entirely destroyed by Mangou, the fifth great khan, in his wars; 		Mangou,Khan						was	was		was	was			
1	PART 1	43	613	The Province of Achalech-Manji	and its many villages and castles are all demolished.															
1	PART 1	43	614	The Province of Achalech-Manji	Here grow large canes, fifteen paces long and four palms thick, while from one knot to the other is full three palms.															
1	PART 1	43	615	The Province of Achalech-Manji	The merchants and travellers, who pass through that country in the night, take these canes and set them on fire, when they make such a loud crackling noise that lions, bears, and other destructive animals are terrified, and dare not approach.								take,set,dare			take				
1	PART 1	43	616	The Province of Achalech-Manji	They also split them in the middle, and produce thus so mighty a sound, that it would be heard in the night at the distance of five miles ; 								be	be		be	be			split
1	PART 1	43	617	The Province of Achalech-Manji	and the explosion is so alarming, that horses unaccustomed to it often break their reins and harness, and take to flight.								take			take				
1	PART 1	43	618	The Province of Achalech-Manji	For this reason, travellers, riding such horses, bind them by the feet, and stop their eyes and ears.				riding							riding				
1	PART 1	43	619	The Province of Achalech-Manji	A man travels twenty days through these countries without finding either inns or victuals; 											finding				
1	PART 1	43	620	The Province of Achalech-Manji	he must therefore carry with him food for himself and his cattle during the whole of that space, meeting always, too, ferocious wild beasts, which are very dangerous.								carry		carry				carry	
1	PART 1	44	621	Another Part of Thibet	The traveller then comes to a part of Thibet where there are houses and castles; 	Thibet,Kain-du														
1	PART 1	44	622	Another Part of Thibet	but the people have a bad custom.															
1	PART 1	44	623	Another Part of Thibet	None of them for the whole world will marry a virtuous maiden, saying that she is worth nothing without having had many lovers.						saying	saying	saying,having,had	saying			saying		saying	
1	PART 1	44	624	Another Part of Thibet	When strangers, therefore, pass through, and have pitched their tents, or taken their lodging in inns, the old women bring their daughters, often to the number of thirty or forty, and offer them as wives during their stay ; 				pass				pass,taken		pass	pass,taken		pass		
1	PART 1	44	625	Another Part of Thibet	but they must not carry them thence, either back or forward.								carry		carry				carry	
1	PART 1	44	626	Another Part of Thibet	When the merchant is about to depart, he gives to the lady some toy or jewel as a testimony that she has lived with him.				depart	depart					depart	depart		depart		depart
1	PART 1	44	627	Another Part of Thibet	These jewels she hangs to her neck, and is anxious to have at least twenty ; 								have							
1	PART 1	44	628	Another Part of Thibet	for the more she can show, the higher is she valued, and the more readily obtains a husband.							show	show				show			
1	PART 1	44	629	Another Part of Thibet	After being married, she is strictly watched, and any infidelity is deeply resented.								being	being		being	being			
1	PART 1	44	630	Another Part of Thibet	These people are idolatrous and wicked, not holding it sinful to commit wrong and robbery ; 								holding	holding			holding			
1	PART 1	44	631	Another Part of Thibet	in short, they are the greatest thieves in the world.															
1	PART 1	44	632	Another Part of Thibet	They live on the fruits of the earth, but mostly by hunting and falconry ; 															
1	PART 1	44	633	Another Part of Thibet	and the country contains many of those animals which produce musk, and are called in the Tartar language gudderi.							called	called				called			
1	PART 1	44	634	Another Part of Thibet	That sinful people have many good dogs,which they employ in the pursuit of wild animals.															
1	PART 1	44	635	Another Part of Thibet	They have neither the cards nor money circulated by the great khan, but make money of salt.		Khan						circulated		circulated					
1	PART 1	44	636	Another Part of Thibet	They are poorly clad with the skins of beasts, canvass, and buckram ; 															
1	PART 1	44	637	Another Part of Thibet	they have a language of their own, which they call Tebet.															
1	PART 1	44	638	Another Part of Thibet	Now I will tell you of Kain-du.			Kain-du			tell	tell	tell	tell			tell		tell	
1	PART 1	45	639	The Province of Kain-du	This is a province lying to the west, having only one king, the inhabitants idolaters, and subject to the great khan.	Brius River	Khan						lying,having							
1	PART 1	45	640	The Province of Kain-du	It contains a number of cities and castles, with a lake, in which are found many pearls; 											found				
1	PART 1	45	641	The Province of Kain-du	but the monarch forbids them, under a severe penalty, to be removed except for his own use ;								be	be		be	be			
1	PART 1	45	642	The Province of Kain-du	 because, if any one were allowed to take them, they would become worth almost nothing.								were,take	were,allowed		were,take	were			
1	PART 1	45	643	The Province of Kain-du	There is also a mountain, whence are quarried turquoise stones in great abundance, very large and beautiful ; 															
1	PART 1	45	644	The Province of Kain-du	but he does not allow them to be removed unless by his mandate.								be	allow,be		be	be			
1	PART 1	45	645	The Province of Kain-du	In this province they have a strange and base custom, that a man thinks there is no disgrace in an improper intimacy between his wife or sister and a stranger or other person.															
1	PART 1	45	646	The Province of Kain-du	On the contrary, when such a one comes to reside in his house, the master presently goes out, and leaves him with his wife.															
1	PART 1	45	647	The Province of Kain-du	The visiter remains often three days, and places a hat or something else at the window as a signal; 															
1	PART 1	45	648	The Province of Kain-du	and the husband never returns till he sees this taken away.								taken			taken				
1	PART 1	45	649	The Province of Kain-du	This is said to be done in honour of their idols, who on that account bestow on them many blessings.						said	said	said,be	said,be	done	be	be ,said		said	
1	PART 1	45	650	The Province of Kain-du	Their gold is in small rods,-the value being determined according to the weight, and not marked by any stamp.								being,marked	being,marked		being	being ,marked			
1	PART 1	45	651	The Province of Kain-du	The small money is thus made: they take salt, form it into a shape, so that it weighs about half a pound, and eighty of these are worth a rod of gold.					made						made		made		made
1	PART 1	45	652	The Province of Kain-du	They have a very great number of the animals which yield the musk ; likewise fishes from the same lake whence the pearls are drawn ; also the usual kinds of wild birds and beasts.								drawn		drawn					
1	PART 1	45	653	The Province of Kain-du	No wine is obtained from vines, but it is made from grain or rice with many spices, which makes a good liquor.					made						made		made		made
1	PART 1	45	654	The Province of Kain-du	In that province also grows a tree called garofol; 							called	called				called			
1	PART 1	45	655	The Province of Kain-du	it is small, with leaves like a laurel, but longer and narrower ; 															
1	PART 1	45	656	The Province of Kain-du	it bears a small white flower.															
1	PART 1	45	657	The Province of Kain-du	It yields ginger, cinnamon, and other spices, which come into our country ; 															
1	PART 1	45	658	The Province of Kain-du	but I have now said to you enough of Kain-du.			Kain-du			said	said	said	said			said		said	
1	PART 1	45	659	The Province of Kain-du	After travelling ten days you come to a river which bounds it, named Brius.			Brius	travelling	travelling	named		named		travelling	travelling		travelling	named	travelling
1	PART 1	45	660	The Province of Kain-du	In it is found a great quantity of gold dust ; and on its banks abundance of cinnamon ; 											found				
1	PART 1	45	661	The Province of Kain-du	it flows on to the ocean.															
1	PART 1	45	662	The Province of Kain-du	Now let us tell you of Caraian.			Caraian			tell	tell	tell	tell			tell		tell	
1	PART 1	46	663	The Province of Caraian	When a man has departed and crossed the river, he enters this province, which is large, and contains seven kingdoms extending westward.	Caraian, Yaci			departed,crossed	departed,crossed			crossed,extending		departed	departed,crossed		crossed ,departed		departed
1	PART 1	46	664	The Province of Caraian	The people are all idolaters, and under the dominion of the great khan.		Khan													
1	PART 1	46	665	The Province of Caraian	The king is a son of his, named Essetemur, and is great, rich, and powerful.		Essetemur				named		named						named	
1	PART 1	46	666	The Province of Caraian	He is also brave and upright, ruling his country with much justice.															
1	PART 1	46	667	The Province of Caraian	When the traveller has crossed the river, he passes, during a journey of five days, through a country where there is abundance of cities and castles, with many very good horses ; 				crossed	crossed			crossed			crossed		crossed		
1	PART 1	46	668	The Province of Caraian	and the people are supported by cattle and the produce of land.								supported							
1	PART 1	46	669	The Province of Caraian	Their language is extremely difficult to understand.															
1	PART 1	46	670	The Province of Caraian	At the end of these five days, he comes to the capital of the country, named Yaci, which is particularly great and noble, with many merchants and numerous arts.			Yaci			named		named						named	
1	PART 1	46	671	The Province of Caraian	There are here various sects, Saracens, idolaters, and Nestorian Christians.															
1	PART 1	46	672	The Province of Caraian	There is a good deal of grain and rice, yet the country is not very fertile.															
1	PART 1	46	673	The Province of Caraian	They make a drink of the latter which intoxicates like wine.															
1	PART 1	46	674	The Province of Caraian	Money is formed of porcelain, such as is found in the sea,and eighty pieces are worth one bar of gold, or eight of silver.											found				
1	PART 1	46	675	The Province of Caraian	They have pits whence they draw vast quantities of salt, from which the king derives a great revenue.								draw		draw					
1	PART 1	46	676	The Province of Caraian	Adultery is not considered as a crime, unless when accompanied with violence.					accompanied			considered		accompanied			accompanied		
1	PART 1	46	677	The Province of Caraian	There is a lake here extending a hundred miles, and containing many large fishes, the best in the world.								extending							
1	PART 1	46	678	The Province of Caraian	They use the raw flesh of all fowls and beasts ; 															
1	PART 1	46	679	The Province of Caraian	for the poor people go to the market and get it newly taken from the animal, put it in garlic sauce, then eat it; 								get,taken,put		get	get,taken		get		get
1	PART 1	46	680	The Province of Caraian	the rich likewise eat it raw, but previously cut into small pieces, and the sauce mixed with good spices.								cut		cut					
1	PART 1	47	681	The Province of Caraian	When a man leaves Yaci, or Chiaci, and goes ten days westward, he finds the province of Karazan, with a capital of the same name.	Karazan		Yaci,Chiaci,Karazan												
1	PART 1	47	682	The Province of Caraian	The people are all idolaters, and subject to the great khan; 		Khan													
1	PART 1	47	683	The Province of Caraian	the king is a son of that monarch, named Kogatin.		Kogatin				named		named						named	
1	PART 1	47	684	The Province of Caraian	Gold dust is found in the river, and on the mountains in large pieces so abundantly that a bar is given for six of silver.								given			found				
1	PART 1	47	685	The Province of Caraian	The porcelain, too, formerly described circulates for money, but is procured from India.			India			described		described	described			described		described	
1	PART 1	47	686	The Province of Caraian	 Here are snakes and serpents so huge as to strike all men with astonishment; 								strike							
1	PART 1	47	687	The Province of Caraian	they are ten paces long, ten palms broad, and have no feet, but only a hoof like that of the lion; 															
1	PART 1	47	688	The Province of Caraian	the nose is like a loaf of bread, the mouth so huge that it would swallow at once a man whole; 								swallow							
1	PART 1	47	689	The Province of Caraian	the teeth are immense, nor is there any wild beast whom they do not strike with terror.								strike							
1	PART 1	47	690	The Province of Caraian	There are smaller ones eight paces long and six palms broad.															
1	PART 1	47	691	The Province of Caraian	The mode of catching them is this :-They remain during the day in great caverns under the earth, to avoid the heat, but at night go out to feed, and seize all the animals whom they can reach; 				reach	reach			reach	reach	reach	reach	reach	reach		reach
1	PART 1	47	692	The Province of Caraian	they also seek drink at the rivers, fountains, and lakes, and then make a deep track in the sand, as if a barrel had been dragged through it.					make			had,been	been	dragged	make,been	been	make		make
1	PART 1	47	693	The Province of Karazan and its great Serpents	In it the people fix a stake, fasten to it a steel instrument sharpened like a razor, and cover it over with sand.								cover						cover	
1	PART 1	47	694	The Province of Karazan and its great Serpents	When the serpent comes through the track, and strikes against the steel, he is pierced with such violence, that his body is divided from one side to the other, as high as the umbilical cord, and he presently dies.															
1	PART 1	47	695	The Province of Karazan and its great Serpents	They then take the body and extract the gall-bladder, which they sell very dear, being an excellent medicine for the bite of a mad dog, when administered in small dozes.								being	being		being	being			
1	PART 1	47	696	The Province of Karazan and its great Serpents	It is also valuable in childbirth, and when given to the woman, a safe delivery immmediately follows.								given							
1	PART 1	47	697	The Province of Karazan and its great Serpents	The flesh also is sold at a high price, being considered delicate food.								being,considered	being		being	being			
1	PART 1	47	698	The Province of Karazan and its great Serpents	The serpent also enters the dens of lions, bears, and other fierce animals, and devours their whelps, when he can get at them.								get		get	get		get		get
1	PART 1	47	699	The Province of Karazan and its great Serpents	Here, too, are very large horses, which are carried into India to be sold.			India					carried,be	be	carried	be	be		carried	
1	PART 1	47	700	The Province of Karazan and its great Serpents	They cut two or three nerves from the tail, so that they may not strike with it the man who rides, which is considered disgraceful.								cut,strike,considered		cut					
1	PART 1	47	701	The Province of Karazan and its great Serpents	These people ride like the French, with long staffs, have arms covered with buffalo hide, and carry lances, spears, and poisoned arrows.								covered						covered	
1	PART 1	47	702	The Province of Karazan and its great Serpents	Before the great khan conquered them they had a wicked custom, that when any stranger came to lodge with them who was agreeable, wise, and opulent, they killed him during the night by poison or some other mode.		Khan		came	came			had,was	was	came	came,was	was	came		came
1	PART 1	47	703	The Province of Karazan and its great Serpents	This was not out of enmity or with the view of taking his money, but because they imagined that his wisdom and other good qualities would thus remain with them.								was,taking	was		was,taking	was			
1	PART 1	47	704	The Province of Karazan and its great Serpents	However, about thirty-five years ago, after that monarch conquered the country, he prohibited this crime, which, from fear of him, they no longer commit.								prohibited							
1	PART 1	47	705	The Province of Karazan and its great Serpents	Now let us tell of another province called Kardandan.			Kardandan			tell	tell,called	tell,called	tell			called ,tell		tell	
1	PART 1	48	706	The Province of Kardandan	When a man departs from Karazan, and travels to the westward, he enters a province named Kardandan, inhabited by idolaters, and subject to the great khan.	Kardanan,Vociam	Khan	Karazan,Kardandan			named		named						named	
1	PART 1	48	707	The Province of Kardandan	The chief city is called Vociam.			Vociam			called	called	called				called			
1	PART 1	48	708	The Province of Kardandan	All the people have their teeth, both upper and lower, covered with gold, which thus appear to be made of that metal.					made			covered,be	be		be,made	be	made	covered	made
1	PART 1	48	709	The Province of Kardandan	The men are soldiers, and regard nothing but war; 															
1	PART 1	48	710	The Province of Kardandan	the women, with the slaves, perform all the work.															
1	PART 1	48	711	The Province of Kardandan	When any lady has been delivered of a boy, the husband goes to bed, taking the child with him, and remains there forty days.								been,delivered,taking	been		been,taking	been			
1	PART 1	48	712	The Province of Kardandan	He thus allows rest to the mother, who is only obliged to suckle the infant.															
1	PART 1	48	713	The Province of Kardandan	All his friends then come and make a festival, when the wife rises, manages the domestic affairs, and serves her husband, still lying in bed.								lying							
1	PART 1	48	714	The Province of Kardandan	They eat all kinds of flesh, both raw and cooked, and rice dressed along with it, and make a very good wine of rice and spices.					make				dressed		make		make		make
1	PART 1	48	715	The Province of Kardandan	They have money of gold and porcelain, and give a bar of gold for five of silver, having no mines of the latter metal within five days' distance ; 								give,having							
1	PART 1	48	716	The Province of Kardandan	by this exchange the merchants make great profit.															
1	PART 1	48	717	The Province of Kardandan	"This people have neither idols nor churches, but adore the master of the house, and say of him, ""we are his; and he is our god."""						say	say	say	say			say		say	
1	PART 1	48	718	The Province of Kardandan	They have neither letters nor writing, which is not wonderful, because they live in an unfrequented place, that cannot be visited in the summer on account of the air, which is then so corrupted and pestilent that no foreigner can live there.				visited			writing	writing,be,visited	writing,be	visited	be,visited	be ,writing	visited	writing	visited
1	PART 1	48	719	The Province of Kardandan	Whenever they have dealings together, they select a piece of timber, square or round, cleave it in the middle, and each takes a half; 															
1	PART 1	48	720	The Province of Kardandan	this must be done before two, three, or four witnesses.								be	be	done	be	be			
1	PART 1	48	721	The Province of Kardandan	When the payment comes to be made, the one receives the money and gives his half of the wood.					made			be	be		be,made	be	made		made
1	PART 1	48	722	The Province of Kardandan	In all those provinces there is no physician, but when any one is sick, doctors and exorcists of evil spirits are sent for, who, on coming to the patient, begin their incantations, beating instruments, singing and dancing.				coming	coming			sent,begin		coming	coming		coming		coming
1	PART 1	48	723	The Province of Kardandan	In a short time one of them falls to the ground, foams at the mouth, and becomes half-dead, when the devil enters into his body.															
1	PART 1	48	724	The Province of Kardandan	The other magicians then ask the half-dead man what is the cause of the patient's illness.							ask	ask				ask			
1	PART 1	48	725	The Province of Kardandan	The demon answers from his mouth that the sufferer has given displeasure to such or such a spirit, who is therefore tormenting him.								given							
1	PART 1	48	726	The Province of Kardandan	"Then if the sick man is to die, the fiend in the body of the magician says, -""the spirit has been wronged and displeased to such a degree, that he will not spare him for any thing in the world."""								been	been		been	been			
1	PART 1	48	727	The Province of Kardandan	"They then say, ""we beseech you to pardon him, and take in compensation for his blood the presents which we now exhibit."""								take			take				
1	PART 1	48	728	The Province of Kardandan	"If on the contrary a cure is to take place, the devil from the body says, "" take so many sheep and so many dishes of rich pottage, and make a sacrifice of them to the angry spirit."""					make			take,take			take,take,make		make		make
1	PART 1	48	729	The Province of Kardandan	The relations of the patient do every thing thus ordered, killing the sheep, sprinkling the blood, and preparing the dishes of pottage.								ordered,preparing							
1	PART 1	48	730	The Province of Kardandan	A great assemblage is made of men and women, who hold a joyous feast, dancing and singing songs in praise of the spirit.					made						made		made		made
1	PART 1	48	731	The Province of Kardandan	They burn incense and myrrh, with which they fumigate and illuminate the whole house.															
1	PART 1	48	732	The Province of Kardandan	When they have acted thus for about an hour, the first magician again falls down, and they inquire if the sick man is now pardoned and will be cured.								be	be		be	be			
1	PART 1	48	733	The Province of Kardandan	It is then answered that he is not yet pardoned, but something more must be done, after which forgiveness will be granted.								answered,be,be	be,be	done	be,be	be ,be			
1	PART 1	48	734	The Province of Kardandan	"This order is obeyed, when he says, ""he is pardoned, and will be immediately cured""."								be	be		be	be			
1	PART 1	48	735	The Province of Kardandan	"The company then exclaim,""the spirit is on our side,"" and having eaten the sheep and drunk the pottage with great joy and festivity, they return to their homes."								having							
1	PART 1	49	736	Of the great Battle fought between the Tartars and the King of Mien	Now I must mention a very great battle which was fought in the kingdom of Vociam, and you shall hear all how it happened.	Vociam		Vociam			mention	mention	mention,was	mention,was		was	mention ,was		mention	
1	PART 1	49	737	Of the great Battle fought between the Tartars and the King of Mien	In the year of our Lord 1272, the great khan sent a mighty captain, named Nescardin, with 12,000 men, to defend the province of Caraian.		Khan,Nescardin	Caraian			named		sent,named,defend						named	
1	PART 1	49	738	Of the great Battle fought between the Tartars and the King of Mien	He was a prudent man, very strong in arms and skilful in war ; 								was	was		was	was			
1	PART 1	49	739	Of the great Battle fought between the Tartars and the King of Mien	and the soldiers with him were good and very brave warriors.								were	were		were	were			
1	PART 1	49	740	Of the great Battle fought between the Tartars and the King of Mien	Now the King of Mien and of Bangala were afraid lest he should invade their territory ; 			Mien,Bangala					were	were		were	were			
1	PART 1	49	741	Of the great Battle fought between the Tartars and the King of Mien	yet they thought they were able to overcome and destroy the whole army in such a manner that the great khan might never feel inclined to send another into the same quarter.		Khan						were,send	were		were	were			
1	PART 1	49	742	Of the great Battle fought between the Tartars and the King of Mien	They assembled, therefore, 60,000 horse and foot, with 2000 elephants, each of which had on its back a castle well fortified and defended by twelve, fourteen, or sixteen men.								assembled,had,defended							
1	PART 1	49	743	Of the great Battle fought between the Tartars and the King of Mien	The King of Mien came with the above army to the city of Vociam, where was the array of the Tartars, and took post in a plain at the distance of three days' journey.			Mien,Vociam	came	came			was,took	was	came	came,was,took	was	came		came
1	PART 1	49	744	Of the great Battle fought between the Tartars and the King of Mien	Nescardin was somewhat alarmed, considering how small a force he had in comparison with the host of the King of Mien; 		Nescardin	Mien					was,considering,had	was		was	was			
1	PART 1	49	745	Of the great Battle fought between the Tartars and the King of Mien	but he took courage, reflecting that his troops were brave and most valiant warriors.								took,reflecting,were	were		took,were	were			
1	PART 1	49	746	Of the great Battle fought between the Tartars and the King of Mien	He therefore marched to meet them in the plain of Vociam, and pitched his camp near a great forest, filled with lofty trees, into which he was aware that elephants could not enter.			Vociam	marched,enter	marched,enter			meet,was	was		was,enter	was	enter		enter
1	PART 1	49	747	Of the great Battle fought between the Tartars and the King of Mien	The King of Mien, seeing the army of Nescardin, advanced to attack it.		Nescardin	Mien	advanced	advanced			seeing,advanced		seeing,advanced			advanced		seeing
1	PART 1	49	748	Of the great Battle fought between the Tartars and the King of Mien	The Tartars went with great boldness to meet them, but when their horses saw the elephants with the wooden castles upon them, stationed and arranged in the first line, they were struck with such terror that the riders could not, either by force or any contrivance, make them approach.				went	went			meet,saw,were,struck	went,were	went,saw	went,were	were	went		went
1	PART 1	49	749	Of the great Battle fought between the Tartars and the King of Mien	They, therefore, immediately alighted, and tied them to the trees, when the infantry returned to the line of elephants, and began to discharge their arrows with the utmost violence.				returned	returned			returned,began		returned	returned		returned		returned
1	PART 1	49	750	Of the great Battle fought between the Tartars and the King of Mien	Those who were on the backs of the animals fought bravely; 								were	were		were	were			
