chapterNo	chapterTitle	sectionNo	sectionTitle	sentenceNo	sentence	Polo Location	Person	Location	Travel verbs	Narrate verbs	Travel Verb Phrases	Travel Noun Phrases	Travel Phrases	Travelled Location
3	PART 1	8	Pentam and other Islands	108	Thence he navigates between these two islands about sixty miles, drawing only four paces of water, so that large vessels in the passage must remove their rudder.				drawing,remove	drawing,remove	drawing only four paces of water,remove their rudder	only four paces of water,their rudder		
3	PART 1	8	Pentam and other Islands	109	He then goes on south-east about thirty miles, and reaches an island also named Pentam, with the noble and rich city Malauir, having much traffic in spices and other articles.			Pentam,Malauir	named,having	named,having	named Pentam , with the noble and rich city Malauir , having much traffic in spices and other articles,having much traffic in spices and other articles	Pentam,much traffic in spices and other articles	Pentam	Pentam
3	PART 1	8	Pentam and other Islands	110	The people have a king and languages of their own.									
3	PART 1	9	Island of Little Java (Sumatra)	111	Departing from Pentam, and going 130-miles south-east, you find the island of Java the Lesser; but notwithstanding this title, it is above two thousand miles in circuit, with eight kingdoms, and the same number of crowned sovereigns.	Java the Lesser		Pentam,Java the Lesser	Departing,going,crowned	Departing,going,crowned	Departing from Pentam , and going 130-miles south-east,going 130-miles south-east	Pentam,130-miles south-east	Pentam	Pentam
3	PART 1	9	Island of Little Java (Sumatra)	112	I will tell you the whole truth about it.				tell	tell	tell you the whole truth about it	you		
3	PART 1	9	Island of Little Java (Sumatra)	113	The people are idolaters, and each nation has a language of its own.									
3	PART 1	9	Island of Little Java (Sumatra)	114	There is a very great abundance of treasure and costly spices, as well as of lignum aloes and many other woods unknown in our country.									
3	PART 1	9	Island of Little Java (Sumatra)	115	What will appear very wonderful is, that this isle lies so far south, that the north star is never seen.				appear,seen	appear,seen	appear very wonderful,seen			
3	PART 1	9	Island of Little Java (Sumatra)	116	Now I will tell you of each kingdom by itself.				tell	tell	tell you of each kingdom by itself	you		
3	PART 1	10	Kingdom of Ferlech	117	In that of Ferlech are Saracen merchants, who come with their vessels, and have converted the people to the law of Mohammed ; 	Ferlech	Mohammed	Ferlech	converted	converted	converted the people to the law of Mohammed	the people to the law of Mohammed		
3	PART 1	10	Kingdom of Ferlech	118	but only in the city, for those in the mountains live like brutes, eating the flesh of men and of the vilest animals.				eating	eating	eating the flesh of men	the flesh of men		
3	PART 1	10	Kingdom of Ferlech	119	They worship various objects, particularly the first thing they meet after rising in the morning.				rising	rising	rising in the morning	the morning		
3	PART 1	11	Kingdom of Basman	120	Leaving Ferlech, you enter Basman,a kingdom by itself, whose people have a language of their own, and live without law, like beasts.	Basman		Ferlech,Basman	Leaving,live	Leaving,live	Leaving Ferlech,live without law , like beasts	Ferlech,law	Ferlech	Ferlech
3	PART 1	11	Kingdom of Basman	121	They own the supremacy of the khan, but pay him no tribute, because the great distance prevents his troops from reaching them; 		Khan		pay,reaching	pay,reaching	pay him no tribute , because the great distance prevents his troops from reaching them,reaching them	him,them		
3	PART 1	11	Kingdom of Basman	122	yet they sometimes make him a present of strange objects.									
3	PART 1	11	Kingdom of Basman	123	Here are wild elephants, and unicorns not much smaller, being double the size of a buffalo.				being	being	being double the size of a buffalo	double the size of a buffalo		
3	PART 1	11	Kingdom of Basman	124	They have a large black horn in the middle of the forehead, and beneath the tongue sharp prickles, which can inflict severe wounds.				inflict	inflict	inflict severe wounds	severe wounds		
3	PART 1	11	Kingdom of Basman	125	 Their heads resemble that of the wild boar, yet they carry them bent to the earth.									
3	PART 1	11	Kingdom of Basman	126	They are very ugly, and fond of wallowing among mire.				wallowing	wallowing	wallowing among mire	mire		
3	PART 1	11	Kingdom of Basman	127	It is not true, as asserted among us, that they allow themselves to be taken by a virgin, but quite the contrary.				asserted,be,taken	asserted,be,taken	asserted among us,be taken by a virgin , but quite the contrary,taken by a virgin , but quite the contrary	a virgin , but quite the contrary		
3	PART 1	11	Kingdom of Basman	128	There are here good and serviceable falcons, black like crows ; also a prodigious number of monkeys of various forms and habits.									
3	PART 1	11	Kingdom of Basman	129	But you must know that those who bring the little men from India practise a great deception.			India	know,practise	know,practise	know that those who bring the little men from India practise a great deception,practise a great deception	a great deception		
3	PART 1	11	Kingdom of Basman	130	I assure you the figures to which they give that name are manufactured in this island in the following manner :-There is a species of small monkey, with a face resembling the human, which they catch, skin, and shave off all the hair except on the beard and chin; having then moulded them into a human semblance, they dry and preserve them with camphor and other articles.				manufactured,following,resembling,shave,having,moulded	manufactured,following,resembling,shave,having,moulded	manufactured in this island in the following manner,resembling the human , which they catch , skin,shave off all the hair except on the beard and chin,having then moulded them into a human semblance	this island in the following manner,the human , which they catch , skin		
3	PART 1	11	Kingdom of Basman	131	But it is a gross deception ; 									
3	PART 1	11	Kingdom of Basman	132	for neither in India, nor in any other country, however savage, are there men so small as these pretended ones.			India						
3	PART 1	11	Kingdom of Basman	133	Now let us tell of a kingdom called Samara.			Samara	let,tell,called	let,tell,called	let us tell of a kingdom called Samara,tell of a kingdom called Samara,called Samara	us,a kingdom called Samara,Samara	a kingdom called Samara ,Samara	Samara ,Samara
3	PART 1	12	Kingdom of Samara	134	When a man departs from Basman, he finds the kingdom of Samara, in which I myself, Marco Polo, remained five months, because the bad weather did not allow us to sail. 	Samara	Marco Polo	Basman,Samara	remained,did,allow,sail	remained,did,allow,sail	remained five months , because the bad weather did not allow us to sail,did not allow us to sail,allow us to sail,sail	five months , because the bad weather did not allow us to sail,not,us		
3	PART 1	12	Kingdom of Samara	135	Here neither the north star nor the constellation of the Greater Bear appeared.				appeared	appeared	appeared			
3	PART 1	12	Kingdom of Samara	136	The people are savage idolaters, governed by a rich and powerful king, and owning a nominal submission to the great khan.		Khan		governed,owning	governed,owning	governed by a rich and powerful king,owning a nominal submission to the great khan	a rich and powerful king,a nominal submission		
3	PART 1	12	Kingdom of Samara	137	During our stay, we landed and erected castles of wood and twigs, where we remained through the fear of these wicked men, who eat their fellow-creatures.				landed,erected,remained	landed,erected,remained	landed and erected castles of wood and twigs , where we remained through the fear of these wicked men , who eat their fellow-creatures,remained through the fear of these wicked men , who eat their fellow-creatures	the fear of these wicked men , who eat their fellow-creatures		
3	PART 1	12	Kingdom of Samara	138	The best fishes in the world are found here.				found	found	found here			
3	PART 1	12	Kingdom of Samara	139	The people have no wheat, living on rice ; 				living	living	living on rice	rice		
3	PART 1	12	Kingdom of Samara	140	and they make no wine.									
3	PART 1	12	Kingdom of Samara	141	You must know there is a kind of tree, of which they cut a branch, and place a pot beneath, when, during the night, the vessel is filled, and very good wine is thus produced, both red and white.				know,cut,filled,produced	know,cut,filled,produced	know there is a kind of tree , of which they cut a branch , and place a pot beneath , when , during the night , the vessel is filled , and very good wine is thus produced , both red and white,cut a branch , and place a pot beneath , when , during the night , the vessel is filled , and very good wine is thus produced,filled,produced	there,a branch,a pot		
3	PART 1	12	Kingdom of Samara	142	The tree resembles a small date-palm, with four branches, and when it ceases to give out more wine, they water its root, which causes it to produce again.				give,produce	give,produce	give out more wine,produce again			
3	PART 1	12	Kingdom of Samara	143	They have great quantities of very large Indian nuts, and eat all kinds of flesh, good and bad.				eat	eat	eat all kinds of flesh , good and bad	all kinds of flesh , good and bad		
3	PART 1	12	Kingdom of Samara	144	Now let us tell you of a kingdom which is named Dagroian.			Dagroian	let,tell,named	let,tell,named	let us tell you of a kingdom which is named Dagroian,tell you of a kingdom which is named Dagroian,named Dagroian	us,you,Dagroian	Dagroian	Dagroian
3	PART 1	13	Kingdom of Dagroian	145	This kingdom has a language of its own; the people are very savage, subject to a king, but owning the supremacy of the great khan.	Dagroian	Khan		owning	owning	owning the supremacy of the great khan	the supremacy of the great khan		
3	PART 1	13	Kingdom of Dagroian	146	They are savage idolaters, and have the following very bad custom :-When a man falls sick, his relations send for the magicians, and inquire if he will recover, as these deceivers profess to know, by their enchantments and idols, whether he will live or die.				following,inquire,recover,know,live,die	following,inquire,recover,know,live,die	inquire if he will recover,recover,know , by their enchantments and idols , whether he will live or die,live or die			
3	PART 1	13	Kingdom of Dagroian	147	In the latter case, the friends send for persons who place something over his mouth, by which he is suffocated.				suffocated	suffocated	suffocated			
3	PART 1	13	Kingdom of Dagroian	148	They then cook the body, and all the kinsmen come and eat his flesh, taking care not to leave the smallest portion; 				taking,leave	taking,leave	taking care not to leave the smallest portion,leave the smallest portion	care,the smallest portion		
3	PART 1	13	Kingdom of Dagroian	149	which they believe would breed worms, and thus seriously afflict the soul of the deceased.				breed,afflict,deceased	breed,afflict,deceased	breed worms , and thus seriously afflict the soul of the deceased,afflict the soul of the deceased	the soul of the deceased		
3	PART 1	13	Kingdom of Dagroian	150	They next collect the bones, and place them in a large and beautiful chest, which they carry to caverns in the mountains, beyond the reach of wild beasts or any other injury.									
3	PART 1	13	Kingdom of Dagroian	151	When they take any man belonging to another country, who cannot redeem himself, they kill and eat him in like manner.				belonging,redeem	belonging,redeem	belonging to another country , who can not redeem himself,redeem himself	another country , who can not redeem himself,himself		
3	PART 1	13	Kingdom of Dagroian	152	This is a very bad practice.									
3	PART 1	13	Kingdom of Dagroian	153	I must now, however, tell you something of Lambri.			Lambri						
3	PART 1	14	Kingdom of Lambri	154	Lambri is a kingdom having a sovereign of its own, who owns the supremacy of the khan.	Lambri	Khan	Lambri	having	having	having a sovereign of its own , who owns the supremacy of the khan	a sovereign of its own , who owns the supremacy of the khan		
3	PART 1	14	Kingdom of Lambri	155	The people are all idolaters ; 									
3	PART 1	14	Kingdom of Lambri	156	they have a great abundance of camphor and other spices ; likewise brazil-wood.									
3	PART 1	14	Kingdom of Lambri	157	This they sow, and when it has grown to a little twig, they transplant it to another place, and at the end of three years root it up.				grown	grown	grown to a little twig	a little twig		
3	PART 1	14	Kingdom of Lambri	158	We brought some of this seed to Venice, but it did not spring at all on account of the cold.			Venice	brought,did	brought,did	brought some of this seed to Venice,did not spring at all on account of the cold	some of this seed to Venice,not spring at all on account of the cold	some of this seed to Venice	Venice
3	PART 1	14	Kingdom of Lambri	159	I will tell you another very wonderful thing ; 				tell	tell	tell you another very wonderful thing	you		
3	PART 1	14	Kingdom of Lambri	160	for there are men in this kingdom who have tails like dogs, larger than a palm, and who are covered with hair.				covered	covered	covered with hair	hair		
3	PART 1	14	Kingdom of Lambri	161	They remain in the mountains, never visiting the towns.				visiting	visiting				
3	PART 1	14	Kingdom of Lambri	162	There are unicorns, with various beasts and birds for hunting.									
3	PART 1	14	Kingdom of Lambri	163	Now let us depart and tell you of Fansur.			Fansur	let,depart,tell	let,depart,tell	let us depart and tell you of Fansur,depart and tell you of Fansur	us		
3	PART 1	15	Kingdom of Fansur	164	The people of Fansur are idolaters, have a king, and nominally acknowledge the great khan.	Fansur, Gavenispola	Khan	Fansur						
3	PART 1	15	Kingdom of Fansur	165	Here grows the best canfara fansuri, which is much more valued than any other ; 				valued	valued	valued than any other	any other		
3	PART 1	15	Kingdom of Fansur	166	indeed it sells for its weight in gold.									
3	PART 1	15	Kingdom of Fansur	167	Wine is drawn from trees, in the manner described above : another wonder is, that, in this province, meal is obtained from them.				drawn,described,obtained	drawn,described,obtained	drawn from trees , in the manner described above,described above,obtained from them	trees,them		
3	PART 1	15	Kingdom of Fansur	168	These are large, the bark thin, and the interior all full of meal.									
3	PART 1	15	Kingdom of Fansur	169	The inhabitants take it out, and make a very good paste, of which we often ate.				make,ate	make,ate	make a very good paste,ate	a very good		
3	PART 1	15	Kingdom of Fansur	170	Having told you of the kingdoms in this part of the isle, I will say nothing of the two others, because we did not visit them.				Having,told,say,did,visit	Having,told,say,did,visit	Having told you of the kingdoms in this part of the isle,told you of the kingdoms in this part of the isle,say nothing of the two others , because we did not visit them,did not visit them,visit them	you,nothing of the two others,them		
3	PART 1	15	Kingdom of Fansur	171	I will now, therefore, go to another small island called Gavenispola.			Gavenispola	go,called	go,called	go to another small island called Gavenispola,called Gavenispola	another small island called Gavenispola,Gavenispola	another small island called Gavenispola ,Gavenispola	Gavenispola ,Gavenispola
3	PART 1	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	172	Departing from Java and the kingdom of Lambri, and travelling northward about 150 miles, you find two islands, one of which is called Necuveran.	Necuveran,Angaman		Java,Lambri,Necuveran	Departing,travelling,called	Departing,travelling,called	Departing from Java and the kingdom of Lambri , and travelling northward about 150 miles,travelling northward about 150 miles,called Necuveran	Java and the kingdom of Lambri,Necuveran	Java and the kingdom of Lambri ,Necuveran	Lambri ,Java ,Necuveran
3	PART 1	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	173	t The people have no king, and live like brutes, both men and women going quite naked.				live,going	live,going	live like brutes , both men and women going quite naked,going quite naked	brutes , both men and women going quite naked		
3	PART 1	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	174	They are idolaters, and have forests of noble and valuable trees ; among which are sandal-wood, the Indian nut, clove, brazil, and many others.									
3	PART 1	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	175	Angaman is a very large island, without a king; the people idolaters, resembling savage beasts; 			Angaman	resembling	resembling	resembling savage beasts	savage beasts		
3	PART 1	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	176	indeed they are a most extraordinary race, having a head, teeth, and jaws like those of a mastiff dog.				having	having	having a head , teeth , and jaws like those of a mastiff dog	a head , teeth , and jaws		
3	PART 1	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	177	They are very cruel, and eat all the men of every other nation whom they can seize.				eat,seize	eat,seize	eat all the men of every other nation whom they can seize,seize	all the men of every other nation whom they can seize		
3	PART 1	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	178	They have great abundance and variety of spices, with fruits different from ours, but live chiefly on flesh and milk.									
3	PART 1	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	179	Having told of these various people, I will now mention another island.				Having,told,mention	Having,told,mention	Having told of these various people,told of these various people,mention another island	these various people,another island		
3	PART 1	17	Island of Seilan	180	When you depart from Angaman, and sail about a thousand miles westward, a little to the south, you reach the island of Seilan,the very best of its size in the world.	Seilan		Angaman,Seilan	sail	sail	sail about a thousand miles westward	a thousand miles		
3	PART 1	17	Island of Seilan	181	It is 2400 miles in circuit ; 									
3	PART 1	17	Island of Seilan	182	yet I must tell you that anciently it was larger, being 3600, as appears by the old maps of the mariners on that sea ; 				tell,was,being	tell,was,being	tell you that anciently it was larger , being 3600 , as appears by the old maps of the mariners on that sea,was larger , being 3600,being 3600	you,larger , being 3600,3600		
3	PART 1	17	Island of Seilan	183	but the north wind blows with such violence, that a great part has been carried away by the water.				been,carried	been,carried	been carried away by the water,carried away by the water			
3	PART 1	17	Island of Seilan	184	The people have a king called Sendemain, and are tributary to none ; 		Sendemain		called	called	called Sendemain	Sendemain		
3	PART 1	17	Island of Seilan	185	they are idolaters, and go quite naked, except a small covering round the middle.				go,covering	go,covering	go quite naked , except a small covering round the middle,covering round the middle			
3	PART 1	17	Island of Seilan	186	They have no grain but rice, living on it and on flesh.				living	living	living on it and on flesh	flesh		
3	PART 1	17	Island of Seilan	187	I will now describe the most precious thing in the world; 				describe	describe	describe the most precious thing in the world	the most precious thing in the world		
3	PART 1	17	Island of Seilan	188	for here are noble and beautiful rubies, which can be procured nowhere else ; also the sapphire, the topaz, the amethyst, and various other precious stones.				be,procured	be,procured	be procured nowhere else ; also the sapphire , the topaz , the amethyst , and various other precious stones,procured nowhere else ; also the sapphire , the topaz , the amethyst , and various other precious stones			
3	PART 1	17	Island of Seilan	189	The king has the most beautiful ruby that ever was or can be in the whole world.				was,be	was,be	was or can be in the whole world,be in the whole world	the whole world		
3	PART 1	17	Island of Seilan	190	It is the most splendid object on earth, and seems to glow like fire; 									
3	PART 1	17	Island of Seilan	191	it is of such value as money could scarcely purchase.				purchase	purchase	purchase	purchase		
3	PART 1	17	Island of Seilan	192	The great khan sent his messengers to him, wishing to buy it, and offering the value of a city.		Khan		sent,wishing,buy,offering	sent,wishing,buy,offering	sent his messengers to him , wishing to buy it , and offering the value of a city,wishing to buy it , and offering the value of a city,buy it,offering the value of a city	his messengers,it,the value of a city		
3	PART 1	17	Island of Seilan	193	The monarch replied, that he had received it from his ancestors, and would for no earthly consideration part with it.				replied,had,received	replied,had,received	replied , that he had received it from his ancestors , and would for no earthly consideration part with it,had received it from his ancestors,received it from his ancestors	it		
3	PART 1	17	Island of Seilan	194	The people are not menat-arms, but unwarlike and cowardly ; 									
3	PART 1	17	Island of Seilan	195	when they need soldiers in war, they send for those of another country, commonly for Saracens.									
3	PART 1	18	Origin of the Boodhist Religion in Seilan	196	I have also to tell you that in this island there is a great mountain, of which the rocks are so broken that it can be ascended only by chains of iron suspended, whereby men may mount to the summit.	Seilan			tell,be,ascended,suspended,mount	tell,be,ascended,suspended,mount	tell you that in this island there is a great mountain , of which the rocks are so broken that it can be ascended only by chains of iron suspended , whereby men may mount to the summit,be ascended only by chains of iron suspended , whereby men may mount to the summit,ascended only by chains of iron suspended , whereby men may mount to the summit,suspended,mount to the summit	you,the summit		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	197	Here, according to the Saracens, is the monument of Adam our first father ; 		Adam		according	according				
3	PART 1	18	Origin of the Boodhist Religion in Seilan	198	but the idolaters consider it as that of Sergamon Borcam.		Sergamon Borcam							
3	PART 1	18	Origin of the Boodhist Religion in Seilan	199	They describe this last as the first man whose image they worshipped, and as the best that ever lived in their country.				worshipped,lived	worshipped,lived	worshipped,lived in their country	their country		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	200	He was son to a great, rich, and powerful king, yet refused to succeed to the throne, or to attend to any worldly concern.				was,refused,succeed,attend	was,refused,succeed,attend	was son to a great , rich , and powerful king , yet refused to succeed to the throne , or to attend to any worldly concern,succeed to the throne,attend to any worldly concern	son to a great , rich , and powerful king , yet refused to succeed to the throne , or to attend to any worldly concern,the throne,any worldly concern		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	201	The monarch, who had no other son, was both grieved and angry.				had,was,grieved	had,was,grieved	had no other son,was both grieved and angry,grieved	no other son,both grieved and angry		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	202	He made him large promises, offering even to resign, and raise him immediately te the throne ; 				made,offering,resign,raise	made,offering,resign,raise	made him large promises , offering even to resign , and raise him immediately te the throne,offering even to resign , and raise him immediately te the throne,resign , and raise him immediately te the throne,raise him immediately te the throne	him		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	203	but the youth would listen to no such proposal.				listen	listen	listen to no such proposal	no such proposal		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	204	The father was like to die of grief, but bethought himself of a plan for bringing him back to the world.				was,die,bringing	was,die,bringing	was like to die of grief , but bethought himself of a plan for bringing him back to the world,die of grief , but bethought himself of a plan,bringing him back to the world	a plan,him		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	205	He lodged him in a very fine palace, and appointed 30,000 beautiful damsels to serve and amuse him.				lodged,appointed,serve,amuse	lodged,appointed,serve,amuse	lodged him in a very fine palace , and appointed 30,000 beautiful damsels to serve and amuse him,appointed 30,000 beautiful damsels to serve and amuse him,serve and amuse him	30,000 beautiful damsels		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	206	The prince, however, remained insensible to their seductions, and led a more virtuous and chaste life than before.				remained,led	remained,led	remained insensible to their seductions , and led a more virtuous and chaste life than before,led a more virtuous and chaste life than before	a more virtuous and chaste life than before		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	207	Now his habits had been so recluse that he had never seen a dead person, or one not perfectly sound in his members.				had,been,had,seen,sound	had,been,had,seen,sound	had been so recluse that he had never seen a dead person , or one not perfectly sound in his members,been so recluse that he had never seen a dead person , or one not perfectly sound in his members,had been so recluse that he had never seen a dead person , or one not perfectly sound in his members,seen a dead person , or one,sound in his members	a dead person , or one,his members		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	208	One day, happening to ride across the path where a man lay dead, he was utterly astonished, and asked of his attendants what that was.				happening,ride,lay,was,asked,was	happening,ride,lay,was,asked,was	happening to ride across the path where a man lay dead,ride across the path where a man lay dead,lay dead,was utterly astonished , and asked of his attendants what that was,asked of his attendants what that was,was utterly astonished , and asked of his attendants what that was	the path where a man lay dead,his attendants		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	209	This being explained, he inquired if all men died, and being told they did so, he walked on, musing very deeply.				being,explained,inquired,died,being,told,did,walked,musing	being,explained,inquired,died,being,told,did,walked,musing	being explained , he inquired if all men died , and being told they,explained,inquired if all men died,died,being explained , he inquired if all men died , and being told they,told they,did so,walked on , musing very deeply,musing very deeply	they		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	210	Some time after, he saw one unable to walk, and with all his teeth decayed through extreme old age.				saw,walk,decayed	saw,walk,decayed	saw one unable to walk , and with all his teeth decayed through extreme old age,walk,decayed through extreme old age	one unable to walk , and with all his teeth decayed through extreme old age,walk,extreme old age		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	211	Having asked, and being informed what that was, he declared he would no longer remain in this evil region, but would seek a place where men neither died nor grew old.				Having,asked,being,informed,was,declared,seek,died,grew	Having,asked,being,informed,was,declared,seek,died,grew	Having asked , and being informed what that was,asked,being informed what that was,informed what that was,was,declared he would no longer remain in this evil region , but would seek a place where men neither died nor grew old,seek a place where men neither died,died,grew old	he,a place		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	212	He left the palace, and journeyed into great and trackless mountains, where he spent his whole life virtuously and chastely, observing rigid abstinence ;				left,journeyed,spent,observing	left,journeyed,spent,observing	left the palace , and journeyed into great and trackless mountains , where he spent his whole life virtuously and chastely , observing rigid abstinence,journeyed into great and trackless mountains , where he spent his whole life virtuously and chastely , observing rigid abstinence,spent his whole life virtuously and chastely , observing rigid abstinence,observing rigid abstinence	the palace,his whole life,rigid abstinence		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	213	 so that had he been a Christian, he must have been a very great saint.				had,been,have,been	had,been,have,been	been a Christian,been a very great saint,have been a very great saint,been a Christian,been a very great saint	a very great saint,a very great saint		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	214	When he died, his corpse was carried to his father, who, on seeing the body of one whom he loved better than himself, was grieved to the heart.				died,was,carried,seeing,loved,was,grieved	died,was,carried,seeing,loved,was,grieved	died,was carried to his father , who , on seeing the body of one whom he loved better than himself , was grieved to the heart,carried to his father , who , on seeing the body of one whom he loved better than himself , was grieved to the heart,seeing the body of one whom he loved better than himself,loved better than himself,was carried to his father , who , on seeing the body of one whom he loved better than himself , was grieved to the heart,grieved to the heart	his father , who , on seeing the body of one whom he loved better than himself , was grieved to the heart,the body of one whom he loved better than himself,the heart		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	215	He made an image of him composed of gold and precious stones.				made,composed	made,composed	made an image of him composed of gold and precious stones,composed of gold and precious stones	an image of him composed of gold and precious stones,gold and precious stones		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	216	All the people of the country adored him as a god, and they say that he died eighty-four times, becoming first an ox, then a horse, then a dog, and various other animals ; 				adored,died,becoming	adored,died,becoming	adored him as a god,died eighty-four times , becoming first an ox , then a horse , then a dog , and various other animals,becoming first an ox , then a horse , then a dog , and various other animals	him,eighty-four times , becoming first,first an ox , then a horse , then a dog , and various other animals		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	217	but that the eighty-fourth time he became a god, and they worship him as their best and greatest.				became	became	became a god	a god		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	218	These were the first idolaters, from whom all the others in Seilan were descended.			Seilan	were,were,descended	were,were,descended	were the first idolaters , from whom all the others in Seilan were descended,were the first idolaters , from whom all the others in Seilan were descended,descended	the first idolaters , from whom all the others in Seilan were descended,the first idolaters , from whom all the others in Seilan were descended	 from whom all the others in Seilan were descended , from whom all the others in Seilan were descended	Seilan ,Seilan
3	PART 1	18	Origin of the Boodhist Religion in Seilan	219	But I assure you, many from the most distant countries come hither on pilgrimage, as Christians to the shrine of St James, and the monument on this mountain is said to be that of the prince, whose teeth, hair, and skull were preserved.				said,be,were,preserved	said,be,were,preserved	said to be that of the prince , whose teeth , hair , and skull were preserved,be that of the prince , whose teeth , hair , and skull were preserved,were preserved,preserved	that of the prince , whose teeth , hair , and skull were preserved		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	220	But the Saracens say that it is that of Adam, our first parent.		Adam							
3	PART 1	18	Origin of the Boodhist Religion in Seilan	221	God knows which is right, but one cannot believe the latter, for the Scriptures of our holy church assure us that he died in another part of the world.				believe,assure,died	believe,assure,died	believe the latter , for the Scriptures of our holy church assure us that he died in another part of the world,assure us that he died in another part of the world,died in another part of the world	the latter,the Scriptures of our holy church,us,another part of the world		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	222	Now it happened that the great khan, hearing that the tomb of Adam, with the other objects mentioned, was on this mountain, sent, in 1284, a numerous embassy, who travelled by land to the island of Seilan.		Khan,Adam	Seilan	happened,hearing,mentioned,was,sent,travelled	happened,hearing,mentioned,was,sent,travelled	happened that the great khan , hearing that the tomb of Adam , with the other objects mentioned , was on this mountain , sent , in 1284 , a numerous embassy , who travelled by land to the island of Seilan,hearing that the tomb of Adam , with the other objects mentioned , was on this mountain,mentioned,was on this mountain,sent,travelled by land to the island of Seilan	this mountain,land		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	223	They went to the king, and procured two of the grinding teeth, which were very large, also the hair, and the cup, of beautiful green porphyry.				went,procured,grinding,were	went,procured,grinding,were	went to the king , and procured two of the grinding teeth , which were very large , also the hair , and the cup , of beautiful green porphyry,procured two of the grinding teeth , which were very large , also the hair , and the cup , of beautiful green porphyry,were very large , also the hair , and the cup , of beautiful green porphyry	the king,two of the grinding teeth , which were very large , also the hair , and the cup , of beautiful green porphyry,very large , also the hair , and the cup , of beautiful green porphyry		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	224	They then returned, and sent notice to their sovereign of what they were bringing, when he ordered his subjects to go forth and meet these relics of our first father.				returned,sent,were,bringing,ordered,go,meet	returned,sent,were,bringing,ordered,go,meet	returned , and sent notice to their sovereign of what they were bringing , when he ordered his subjects to go forth and meet these relics of our first father,sent notice to their sovereign of what they were bringing , when he ordered his subjects to go forth and meet these relics of our first father,were bringing , when he ordered his subjects to go forth and meet these relics of our first father,bringing , when he ordered his subjects to go forth and meet these relics of our first father,ordered his subjects to go forth and meet these relics of our first father,go forth and meet these relics of our first father,meet these relics of our first father	notice to their sovereign of what they were bringing , when he ordered his subjects to go forth and meet these relics of our first father,his subjects,these relics of our first father		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	225	All the citizens of Kambalu came out;			Kambalu	came	came	came out			
3	PART 1	18	Origin of the Boodhist Religion in Seilan	226	the chief men received the sacred objects, and brought them to his majesty, who welcomed them with great joy and reverence.				received,brought,welcomed	received,brought,welcomed	received the sacred objects , and brought them to his majesty , who welcomed them with great joy and reverence,brought them to his majesty , who welcomed them with great joy and reverence,welcomed them with great joy and reverence	the sacred objects,them		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	227	I assure you, too, they found this cup to be of such virtue, that when food was introduced for one man, there would be enough for five ; 				found,be,was,introduced,be	found,be,was,introduced,be	found this cup to be of such virtue , that when food was introduced for one man , there would be enough for five,be of such virtue , that when food was introduced for one man , there would be enough for five,was introduced for one man,introduced for one man,be of such virtue , that when food was introduced for one man , there would be enough for five	this cup to be of such virtue , that when food was introduced for one man , there would be enough for five,such virtue , that when food was introduced for one man , there would be enough for five,one man,such virtue , that when food was introduced for one man , there would be enough for five		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	228	and the great khan declared he had tried this, and found it the truth.		Khan		declared,had,tried,found	declared,had,tried,found	declared he had tried this , and found it the truth,had tried this,tried this,found it the truth	he,this,it		
3	PART 1	18	Origin of the Boodhist Religion in Seilan	229	Now having told you truly all this history, I will leave it and relate other things.				having,told,leave	having,told,leave	told you truly all this history,leave it	you,it		
