chapterNo	chapterTitle	sectionNo	sectionTitle	sentenceNo	sentence	Polo Location	Person	Location	Travel verbs	Narrate verbs	VerbNet Travel	WordNet Travel	FrameNet Travel	VerbNet Narrate	WordNet Narrate	FrameNet Narrate	Voted Narrate	Voted Travel	Paper Narrate	Paper Travel
3	PART 1	19	Kingdoms of Maabar	237	They gave a tenth to the king, and a twentieth to the Abraiamain, who enchants the fishes, depriving them of the power to injure the persons who dive under water for the pearls ; 										gave					
3	PART 1	19	Kingdoms of Maabar	238	indeed he can enchant also all kinds of beasts and birds.															
3	PART 1	19	Kingdoms of Maabar	239	The charm, howevet, lasts only during the day; 															
3	PART 1	19	Kingdoms of Maabar	240	at night the animals enjoy full liberty.															
3	PART 1	19	Kingdoms of Maabar	241	When the men in the boats have found water four to twelve feet deep, they plunge to the bottom, and get shells called sea-oysters, and within whose flesh are found pearls of all sizes and shapes.					called		get	found,get,found	called	get,called		called	get		get
3	PART 1	19	Kingdoms of Maabar	242	These are brought up in very large quantities, and distributed over the world,-the king drawing from them a great revenue.							drawing			distributed,drawing					
3	PART 1	19	Kingdoms of Maabar	243	During the rest of the year they are not found here; 								found							
3	PART 1	19	Kingdoms of Maabar	244	but at a place 300 miles distant, where they are taken from September to the middle of October.								taken		taken					
3	PART 1	20	Hindoo Customs and Superstitions	245	Now, in all this province of Maabar, there is not a tailor, for the people go naked at every season.	Maabar,India the Greater		 Maabar												
3	PART 1	20	Hindoo Customs and Superstitions	246	The air is always so temperate, that they wear only a piece of cloth round the middle.															
3	PART 1	20	Hindoo Customs and Superstitions	247	The king is dressed just like the others, except that his cloth is finer,and he wears a necklace full set with rubies, sapphires, emeralds, and other precious stones, worth a great treasure.										set	dressed				
3	PART 1	20	Hindoo Customs and Superstitions	248	He has also suspended from his neck a silken cord, reaching a pace down, and containing 104 of the largest pearls and most valuable rubies.				reaching		reaching	reaching	reaching		reaching	reaching	reaching	reaching		reaching
3	PART 1	20	Hindoo Customs and Superstitions	249	It is worn because he repeats every day, morning and evening, 104 prayers in honour of his idols.															
3	PART 1	20	Hindoo Customs and Superstitions	250	To this he is bound by his faith and religion, by the example and injunction of his ancestors.															
3	PART 1	20	Hindoo Customs and Superstitions	251	He wears also round three parts both of his arms and legs, bracelets of gold, full of goodly stones and pearls.															
3	PART 1	20	Hindoo Customs and Superstitions	252	In short, the number of his jewels is surprising, being of more value than a handsome city, and no wonder, since they are all produced in his own dominions.								being		being	being	being			
3	PART 1	20	Hindoo Customs and Superstitions	253	No man is allowed to export either a pearl or stone of great value, but must produce it to him, and as he gives double its cost, they do so very willingly, whence he has collected so ample a store.											allowed				
3	PART 1	20	Hindoo Customs and Superstitions	254	Now I must tell you of other marvellous things: he has 500 wives ; 					tell				tell	tell	tell	tell		tell	
3	PART 1	20	Hindoo Customs and Superstitions	255	and as soon as he sees a beautiful lady, takes and keeps her for himself.															
3	PART 1	20	Hindoo Customs and Superstitions	256	He did the same in the case of a very handsome wife of his brother, who, being a prudent man, submitted, and did not quarrel on that account.							did,did	being		being,submitted,quarrel	being	being		submitted	
3	PART 1	20	Hindoo Customs and Superstitions	257	The king has certain faithful adherents, who attend him on horseback wherever he goes, and hold great commands under him ; 										hold	hold	hold			
3	PART 1	20	Hindoo Customs and Superstitions	258	nay, what is wonderful, they serve him both in this and in the other world.															
3	PART 1	20	Hindoo Customs and Superstitions	259	Whenever he dies, and his body is thrown into a great fire, these vassals throw themselves after him, that they may accompany and serve him still in the future state.				accompany		accompany	accompany			thrown	serve		accompany		
3	PART 1	20	Hindoo Customs and Superstitions	260	It is the national custom that, when the king dies, and leaves a great treasure, his son will not spend it for the world; 															
3	PART 1	20	Hindoo Customs and Superstitions	261	saying, I have all my father's kingdom and people, why should I not support myself as he did.					saying		did		saying	saying	saying	saying		saying	
3	PART 1	20	Hindoo Customs and Superstitions	262	Thus the treasure collected in this kingdom becomes immense.															
3	PART 1	20	Hindoo Customs and Superstitions	263	In this country no horses are reared, and hence the greater part of the revenue is employed in obtaining them from foreign regions.															
3	PART 1	20	Hindoo Customs and Superstitions	264	The merchants of Curmos, of Quisci, of Dufar, of Soer, and of Aden, whose provinces contain many steeds of fine quality, purchase, embark, and bring them to the king and his four princely brothers, selling them for 500 sagi of gold, worth more than 100 marcs of silver.			Curmos,Quisci,Dufar,Soer, Aden												
3	PART 1	20	Hindoo Customs and Superstitions	265	I assure you, this monarch buys annually more than 2000, but, by the end of the year, they are all dead, from wanting the medicine necessary to keep them in health.										wanting,keep					
3	PART 1	20	Hindoo Customs and Superstitions	266	The merchants who import them wish this to happen, and are therefore careful not to introduce the cure.					introduce					wish,introduce					
3	PART 1	20	Hindoo Customs and Superstitions	267	Another custom is, that when a man has committed a crime, and is condemned to die, he expresses a wish to devote himself in honour of a certain divinity, to which the king consents.										condemned					
3	PART 1	20	Hindoo Customs and Superstitions	268	"Then his relations and friends place him on a wagon, giving him twelve knives, and lead him through the city, calling out, "" This brave man is about to kill himself for the love of the great idol."""				lead		lead	lead		calling	giving,lead,calling		calling	lead		
3	PART 1	20	Hindoo Customs and Superstitions	269	"When they come to the place of execution, he takes a knife and cries aloud, "" I kill myself for the love of such a deity?""."															
3	PART 1	20	Hindoo Customs and Superstitions	270	He then, with different knives, strikes himself in one arm, then in the other, next in the stomach, and so on till he expires, when the relations burn his body with great joy.															
3	PART 1	20	Hindoo Customs and Superstitions	271	I must tell you another custom of this country, that when a man is dead, and his body burned, his wife throws herself into the fire with her lord ; 					tell				tell	tell	tell	tell		tell	
3	PART 1	20	Hindoo Customs and Superstitions	272	she is then much praised by the people, and many ladies follow the example.															
3	PART 1	20	Hindoo Customs and Superstitions	273	The men also of this kingdom adore idols, and many worship the ox, saying, he is a valuable animal, and on no account would they kill him, or eat his flesh.					saying				saying	saying	saying	saying		saying	
3	PART 1	20	Hindoo Customs and Superstitions	274	Yet there is a race named gaui who eat it, butas they dare not slay the animal, they use only those that die a natural or accidental death.					named					named				named	
3	PART 1	20	Hindoo Customs and Superstitions	275	All the people, too, anoint their houses with its dung.															
3	PART 1	20	Hindoo Customs and Superstitions	276	"It is the custom also that the king, barons, and other persons sit upon the ground, and when asked why they decline a more honourable seat, they say, "" We came from earth, and must return to it, and cannot too much honour this common mother?."""				came,return	asked	came,return	came,return	came,return	asked	asked,return		asked	came ,return		came,return
3	PART 1	20	Hindoo Customs and Superstitions	277	These gaui who eat beef are the persons by whose ancestors St Thomas the apostle was killed; 		St Thomas						was		was	was	was			
3	PART 1	20	Hindoo Customs and Superstitions	278	hence none of this lineage can enter the place where he lies buried, nor could twenty men force them in, nor ten hold them there, on account of the virtue of that sacred body.				enter		enter		enter					enter		enter
3	PART 1	20	Hindoo Customs and Superstitions	279	In this country there grows no grain but rice.															
3	PART 1	20	Hindoo Customs and Superstitions	280	It is remarkable that large fine horses in process of breeding produce only ponies with twisted legs, unfit for riding, and good for nothing.				riding				riding							
3	PART 1	20	Hindoo Customs and Superstitions	281	The people go to battle with lance and shield, entirely naked ;															
3	PART 1	20	Hindoo Customs and Superstitions	282	 yet are they not valiant and courageous, but mean and cowardly.								mean		mean					
3	PART 1	20	Hindoo Customs and Superstitions	283	They kill no animals of any description ; 															
3	PART 1	20	Hindoo Customs and Superstitions	284	but when they wish to eat their flesh, make them be slain by the Saracens and other nations, whose laws and customs are different.								be		be	be	be			
3	PART 1	20	Hindoo Customs and Superstitions	285	Both men and women wash the whole body in water twice every day, morning and evening, and till then will neither eat nor drink.															
3	PART 1	20	Hindoo Customs and Superstitions	286	He who omits this observance is regarded as we do a heretic.															
3	PART 1	20	Hindoo Customs and Superstitions	287	Very severe justice is executed upon those who commit murder or any other trespass.															
3	PART 1	20	Hindoo Customs and Superstitions	288	When a creditor has repeatedly applied for payment and been deceived by fallacious promises, he takes the following course.						following	following	been		applied,been,deceived	been	been	following		
3	PART 1	20	Hindoo Customs and Superstitions	289	He draws a circle round the debtor, who dares not move beyond it, till he has either made payment or given good security ; 				move		move,made	move	move,made		move,given			made ,move		move,made
3	PART 1	20	Hindoo Customs and Superstitions	290	and should he attempt to escape, he becomes liable to capital punishment.				escape		escape		escape					escape		escape
3	PART 1	20	Hindoo Customs and Superstitions	291	Marco himself, when returning homeward through this country, was eyewitness to a remarkable transaction of this nature.		Marco		returning		returning	returning	returning,was		returning,was	was	was	returning		returning
3	PART 1	20	Hindoo Customs and Superstitions	292	The king owed a sum of money to a foreign merchant, and being frequently solicited, he put him off with empty promises.								being		being,solicited,put	being	being			
3	PART 1	20	Hindoo Customs and Superstitions	293	One day, when his majesty was riding out, the creditor took the opportunity of describing such a circle round his person.				riding	describing			was,riding,took		was,took,describing	was,describing	describing ,was		describing	
3	PART 1	20	Hindoo Customs and Superstitions	294	On seeing what had been done, the monarch immediately stopped, and did not move from the spot till the demand was satisfied.				move		move	seeing,done,did,move	been,move,was		seeing,had,been,move,was	been,was	been ,was	move		seeing,move
3	PART 1	20	Hindoo Customs and Superstitions	295	The people viewed with admiration this conduct, and pronounced their sovereign well entitled to the epithet of just.											pronounced				
3	PART 1	20	Hindoo Customs and Superstitions	296	Most persons abstain from drinking wine, and reject the testimony or guarantee of those who indulge in it ;															
3	PART 1	20	Hindoo Customs and Superstitions	297	also of mariners, accounted a reckless and desperate race.										accounted				accounted	
3	PART 1	20	Hindoo Customs and Superstitions	298	Dissolute conduct is practised without censure.															
3	PART 1	20	Hindoo Customs and Superstitions	299	The heat is wonderful, and is the cause of their going naked.				going		going	going	going			going		going		going
3	PART 1	20	Hindoo Customs and Superstitions	300	No rain falls except in June, July, and August, and were not the air cooled by showers during these three months, it would be impossible to live.								were,be		were,be	were,be	be ,were			
3	PART 1	20	Hindoo Customs and Superstitions	301	Many are skilled in an art which they call physiognomy, which consists in knowing men or women, their qualities good or bad, by merely seeing them.					knowing		seeing			knowing,seeing	knowing	knowing			seeing
3	PART 1	20	Hindoo Customs and Superstitions	302	They regard augury beyond any people in the world ; 															
3	PART 1	20	Hindoo Customs and Superstitions	303	for, I assure you, if a man sets out on a journey, and meets an omen deemed unlucky, he often turns back.															
3	PART 1	20	Hindoo Customs and Superstitions	304	Whenever a boy or girl is born, the father or mother causes the nativity to be written out, the day, month, and hour, and these are interpreted by astrologers learned in enchantment and the magical art.								born,be	written	be,written,interpreted,learned	be,written	be ,written		written,interpreted	
3	PART 1	20	Hindoo Customs and Superstitions	305	As soon as a son attains the age of thirteen, he is set at liberty, and no longer allowed to remain in his father's house.										set	allowed				
3	PART 1	20	Hindoo Customs and Superstitions	306	He receives from twenty to twenty-four groats of their money, and is then considered capable of earning his own subsistence by some trade.										considered					
3	PART 1	20	Hindoo Customs and Superstitions	307	These boys, accordingly, run about in all directions throughout the day, buying and selling.															
3	PART 1	20	Hindoo Customs and Superstitions	308	During the pearl-fishery, they frequent the beach and purchase from the fishermen five or six small ones, which they carry to the merchant, who, on account of the heat, has remained seated in his house.															
3	PART 1	20	Hindoo Customs and Superstitions	309	They tell him what they have paid, and demand a reasonable profit, which he usually gives.										paid,demand					
3	PART 1	20	Hindoo Customs and Superstitions	310	The day's business being over, they carry provision to their mothers, who prepare and dress it for their dinner ; 								being		being	being	being			
3	PART 1	20	Hindoo Customs and Superstitions	311	but they do not depend at all on their father for a maintenance.															
3	PART 1	20	Hindoo Customs and Superstitions	312	Here, and throughout all India, the birds and beasts are different from ours, except one bird, which is the quail.			India												
3	PART 1	20	Hindoo Customs and Superstitions	313	They have also bald owls, which fly in the night ; 															
3	PART 1	20	Hindoo Customs and Superstitions	314	they have neither wings nor feathers, and are as large as an eagle.															
3	PART 1	20	Hindoo Customs and Superstitions	315	The eagles are black like crows, larger than ours, expert both at flying and hawking.				flying		flying	flying	flying					flying		flying
3	PART 1	20	Hindoo Customs and Superstitions	316	Another thing worth mentioning is, that they feed their horses with flesh and many other dishes cooked with rice.					mentioning				mentioning	mentioning	mentioning	mentioning		mentioning	
3	PART 1	20	Hindoo Customs and Superstitions	317	Their monasteries are filled with idols, to whom many young girls are devoted by their parents.															
3	PART 1	20	Hindoo Customs and Superstitions	318	They must go to the monastery whenever required by the superior, which is usually several times a-week.				go		go	go	go		required	go		go		go
3	PART 1	20	Hindoo Customs and Superstitions	319	They there sing, dance, and make great rejoicings.						dance,make		make	sing	sing		sing	make		make
3	PART 1	20	Hindoo Customs and Superstitions	320	These young ladies also prepare savoury dishes of flesh and other food, which they carry to the sanctuary, and place before the idol as much as would make a good meal for a great lord.						make		make					make		make
3	PART 1	20	Hindoo Customs and Superstitions	321	They then dance, sing, and rejoice, till time has been given for him to feed on the substance of the meat, when they take and eat it themselves, with great rejoicing.						dance		been	sing	sing,been,given	been	been ,sing			
3	PART 1	20	Hindoo Customs and Superstitions	322	These ladies, who are very numerous, continue the same mode of life till after their marriage.															
3	PART 1	20	Hindoo Customs and Superstitions	323	Having given you this full account of the manners, customs, and doings of this kingdom, we shall depart and tell of another, named Mutfili.			Mutfili	depart	tell,named	depart	depart	depart	tell	Having,given,tell,named	tell	tell	depart	tell,named	depart
3	PART 1	21	Masulipatam-Diamonds of Golconda	324	At this kingdom we arrive after departing from Maabar and travelling northward about a thousand miles.	Mutfili		Maabar	departing,travelling		departing,travelling	departing,travelling	departing,travelling					departing ,travelling		departing,travelling
3	PART 1	21	Masulipatam-Diamonds of Golconda	325	It is subject to a queen of great wisdom, whose husband died forty years ago, and her love to him was such that she has never married another.								was		was	was	was			
3	PART 1	21	Masulipatam-Diamonds of Golconda	326	During this whole term, she has ruled the nation with great equity, and been beloved beyond measure by her people.								been		been	been	been			
3	PART 1	21	Masulipatam-Diamonds of Golconda	327	They are idolaters and independent ; 															
3	PART 1	21	Masulipatam-Diamonds of Golconda	328	they live on rice, flesh, and milk.															
3	PART 1	21	Masulipatam-Diamonds of Golconda	329	In this kingdom, you must know, is found the diamond ; 					know			found		know	know	know			
3	PART 1	21	Masulipatam-Diamonds of Golconda	330	there are several mountains, among which, during rain, water flows with great turbulence, and through wide caverns; 															
3	PART 1	21	Masulipatam-Diamonds of Golconda	331	and when the shower ceases, men search through the ground previously inundated, and find the gems. 								find							
3	PART 1	21	Masulipatam-Diamonds of Golconda	332	In summer, there is not a drop of water, and the heat can scarcely be endured, while fierce and venomous serpents inspire great fear; 								be		be	be	be			
3	PART 1	21	Masulipatam-Diamonds of Golconda	333	yet those who venture thither discover valuable diamonds.										discover				discover	
3	PART 1	21	Masulipatam-Diamonds of Golconda	334	There is also an extensive and deep valley, so enclosed by rocks as to be quite inaccessible; 								be		be	be	be			
3	PART 1	21	Masulipatam-Diamonds of Golconda	335	but the people throw in pieces of flesh, to which the diamonds adhere.															
3	PART 1	21	Masulipatam-Diamonds of Golconda	336	Now you must observe, there are a number of white eagles, which, when they see the flesh in the bottom of the valley, fly thither, seize and carry it to different spots.					observe		carry		observe	observe,carry	observe	observe		observe,carry	
3	PART 1	21	Masulipatam-Diamonds of Golconda	337	The men are on the watch, and as soon as they see the bird with the spoil in its mouth, raise loud cries, when, being terrified, it flies away and drops the meat, which they take up, and find the diamond attached.								being,find		raise,being	being	being			
3	PART 1	21	Masulipatam-Diamonds of Golconda	338	Even when the prey has been swallowed, they watch where the excrement is voided, and obtain in this way not a few jewels.								been		been,swallowed	been	been			
3	PART 1	21	Masulipatam-Diamonds of Golconda	339	Now this is the only country in the world containing these precious stones ; and do not suppose that the best come to our christian countries ;				come		come	come	come		suppose			come	suppose	come
3	PART 1	21	Masulipatam-Diamonds of Golconda	340	 they are carried to the great khan and other lords of those regions, whose ample treasure enables them to purchase.		Khan					carried			carried				carried	
3	PART 1	21	Masulipatam-Diamonds of Golconda	341	I must mention, too, that here are made the most beautiful and valuable cotton cloths in the world ; also the thinnest and most delicate, resembling our spiders' webs.					mention	made		made	mention	mention	mention	mention	made	mention	made
3	PART 1	21	Masulipatam-Diamonds of Golconda	342	They have abundance of animals, and the largest sheep in the world, with plentiful subsistence of everykind.															
3	PART 1	21	Masulipatam-Diamonds of Golconda	343	I must now describe the place containing the body of the apostle St Thomas.		St Thomas			describe					describe	describe	describe		describe	
3	PART 1	22	St Thomas (Madras), Legends respecting him	344	This is in a small town of Maabar, containing few inhabitants, and seldom visited by merchants, there being little trade, and the roads difficult.	St Thomas 		Maabar	visited			visited	visited,being		visited,being	being	being	visited		visited
3	PART 1	22	St Thomas (Madras), Legends respecting him	345	Many Christians and Saracens, however, resort thither in pilgrimage: the latter esteem him a great saint, and even assert that he was a Mohammedan.		Mohammedan						was		assert,was	assert,was	assert ,was		assert	
3	PART 1	22	St Thomas (Madras), Legends respecting him	346	But I will now relate a wonder.					relate				relate	relate	relate	relate		relate	
3	PART 1	22	St Thomas (Madras), Legends respecting him	347	The Christians, who repair to that shrine, take from the place a red earth, carry it into their country, and give a small portion to any person sick of a fever, who is presently cured.								take		take,give					
3	PART 1	22	St Thomas (Madras), Legends respecting him	348	But I have now a miracle to tell ; 					tell				tell	tell	tell	tell		tell	
3	PART 1	22	St Thomas (Madras), Legends respecting him	349	for about the year 1288, a baron of this district had a great quantity of rice, and filled with it all the houses around the church.										had					
3	PART 1	22	St Thomas (Madras), Legends respecting him	350	The pilgrims having thus no place to lodge, prayed him much to desist ; 										having,prayed					
3	PART 1	22	St Thomas (Madras), Legends respecting him	351	but being fierce and proud, he paid no regard to their entreaty.								being		being,paid	being	being			
3	PART 1	22	St Thomas (Madras), Legends respecting him	352	"Next night, accordingly, Messer St Thomas appeared to him with a fork in his hand, which he thrust forcibly against his throat, causing severe pain, and saying, "" If you do not forthwith empty my houses, you shall die an evil death?."""		Messer St Thomas			saying			appeared	saying	saying	saying	saying		saying	
3	PART 1	22	St Thomas (Madras), Legends respecting him	353	He disappeared, and the baron rose early in the morning, related the apparition, and caused all the buildings to be emptied.						rose	rose	disappeared,rose,be		be	be	be	rose		disappeared
3	PART 1	22	St Thomas (Madras), Legends respecting him	354	The Christians greatly rejoiced, and honoured this great apostle.															
3	PART 1	22	St Thomas (Madras), Legends respecting him	355	I could relate other wonderful cures effected on persons labouring under various bodily infirmities; 					relate				relate	relate	relate	relate		relate	
3	PART 1	22	St Thomas (Madras), Legends respecting him	356	but I will now merely describe his death.					describe					describe	describe	describe		describe	
3	PART 1	22	St Thomas (Madras), Legends respecting him	357	He had left his hermitage in the wood, and was engaged in prayer, while around were a number of peacocks, which are more numerous here than elsewhere in the world.				left		left	left	left,was,were		had,left,was,were	was,were	was ,were	left		left
3	PART 1	22	St Thomas (Madras), Legends respecting him	358	Now an idolatrous Gaui, aiming at one of these birds, let fly an arrow without seeing the saint, whom, however, it struck on the right side ; 				fly		fly	fly,seeing	fly		aiming,seeing,struck	aiming	aiming	fly		fly,seeing
3	PART 1	22	St Thomas (Madras), Legends respecting him	359	and finding himself thus wounded, he very mildly adored his Creator, and soon after expired.							wounded	finding							
3	PART 1	22	St Thomas (Madras), Legends respecting him	360	But before coming hither, he had converted many people in Nubia,as I will afterwards narrate.			Nubia	coming	narrate	coming	coming	coming	narrate	had,narrate		narrate	coming	narrate	coming
3	PART 1	22	St Thomas (Madras), Legends respecting him	361	When a child in this province is born, they anoint him every day with the oil of sesame, which makes him become blacker than at birth; 								born							
3	PART 1	22	St Thomas (Madras), Legends respecting him	362	for whoever is most deeply tinted is honoured in proportion.															
3	PART 1	22	St Thomas (Madras), Legends respecting him	363	Indeed, these people paint their god and all their idols black, and their devils white as snow.															
3	PART 1	22	St Thomas (Madras), Legends respecting him	364	The men, when they go to battle, place such faith in the ox as a holy thing, that they take the hair of the wild bull, and if they fight on a horse, attach it to the neck ; if on foot, to their shield ; thinking themselves thus better secured against every danger.															
3	PART 1	22	St Thomas (Madras), Legends respecting him	365	Hence, the hair of this animal sells at a considerable price.															
3	PART 1	23	Lar ; the Bramins	366	Lar is a province lying westward of this place, and thence came originally all the Abraiamain in the world.	Lar		Lar	came		came	came	came		lying			came		came
3	PART 1	23	Lar ; the Bramins	367	These are the best and most honest of all merchants, and would not on any account tell a lie.					tell				tell	tell	tell	tell		tell	
3	PART 1	23	Lar ; the Bramins	368	They neither eat flesh nor drink wine, are faithful to their wives, and lead every way very virtuous lives.						lead	lead			lead			lead		
3	PART 1	23	Lar ; the Bramins	369	They take nothing from any one, and do nothing that could be considered a sin.								be		be,considered	be	be			
3	PART 1	23	Lar ; the Bramins	370	They are all known by a silk thread worn over the shoulder, and tied beneath the opposite arm, so that it passes across both the breast and back.					known					known	known	known			
3	PART 1	23	Lar ; the Bramins	371	They have a rich king, who readily purchases precious stones, and enjoins that the merchants shall offer to him all the pearls brought from Maabar, for which he pays double the cost.			Maabar							offer					
3	PART 1	23	Lar ; the Bramins	372	They therefore procure them in large quantities.															
3	PART 1	23	Lar ; the Bramins	373	They are idolaters,and regard omens from birds and beasts more than any other nation in the world.															
3	PART 1	23	Lar ; the Bramins	374	I will tell you one of their customs: when one wishes to treat for any merchandise, he rises and observes his shadow in the sun ; 					tell				tell	tell,treat	tell	tell		tell	
3	PART 1	23	Lar ; the Bramins	375	and if it be of the due length, on that day, according to certain rules, he makes his bargain ; 								be		be	be	be			
3	PART 1	23	Lar ; the Bramins	376	but if it be not long enough, he will not buy a single article.								be		be	be	be			
3	PART 1	23	Lar ; the Bramins	377	If they go to a house for this purpose, and see one of the animals named tarantula, which here greatly abound, they observe if it comes to them from a lucky quarter, in which case they buy ; 					named		see			see,named				named	see
3	PART 1	23	Lar ; the Bramins	378	but if otherwise, they give up the transaction and go away.				go		go	go	go			go		go		go
3	PART 1	23	Lar ; the Bramins	379	Nay, I assure you, if one leaving his house hears a man sneeze in a manner that does not appear lucky, he stops and re-enters.				leaving		leaving	leaving	leaving,appear		leaving			leaving		leaving
3	PART 1	23	Lar ; the Bramins	380	Even if on his road he sees a swallow approaching from the right or left, in an unlucky manner, he returns.				approaching		approaching,left	left	approaching,left		swallow,left			approaching ,left		approaching,left
3	PART 1	23	Lar ; the Bramins	381	Their teeth are very good, through the use of an herb, which makes them look extremely well, and is very salutary.										look					
3	PART 1	23	Lar ; the Bramins	382	They never bleed from the vein or any other part, yet perfectly preserve their health.															
3	PART 1	23	Lar ; the Bramins	383	There are among them an order named cuigui, who live to an extraordinary age, even 150 or 200 years, yet can perform all the service of the monastery and idols as well as younger men.					named					named				named	
3	PART 1	23	Lar ; the Bramins	384	This is owing to their great abstinence in eating and drinking ; 															
3	PART 1	23	Lar ; the Bramins	385	for they subsist mostly on rice and milk.															
3	PART 1	23	Lar ; the Bramins	386	They mingle also quick silver and sulphur, making a beverage which they drink from their infancy, saying that it lengthens their lives.					saying	making		making	saying	saying	saying	saying	making	saying	making
3	PART 1	23	Lar ; the Bramins	387	There is also in this kingdom a religious order of more rigid cuigui, observing the strictest abstinence, leading a very rude and severe life, and going perfectly naked.					observing	leading,going	leading,going	going	observing	observing,leading	observing,going	observing	going ,leading	observing	going
3	PART 1	23	Lar ; the Bramins	388	They adore the ox, and many wear on their forehead a small effigy of one in copper or bronze gilded.															
3	PART 1	23	Lar ; the Bramins	389	They also burn the dung, and reduce it to a powder, with which they reverentially anoint many parts of their body, as Christians use holy water.															
3	PART 1	23	Lar ; the Bramins	390	They eat neither from spoon nor platter, but from large leaves, mostly of the apple of paradise.															
3	PART 1	23	Lar ; the Bramins	391	Even these must be dry ; 								be		be	be	be			
3	PART 1	23	Lar ; the Bramins	392	for if green, they are said to have a soul, which it would be sin to kill; 					said			be	said	said,have,be	said,be	be ,said		said	
3	PART 1	23	Lar ; the Bramins	393	and they would rather die than commit towards any animal an action believed unlawful.															
3	PART 1	23	Lar ; the Bramins	394	When asked why they feel no shame in going naked, they say, because they wish to have nothing belonging to this world, which they entered without clothing ; 				going,entered	asked	going,entered	going	going,entered	asked	asked,have	going	asked	entered ,going		going,entered
3	PART 1	23	Lar ; the Bramins	395	and committing no sin, they have no reason to be ashamed.								be		be	be	be			
3	PART 1	23	Lar ; the Bramins	396	Besides, they kill no living creature, neither fly nor flea, nor hog nor worm, considering they have souls.										considering					
3	PART 1	23	Lar ; the Bramins	397	They will sleep on the earth without any covering, whence it is a great wonder they do not die, much more that they enjoy so long a life.										covering				covering	
3	PART 1	23	Lar ; the Bramins	398	They fast the whole year round, drinking only water.															
3	PART 1	23	Lar ; the Bramins	399	Some reside in the monastery to serve the gods;											serve				
3	PART 1	23	Lar ; the Bramins	400	 but before admission they undergo the following trial.						following	following						following		
3	PART 1	23	Lar ; the Bramins	401	The young girls offered to the idols caress these new candidates, and endeavour variously to entertain them.										offered					
3	PART 1	23	Lar ; the Bramins	402	Such as appear to take any pleasure in these endearments, are rejected as unworthy ; 								take		take					
3	PART 1	23	Lar ; the Bramins	403	but if they show themselves totally indifferent, they are then retained.															
3	PART 1	23	Lar ; the Bramins	404	Such are the customs of these cruel and perfidious idolaters, who burn the bodies of their dead, because otherwise they would breed worms, which after eating the flesh would starve, and thus involve in great sin the soul to which the body belonged.															
3	PART 1	23	Lar ; the Bramins	405	But I will now cease saying any more about them.					saying				saying	saying	saying	saying		saying	
3	PART 1	24	City of Cail	406	Cail is a great and noble city, belonging to Asciar, eldest of the five brother-kings.	Cail	Asciar	Cail												
3	PART 1	24	City of Cail	407	Its port is frequented by all the ships from the west, Curmos, Quisci, Aden, and the whole of Arabia, laden with merchandise and horses.			Curmos, Quisci, Aden, Arabia	frequented											
3	PART 1	24	City of Cail	408	The merchants bring them hither as to a good market, frequented by purchasers from other quarters.				frequented											
3	PART 1	24	City of Cail	409	The king possesses immense treasures, and wears many precious stones.															
3	PART 1	24	City of Cail	410	He rules his nation very justly and uprightly, for which cause the merchants frequent it, and afford him great profit.															
3	PART 1	24	City of Cail	411	He has three hundred wives and upwards, holding it a high honour to increase their number.										holding	holding	holding			
3	PART 1	24	City of Cail	412	When discord arises among the five brother-kings, their mother, who is still alive, rushes between them, and will not allow them to fight.											allow				
3	PART 1	24	City of Cail	413	"Often, when they will not yield to her prayer, and are about to engage, she takes a knife and says, ""If you will not renounce this quarrel, I will kill myself presently, and cut away the paps with which I gave you milk."""							renounce,cut			quarrel,cut,gave					renounce
3	PART 1	24	City of Cail	414	When the sons see this great piety in their mother, they feel themselves bound to make peace.						make		make					make		make
3	PART 1	24	City of Cail	415	But as soon as she is dead, they cannot fail to quarrel and destroy each other.										quarrel					
3	PART 1	24	City of Cail	416	All the natives here, as well as generally throughout India, have continually in their mouths the leaf called tembul.			India		called				called	called		called			
3	PART 1	24	City of Cail	417	It affords them gratification, and its use has become quite habitual ;															
3	PART 1	24	City of Cail	418	 after chewing they spit out the moisture.															
3	PART 1	24	City of Cail	419	The rich mix it with camphor and other aromatic drugs, and even with quick-lime.															
3	PART 1	24	City of Cail	420	When any one wishes to insult another in the grossest manner, he spits this juice in his face.															
3	PART 1	24	City of Cail	421	The injured party then hastens to the king, and declares his wish to decide the quarrel by combat.										quarrel					
3	PART 1	24	City of Cail	422	His majesty furnishes him with a sword and small shield ;															
3	PART 1	24	City of Cail	423	and all the people assemble as spectators of the conflict, which is only terminated by the death of one of the parties.															
3	PART 1	24	City of Cail	424	They are not, however, allowed to strike with the point of the sword.										strike	allowed				
3	PART 1	24	City of Cail	425	Now let us depart and tell you of the kingdom of Coilon.			Coilon	depart	tell	depart	depart	depart	tell	tell	tell	tell	depart	tell	depart
3	PART 1	25	Kingdom of Coilon	426	After departing from Maabar, and going south-west 500 miles, you arrive at Coilon.	Coilon		Maabar,Coilon	departing,going		departing,going	departing,going	departing,going			going		departing ,going		departing,going
3	PART 1	25	Kingdom of Coilon	427	The people are idolaters, yet among them are Christians and Jews.															
3	PART 1	25	Kingdom of Coilon	428	They have languages of their own, and a king tributary to no one.															
3	PART 1	25	Kingdom of Coilon	429	In this territory grows extremely good brazil-wood, called coilomin.					called				called	called		called			
