chapter No	chapter Title	section No	section Title	sentence No	sentence
				9	They made up a large present, and sent it to Mangou, praying that he would allow them to treat their wives according to the custom handed down to them by their ancestors, who, for this kindness to strangers, had gained the favour of their idols, and their corn and other crops had greatly multiplied.
				10	When he heard this message, he said, “Since you are so bent on your own shame, let it be so”.
				11	He allowed them, therefore, to do as they pleased, and hence they have always maintained this custom.
				1	Ginghintalas is a province which is near the desert, between north and south, sixteen days’ journey in extent, and subject to the great khan.
				2	It contains cities, castles, and three descriptions of men, idolaters, adorers .
				3	of Mohammed, and Nestorian Christians.
				4	On the borders of it, towards the north, is a mountain containing a very abundant vein of copper and antimony.
				5	There is also one from which is made the salamander; but do not suppose this is the animal so called, for no creature can live in fire, because it is compounded of the four elements.
				6	It is only through ignorance that the salamander is called an animal ; and a Turk, named Zurficar, who was very learned, and governor of this province for three years under the great khan, being much employed in working the mines, gave me an account of it.
				7	When this ore is taken from the mountain, and is broken, it strings together, and forms a thread like wool.
				8	Being then dried, pounded in a large mortar, and washed, there remains that thread of which I have spoken.
				9	Being then woven like wool, it forms cloth, which is dingy in colour at first, but when placed and left some time in the fire, it becomes white as snow, without dirt or stain.
				10	This is the truth of the salamander, and every thing else said about itis mere fable.
				11	I can tell you, too, that at Rome there is a cloth which the great khan sent to the pope as a costly present, and the sudarium of our Lord was placed within it.
				12	Now let us tell you of other provinces to the south-east and east.
				1	When you have departed from the province now described, you go ten days in the same direction.
				2	In all that way there are few habitations, nor does any thing occur worth mentioning.
				3	You then finda district called Succiur,with a capital of the same name.
				4	The people are Christians, and idolaters, and under the great khan.
				5	All the three provinces last described belong to the general one named Tangut.
				6	Through all its mountains, rhubarb is found in great abundance, and the merchants purchase and carry it over the whole world.
				7	t They cannot, however, take this road through the mountains with any animals but those accustomed to the country, because a poisonous plant grows there, which, when eaten, causes the hoofs to drop off ; but the native cattle, having learned its dangerous quality, carefully avoid it.
				8	t They live by the fruits of the earth, but attend little to merchandise.
				9	Now I must tell you of another city.
				1	Canpicion is a great and noble town, chief and capital of the whole province of Tangut.
				2	The people are idolaters, and there are some who adore Mohammed, and also Christians who have three large and beautiful churches.
				3	The first have monasteries and abbeys according to their custom, with a very great number of idols, some of which, I assure you, are ten paces high, severally formed of wood, of earth, and of stone, all beautifully covered with gold and ivory.
				4	Their priests live more respectably than others, and guard themselves against luxury, though they do not hold it for a very great sin.
				5	They observe the lunar months like ours, and in one of them do not kill any beast or bird.
				6	For five days they eat no food that has had life, and live more strictly than usual.
				7	They take sometimes thirty wives, or as many as they have wealth to maintain, and give them a dowry in beasts, slaves, and money ; but the first wife ranks always as the principal.
				8	If any of them do not please him, she may be divorced.
				9	They marry their cousins and even the wives of their father, and do not regard as sins many things which we account great ones ; for they live like beasts : therefore let us leave them and go to the north.
				10	But I must tell you that Messeri Nicolo, Maffio, and Marco, remained in that city a year, on particular business which I need not enter into.
				11	We shall now go sixty days northwards.
				1	In Georgia§ is a king always called David Melik, which means David the King ; he is subject to the Tartars ; and anciently all the monarchs of this province were born with the mark of an eagle on their left shoulder.
				2	They are a handsome people, good archers, and valiant in battle.
				3	They are Christians of the Greek church, and wear their hair close shaven in the manner of clergy.
				4	This is the province which Alexander could not pass through on account of the narrowness of the path ; because on one side is the sea, and on the other very high mountains, over which it is impossible to ride ; and, as this strait continues above four leagues, a few men might hold out against the whole world.
				5	This was the reason why he could not pass; but he built a very strong tower, that no one might come upon him from the other side, and it is called the Iron Gate.
				6	This is the place mentioned in the book of Alexander, where he enclosed the Tartars within their mountains ; though the Tartars did not exist at that time, but a certain people called Comani, and other races besides.
				7	.
				8	There are many cities and castles, with silk in abundance, with which, added to gold, they make cloths the most beautiful that ever man saw.
				9	Here are the finest cagles in the world ; also victuals of every kind in abundance.
				10	The province is full of great mountains, and of narrow passes, so that I can tell you the Tartars could never obtain the entire sovereignty of it.
				11	There isa monastery called St Leonard, containing a great wonder, which I will now relate.
				12	A large lake of water issues from a neighbouring mountain, in which, during the whole year, there is not found a fish great or small, except from the day before Lent down to the evening of Easter Sunday ; and during the whole of that time fishes are taken in great abundance, but none at any other.
				13	And know that this sea of which I have spoken is seven hundred miles in circuit, and receives the Euphrates, one of the delights of paradise, and many other great rivers.
				14	It is all surrounded by mountain and land; and lately the merchants of Genoa, who have built shipa, navigate it, bringing silk, which is called gelle.
				15	* Into this sea the great rivers Herdil,t Geihon, Kur, and Aras enter.
				16	In that province there is a grand city named Teflis, with suburbs and fortified posts around it.
				17	The inhabitants are Armenian and Georgian Christians, with some few Mohammedans and Jews.
				18	There are manufactures of silk and other articles.
				19	Now, having told you of the boundaries of Armenia to the north, I will describe those to the south and east.
				1	After riding twelve days, you come to a city named Ezina,which is at the northern extremity of the desert of sand, and still in Tangut.
				2	The people, who are idolaters, breed camels and other beasts, and have falcons of different species and of good quality.
				3	They live by the fruits of the earth and cattle, and are also employed in merchandise.
				4	In this city, a man lays in provisions for forty days, during which time, travelling from Ezina northwards, there is neither habitation nor inns.
				5	But the people, except during summer, remain in the valleys; and in the mountains they find a number of wild beasts, especially asses: there are also pine-forests.
				6	At the end of these forty days they reach a northern province, and you shall hear what it is.
				1	Karakorum isa city three miles in circuit,which was the first that the Tartars took when they issued from their country, and I am to tell you of their actions and manners, how they gained command, and spread themselves over the world.
				2	You must know that they dwelt in the north, about Ciorcia, in which region are great plains, and no abode in cities or castles, but good pasturage, large rivers, and abundance of water.
				3	They had no lords, yet paid tribute to the great sire, named in their language Unchan, whom we call Prester John, and who is spoken of over all the world.
				4	They paid to him one beast out of every ten; but they multiplied so greatly, that he became afraid of them, and resolved to separate them into different countries; for which purpose he sent his barons among them.
				5	The Tartars on hearing this were much grieved, and, holding a council, determined to flee through desert countries to the north, where he could not reach nor injure them.
				6	They then ceased to obey or pay tribute to him,and remained thus for a long time.
				1	Now it happened that, about 1187, the Tartars appointedaking, who was named in their language Gengis Khan.
				2	He was a man of great worth, sense, and prowess; and let me tell you, when he was elected, all the Tartars in the world that were scattered through those strange countries came and owned him as their lord.
				3	He maintained his power with great vigour, and the multitudes who ranged under his standard were almost innumerable.
				4	When he saw so numerous an army, he went conquering other countries, and made himself master of eight provinces ; yet he neither injured nor robbed the people of any thing, but placing them under leaders in whom he could confide, led them on to other triumphs.
				5	Thus he overthrew, as you have.
				6	heard, a multitude of nations ; and seeing his good command and mildness, they cheerfully followed him, upon which he formed the design of subduing a great part of the world.
				7	In the year 1200, he sent a message to Prester John, asking his daughter to wife.
				8	"Hereupon that monarch was very indignant, and said,—""What impudence is this in Gengis Khan!"
				9	Knows he not that he is my man and my vassal?
				10	Return, and tell him that I would burn my daughter sooner than give her to him, and that he deserves to be put to death as a traitor and disloyal to hislord”.
				11	He then desired the messengers to depart forthwith, and never return.
				12	They presently went away, and coming to their master, told him in order all that the other had said.
				1	When Gengis Khan heard this boastful speech, his heart swelled, so that it almost burst within him ; for you must know he was a man of very great pride.
				2	He then said to his minister, and to all about him, that he would not continue to hold the sovereignty, unless Prester John were made to pay more dearly for this villany than ever man did, and he must soon be made to see whether he was his vassal.
				3	Then he summoned round him the greatest army that ever was seen or heard of, and sent notice to Unchan that he must defend himself, as he was coming against him.
				4	When that prince knew certainly the approach of Gengis with so great a force, he made light of it, saying, they were not men-at-arms ; yet.
				5	resolved that should he approach, he would do all in his power to take and put him todeath.
				6	He then ordered all his people to be prepared and summoned from many and strange parts,and a greater host and of more formidable aspect was never seen.
				7	And why make a long story!
				8	The khan, with all his people, came to a great and beautiful plain, named Tenduc, in Prester John’s country, where he pitched his camp, and rejoiced greatly to hear that his enemy was coming, because it was an excellent situation for giving battle.
				9	He sent for his astrologers, who were Christian and Saracen, and required to know which would conquer in that battle, he or his antagonist.
				10	The latter could tell nothing of the truth ; but the former showed it openly; for they brought before him a cane, cut in the middle, and placed the two parts on different sides, and wrote the name of Gengis on one, and of Unchan on the other, telling him, that when they had made their enchantment, he whose cane should come above that of the other would conquer in battle.
				11	He desired that this should be shown to him as soon as possible.
				12	Then they took up the Psaltery, read certain portions, and performed their enchantment, when presently the cane on which was the name of Gengis, without any one touching it, joined the other, and mounted above it, and this was witnessed by all present.
				13	When he saw this, he was greatly rejoiced, and seeing that the Christians were men of truth, held them always in great honour.
				14	Two days after, the armies engaged, and it was the greatest battle that ever was fought.
				15	The slaughter was terrible on both sides; but at length Gengis conquered, his enemy was slain in the engagement, and he himself became master of all his land.
				16	From that day he went on conquering many castles and provinces, and reigned six years ; but, at the end of that time, he besieged a fort, named Cangui, where he was wounded in the knee by an arrow, and died.
				17	This was a great misfortune, for he was a brave and wise man.
				1	After the death of Gengis, the next khan was Cui, the third Bacui, the fourth Alton, the fifth Mangou, the sixth Kublai,who is greater and more powerful than all the rest; for the other five together had not so much power as this Kublai ; nay, let me tell you, that all the emperors in the world, and all the Christian and Saracen kings, do not equal him, as is shown fully in our book.
				2	Now you must know that the great lords of the lineage of Gengis Khan are buried in a lofty mountain called Altai, and whenever the chief lords of the Tartars die, if it should be a hundred days’ journey distant, they must be conveyed thither to be interred.
				3	I will tell you another striking wonder ; that when the bodies of the khans are carried to these mountains, the conductors put to the sword all the men whom they meet on the road, saying, “ Go and serve the great lord in the other world ;” and they do the same to the horses, killing also for that purpose the best he has, You must know that when Mangou died, more than 20,000 men were slain, who had been met on the road when his body was removed to be buried.
				1	Now since I have begun speaking of the Tartars, I will tell you many thingsabout them.
				2	They abide during winter in plains and warm situations, where there is abundant herbage for their cattle; and in summer they retire to cool places on mountains and high valleys, where water abounds.
				3	They have wooden houses covered with felt, of a round shape, which they convey with them wherever they go; for they have them so well bound with twigs as to be easily carried.
				4	Whenever they take down and set up a house, the gate is always placed to the south.
				5	They have waggons so well covered with black felt, that if it should rain the whole day, no water would reach any thing within ; and they are drawn by oxen and camels.
				6	On the top they place their wives and children ; and I must tell you that the ladies buy, sell, and perform all the work necessary for their husbands, who do nothing but hunt, hawk, and go to war.
				7	They live on flesh, milk, and the produce of hunting, and likewise on rats of Pharaoh, which are found here in great numbers.
				8	They eat also the flesh of camels, dogs, and indeed of every kind of animal, and drink mare’s milk.
				9	They shun the seduction of married females, as a most vile and shameful thing; and the wives are very faithful, performing extremely well the business of the household.
				10	Every man may take as many as he pleases, even to a hundred, if he can maintain them ; yet they hold the first as the principal and most respectable.
				11	They scruple not to marry their cousins, and if the father dies, the eldest son may take all his wives, except his own mother ; he marries also the widow of his deceased brother.
				12	They celebrate their marriages by great festivals.
				13	The Tartars, who believe in a deity of a sublime and heavenly nature, burn incense in censers to him, and pray that he may preserve them in health of mind and body.
				14	They have also one called Nacygai, whom they call their earthly god, who guards their children, cattle, and corn, They fashion him of felt and cloth, keep him in their house, and pay him great honour and reverence.
				15	They make for him also a wife and children of cloth, placing the first on his left hand, and the latter in front.
				16	Before eating, they take the fat meat and anoint his mouth with it; then lay bread before the door of his chamber.
				17	Having done this, they say that their god and his family have had their share, and sit down to their own meals, I told you that they drink mare’s milk, but it is in such a manner that it seems white wine, being of an agreeable taste, and called chemius.
				18	The wealthy wear rich robes of gold and silk, with varied furs of the ermine, sable, and fox.
				19	Their harness is beautiful and of great value; their arms are bows, swords, and clubs ; but the first is more used than the others, because they are excellent archers.
				20	On their back they wear armour of buffalo and other very strong hides.
				21	I will tell you the manner in which they maintain justice.
				22	If a man has stolen an article of little value, they give him seven lashes, or seventeen, or twentyseven, going on thus always to three hundred and seven, and many die under them.
				23	If he steals a horse or any thing else for which he deserves to die, he is cut through the middle with a sword; yet if he can pay nine times the value of what he has stolen, he is allowed to live.
				24	Every lord or other man, who owns oxen or any cattle, makes them be marked with his seal, and then allows them to feed on the plains or among the mountains ; and whoever finds one straying brings it to him whose mark is upon it.
				25	The sheep and lambs, however, are guarded by ashepherd.
				26	Their cattle are all remarkably large, fat, and beautiful.
				27	They have another wonderful custom which I had forgot; for when two men have one a son, the other a daughter, dead at the age of four, they marry them together, and represent the union by cards, which they set on fire, and when they see the flame and smoke ascending, they make great shouts and run backward and forward, saying that the dead are going to their children in the other world, and are to be husband and wife there.
				28	They do more, for they paint on cards the similitudes of men, horses, cloths, bezants, and harness, then burn them, and say that all these things will be possessed by their children in the other world.
				1	The Tartars are good men-at-arms in battle, capable of much endurance; and they can go through more warlike toil than other men.
				2	Often, when necessary, one of them will remain a month without any food, except the milk of a mare and the flesh of animals killed by him in hunting, his horse feeding on the grass, without his needing to bring barley or straw.
				3	He is very obedient to his master, and when necessary will remain the whole night armed on horseback.
				4	They are the men in the world most capable of enduring fatigue and trouble, subsisting at the least expense, and best fitted for conquering lands and kingdoms.
				5	They arrange their armies in the following manner.
				6	When a Tartar lord goes to war, he has with him 100,000 men.
				7	He places a chief over every ten, every hundred, every thousand, every ten thousand, so that each officer, even the commander of the hundred thousand, has to deal only with ten persons; for he gives his orders to the chiefs of ten thousand, they to those of one thousand, they to those of a hundred ; and thus every man answers to his captain.
				8	The hundred thousand is called a tut, and ten thousand a toman.
				9	When the armies are marching through plains and mountains, they send 200 men two days in advance, also behind and on each side, so that they cannot he attacked by surprise.
				10	And when they are marching a long way they carry no baggage, but merely two large leathern bags, in which they put their milk, and a little earthen pot for cooking their victuals.
				11	They take a small tent, under which they remain during rain.
				12	And I tell you also, that when necessary they ride full ten days without food, and without lighting a fire; but piercing a vein of their horse, they drink his blood.
				13	They have likewise their milk dried into a species of paste, which, when about to use, they stir till it becomes liquid and can be drunk.
				14	When they go to battle with their enemies, they conquer in this manner: they apparently betake themselves to a shameful flight, for they have so trained their horses that they turn round and round like dogs.
				15	And when they are fleeing and hotly pursued, they fight as well as when they face the enemy ; for in their swiftest flight they wheel about and discharge their arrows, which kill both men and horses of the opposite army, who, when they think their adversaries discomfited and vanquished, fall themselves one after the other.
				16	When the Tartars have thus made a great slaughter, they turn and rush on so violently, that they soon gain a complete triumph.
				17	All that I have told you here applies to the genuine Tartars ; but they are now much altered ; those who live in Cathay have adopted the manners and customs of the idolaters ; those in the Levant imitate the Saracens.
				18	I have said nothing here of the mighty acts of the great khan, the sire of all the Tartars, nor of his splendid imperial court ; for these wonderful things are described elsewhere in this book.
				19	But let us now return to our route on the great plain where we were when we began to speak of their actions.
				1	When you depart from Karakorum, and from Altai, where the khans are interred, as I have related above, you go northwards through a country which is called the plain of Bangnu, and continues during a journey of forty days.
				2	The inhabitants, who are called Mecri, and are very savage, live on the flesh of animals, chiefly deer, nay I assure you that they ride upon these animals.
				3	Their customs resemble those of the Tartars, and they are subject to the great khan.
				4	They have neither corn nor wine, but in summer abundance of beasts and birds for hunting and hawking ; though in winter none remain in the country on account of the intense cold.
				5	After travelling these forty days you come to the ocean ; and there is found a mountain, where the peregrine falcons build their nests.
				6	You must know this place contains neither men nor women, nor beasts, nor any birds, except one species, which is called barghenlac, on which .
				7	the hawks feed.
				8	They are of the size of partridges, have feet like parrots, and tails like swallows, and they fly very swiftly.
				9	When the great khan wishes peregrine falcons, he sends thither for them, In an island of that sea, too, are bred the gerfalcons; and I assure you the place is so far north, that the polestar remains behind, and is seen to the south.
				10	Those birds are bred on that isle in such abundance, that the great khan obtains as many as he pleases; while others are conveyed to Argon and other lords of the East.
				11	Now that I have told you of these northern provinces as far asthe ocean, let us return to Canpicion.
				1	‘When a man departs from that city, he goes five days eastward through a country where there are many spirits, who are often heard speaking during the night.
				2	You then find a kingdom called Erginul,* belonging to the great khan, and included in the large province of Tangut.
				3	There are a good many towns, the chief one bearing the same name ; and the people are a mixture of Nestorian Christians, idolaters, and Mohammedans.
				4	Proceeding thence south-east, you come into the country of Cathay, when you will find in the way a city named Singuy.
				5	There are a good many other towns, still in Tangut, and subject to the great khan; and the inhabitants are as above described.
				6	There are a vast number of wild oxen, as large as elephants, and very beautiful, —their back being entirely covered with white and black hair, three palms long.
				7	These animals are also caught and tamed, when they do twice as much work as the common ox.
				8	This country, too, produces the best musk in the world, and I will describe the animal by which it is supplied.
				9	It is small, about the size of an antelope, which it resembles in the feet and tail, but has a soft thick hair like the stag, no horns, only four teeth, two above and two below, three inches long and very sharp.
				10	It is a beautiful creature; and, on its being taken, there is found a bag between the skin and the flesh, containing a bloody imposthume, which, when the skin is cut through, is drawn out, and forms the musk whence issues so strong an odour.
				11	In this country it is very abundant, and of good quality.
				12	The people also raise plenty of corn,and engage in merchandise and manufactures.
				13	The region extends to a journey of full twentyfive days.
				14	There are pheasants twice as large as ours, with tails from seven to ten palms long.
				15	Others resemble ours; and there are various birds, with finely coloured wings.
				16	The people, who are idolaters, are fat, with small noses, black hair, and no beard unless on the chin.
				17	The ladies have no hair except on the head, and are every way very handsome.
				18	The men are voluptuous, and are authorized by their law and usage to take as many wives as they can maintain.
				19	If a woman is beautiful, though of humble birth, a great baron readily espouses her, giving to her mother such a sum of money as may be agreed on.
				1	When a man departs from Erginul, and goes eight days castward, he finds a province of Tangut called Egrigaia, where there are cities and castles, and the chief one is named Calacian.
				2	The people are idolaters ; yet there are three towns held by Nestorian Christians.
				3	They are subject to the great Tartar; and in this city is made cloth of camels’ hair, the most beautiful and valuable in the world.
				4	There is akind of wool whence they manufacture very fine white camlets in great quantities.
				5	These the merchants convey by many routes to Cathay and other parts throughout the world.
				6	Now let us go to Tenduc, in the territory of Prester John.
				1	Mosul is a great kingdom on the eastern border of Armenia, and inhabited by various denominations of men, whom I will now describe.
				2	There is a race called Arabic, who adore Mohammed ; also another who hold the christian law, but not as the church of Rome commands ; they err in many things.
				3	They are denominated Nestorian and Jacobite, and have a patriarch named Jatolior, who makes archbishops, bishops, abbots, and other clergy, and sends them to all parts of Bagdad, India, and Cathay, as the pope does from Rome.
				4	All the Christians who are in those parts are of this sect ; and all the cloths of silk and gold, which are called mosulin, are made there.
				5	I tell you, too, that the great merchants who are called mosulin, and bring the largest quantity of all costly spices, are of this kingdom.
				6	Among its mountains are people called Kurds, who are Nestorian and Jacobite Christians, but some are Saracens, and reverence Mohammed.
				7	They are an overbearing and wicked people, ever ready to rob the merchants.
				8	Now let us leave Mosul, and speak of the great city of Baldach.
				1	Tenduc is a province towards the east,where there are cities and castles, and the chief one bears the same name.
				2	The people belong to the great khan, like all those formerly subject to Prester John.
				3	In this province there is a king named George, descended from that prince, and who indeed enjoys his power.
				4	He holds the land under the khan, but only a part of that which was possessed by his ancestor.
				5	I assure you, however, that the khans have often given their daughters and female relations to the reigning kings of this line.
				6	In this province are found the stones whence azure is made ; they are plentiful and good.
				7	Camlets, too, are woven of camels’ hair.
				8	The natives live on cattle and the fruits of the earth, and have likewise some merchandise and manufactures, The Christians, as already mentioned, are masters of the land ;but there are also idolaters and worshippers of Mohammed.
				9	There is likewise a people called Argon, meaning in French Guasmul, that is, mixed of two different races.
				10	They are handsomer than the others, more prudent and commercial.
				11	Know that in this province was the chief.
				12	seat of Prester John, when he ruled over the Tartars and all the surrounding countries ; and this George is the sixth in succession from him.
				13	This, too, is the place which we in our country call Gog and Magog, but they call it Ung and Mungul ;and in each province was a different race of people,—in Ung were the Gog, and in Mungul dwelt the Tartars.
				14	When a man rides through that province seven days eastward towards Cathay, he finds many cities and castles, The inhabitants are Mohammedans, idolaters, and Christians ; they carry on trade, and manufacture fine gilded cloths, called nascisi, with various kinds of silk cloth, and are subject to the great khan.
				15	There is a city named Sindacui, with many manufactures of harness and trappings necessary for an army.
				16	In the mountains of that country is a place named Idifu, where there is a very productive silver mine.
				17	They have no want éf beasts and birds for hunting.
				18	Now let us depart from this province and its cities, and travel three days, when we shall find a town named Cianganor, in which is a fine palace of the great khan [already described, p. 136].
				1	Departing from this city, and travelling three days between north and north-east, you come to another named Chandu,t built by Kublai, the great khan now reigning.
				2	Here he has built a most magnificent palace.
				1	At this place dwelt the caliph, chief prelate of all the Saracens in the world, as the pope is at Rome.
				2	Through the middle of it flows a very large river, by which you can proceed to the sea of India, whence merchants go and come with their goods.
				3	From Baldach tothe ocean by the stream is a voyage of eighteen days.
				4	The merchants going to India sail down that river to a place named Chisi,} and then enter the Indian sea.
				5	Between Baldach and Chisi is a great city named Bascra ;§ and the woods around that city yield the finest dates in the world.
				6	In Baldach are many rich cloths of silk and gold, on which birds and beasts are represented ; and it is the greatest and noblest city in all these regions.
				7	And know, assuredly, that the caliph was found to possess the most abundant treasure in gold, silver, and precious stones that ever was in the possession of man ; and I will tell you how it happened.
				8	In the year of our Lord, 1255,the great sire of the Tartars, who is named Alau,brother to the great sire that now reigns, assembled a very large army, and marched upon Baldach and took it by force, which was a glorious exploit ; for it contained more than 100,000 horsemen besides foot soldiers ;and when it was taken, he found the caliph in possession of a tower full of gold, silver, and other treasure, such as never was seen at once in one place.
				9	When he discovered it he sent for the monarch and said : “Caliph, why have you amassed such a treasure, and what do you mean todo with it?
				10	Did you not know that I was your enemy, and coming to attack you with this mighty host!
				11	Knowing this, why did you not take your treasure, and give it to knights and soldiers to defend you and your city?
				12	” The caliph replied nothing, because he knew not what to say.
				13	Then, said Alau: “Caliph, since I see you love so much your treasure, I will give it you to eat”.
				14	He then commanded that he should be shut up in the tower with the treasure, and that nothing should be given to him to eat or drink.
				15	Then he said to him: “ Caliph, eat your treasure as heartily as you please, for you will never eat any thing else”.
				16	He was then immured in the tower, where he died at the end of four days.
				17	And after him there never was any other caliph.
				1	Toris is a great city, in a province called Yrac, containing many towns and castles ; but as this is the chief, I will tell you about it.
				2	The men live by merchandise, and by fabricating fine cloths of silk and gold.
				3	The place is so well situated that merchants proceed hither from India, Baldach, Mosul, Cremosor, and many other places.
				4	The Latin traffickers come to meet those from strange countries, from whom they purchase precious pearls and other valuable articles.
				5	The men are of indifferent character and very mixed origin, Armenians, Nestorians, Jacobites, Georgians, and Persians, and some who adore Mohammed.
				6	The inhabitants of the city are called Taurisians.
				7	Around it are very fine gardens, full of fruits and vegetables.
				8	The Saracens here are most wicked and disloyal.
				9	They maintain that whatever is robbed or plundered from men of a different creed is justly acquired ; while they regard as martyrs those of their own sect who die by the hands of Christians.
				10	If, therefore, they were not checked by their present rulers, they would break out into many outrages.
				11	These principles are common to them all.
				12	At the point of death, the priest comes and demands whether they believe that Mohammed was the prophet of God.
				13	If they profess this belief, they are assured of salvation ; and through this easy absolution, which leaves scope for the perpetration of every crime, they have succeeded in converting many of the Tartars, who feel thus at liberty to indulge their worst propensities,  Near Toris is a monastery named after St Barsamo, and famous for sanctity.
				14	It contains an abbot and many monks, who dress like the Carmelites.
				15	Unwilling to lead an idle life, they are constantly weaving woollen girdles, which they place on the altar of their saint during divine service ; and while going round the province to ask alms (as do their brethren of the Holy Ghost), they present these to their friends and persons of distinction, who value them as beneficial in the cure of theumatism.
				1	Now I am to tell you of a great miracle which happened between Baldach and Mosul in the year 1225.
				2	There was a caliph in the former who held the Christians in great hatred, as it is natural for all the Saracens in the world to do, He thought day and night how he might compel all those in his country to become converts, or else kill them.
				3	Many others concurred in that wicked purpose, and they agreed upon this plan : They found in the gospel a text saying that if a Christian had as much faith as a grain of mustard-seed and made his prayer to God, he would be able to join two mountains together.
				4	On finding this text, they felt great joy, thinking they had thus either a means of converting them, or a pretext for killing them outright.
				5	He therefore sent for all the Jacobite and Nestorian believers in his country, who were very numerous; and when they came before him, he showed them this gospel, made them read it, and asked if it were true.
				6	They replied that it was so.
				7	Then, continued the caliph, since so many Christians are here, there surely must be among you this small measure of faith ; therefore, said he, pointing to a large hill in view, you must remove that mountain, or I will put you allto death, because otherwise you must be wholly destitute of faith, and on that account deserve to die.
				8	If, however, you will turn to our good law of Mohammed, you shall be forgiven; and, in the mean time, I allow you tefi days to do what is required.
				9	He then dismissed them.
				10	On hearing what the caliph had said, they were in great fear, and knew not what to resolve.
				11	Then they all assembled, small and great, men and women, the bishop, archbishop, and priests of whom there were a considerable number, and they remained eight days and eight nights in prayer, that God, in his mercy, and for the diffusion of his faith, would come to their aid, and enable them to escape this cruel death with which they were threatened.
				12	But what have I now to tell you!
				13	While they were thus deeply engaged in prayer, an angel, by the message of God, appeared to a bishop who was a man of very holy life.
				14	He said, “Oh, bishop!
				15	do you now go to acertain shoemaker with one eye, and tell him that at his prayer the mountain will be moved”.
				16	Now this shoemaker was a very honest and chaste man ; he fasted and went regularly to mass, and ‘gave every day bread to the poor.
				17	I will tell you a thing that he did, to prove his good faith and life.
				18	It happened one day that a very beautiful woman came to his shop to purchase a pair of shoes, and in order to make them fit, he was obliged to look at her foot and ankle, and they were so finely shaped that he felt his eye take an undue pleasure in viewing them.
				19	As soon as she was gone, he began bitterly to reproach himself, and remembered the text, “if thine eye offend thee, pluck it out, and cast it from thee”.
				20	He then took a sharp weapon, and stuck it into his eye, so that it burst in his head, and he never saw with it again.
				21	Thus you see he was a most holy and good man.
				22	When, therefore, the bishop had this vision, he told it to all his people, and they agreed that this shoemaker should be called before them, and when he came, they requested him to pray to God that he would make the mountain move.
				23	But when the shoemaker heard what the bishop and the others said, he answered that he was not so good a man as that God or our lady should for his sake do so great a miracle.
				24	But the Christians pressed him so earnestly, that he at last agreed, and made the prayer.
				25	When the final day was come, they all rose early in the morning, great and small, male and female; and entering the church, they sung the holy mass, and then proceeded out to the plain in front of the mountain.
				26	They were fully a hundred thousand, and they all placed themselves in front of the cross.
				27	The caliph then came with a vast number of Saracens, eager to slay the unbelievers, for they thought it impossible the hill could be moved, and they themselves were in great fear and doubt ; nevertheless they had good hope in their Creator.
				28	Then the shoemaker fell on his knees before the cross, lifted his hands to heaven, and prayed fervently that the mountain might be moved, and the Christians there assembled escape a dreadful death.
				29	When he had made his prayer, it was not long before the vast eminence began to stir, and move from its place.
				30	The Saracens, on seeing this, wondered greatly, and many of them were converted ; nay, the caliph himself became a believer in the gospel, but secretly, and when he died, a cross was found round his neck; for which reason he was not buried in the same place with the other sovereigns, but in a tomb by himself.
				31	Now let us leave Baldach and go to Persia.
				1	Persia isa very extensive province, anciently very rich and flourishing, but now in a great degree wasted and destroyed by the Tartars.
				2	It contains a city called Sava, whence the three magi came to adore Jesus Christ when born at Bethlehem.
				3	In that city are buried the three, in separate tombs, above which is a square house carefully preserved.
				4	Their hearts are still entire, with their hair and beards.
				5	One was named Balthazar, the other Gaspar, the third Melchior.
				6	Messer Marco inquired often in that city about these three magi, but no one could tell him any thing, except that they were ancient kings, who were there buried.
				7	They informed him, however, that three days’ journey farther was a tower called the Castle of the Fire-worshippers, because the men there venerate fire, and for the following reason.
				8	They say that anciently three kings of that country went to adore acertain prophet, newly born, and carried three offerings, gold, incense, and myrrh, to know if he were a king, a god, or a sage; for they said that, if he took gold, he was aking; if incense, he wasa god; if myrrh, he was a sage.
				9	They went in one after another, and though they were of different ages and fashions, he appeared to each of them exactly like himself.
				10	When they came out and compared what they had seen, they wondered much, and then went in altogether, and the child then appeared to them what he really was, a boy of thirteen days old.
				11	They presented to him the three offerings, and he took them all, whence they concluded that he was at once god, king, and sage.
				12	He presented to them a closed box, desiring them not to open it till their return home.
				13	After having travelled a number of days, however, they were curious to see what was in the box, and opened it, when they found only a stone, which was meant to express that they should remain firm in the faith which they had received.
				14	They did not understand this meaning, and despising the gift, threw it into a well, when immediately a great fire came down from heaven, and began to burn brightly.
				15	When they saw this wonder, they were quite astonished, and repented that they had thrown.
				16	away the stone.
				17	They however took a portion of the fire, carried it to their country, and placed it in their church, where they kept it continually burning.
				18	They revere it as a god, and use it for burning all their sacrifices ; and when at any time it goes out, they repair to that well, where the fire is never extinguished,and from it bring a fresh supply.
				19	This is what all the people of that country tell, and Messer Marco was assured of it by those of the castle, and therefore it is truth.
				20	One of these kings was of Saba, the other of Ava, the other of the castle.
				21	Now let me tell you of Persia, its cities, and the actions and customs of the people.
