Entity Name	Type	Page No
Ughim	city of	186
Un-gui(Kia-hing)	city of	186
Un-quem(Ming-taing)	city of	201
Ural river		73
Venice	a powerful state	89
Vociam	city of	162
Vociam	Kingdom of	164
Vokhan (Wakhan)	province of	237
Volga river		69,71
Waldshut	battle of	47
Yaci(Chiaki)	a city of Thibet	159,160
Yang-tse-kiang or Kiang	a great river of Chita	18, 183
Yan-gui (Yang-tcheou-fou)	city of, which Marco Polo governed	181
Yarcan(Yarcund) 	province of	242
Yarcund	city of	18
Yasdi (Yerd)	a city of Persia	218
Zai-tun (Amoy)	a noble port	202
Zanghibar (Zanguebar)	a country on the eastern coast of Africa	322
Zipangu (Japan)	invasion of by Kublai, how frustrated	273, 274
Zipangu (Japan)	Idolatry and cruelty of the nuhabitants	275
