,chapterNo,chapterTitle,sectionNo,SentenceNo,sectionTitle,sentence,Person,Location,common
189,1,PART 1,13,190,Wicked Administration of Achmac-Insurrection,"During a period of twenty-two years, he exercised this absolute authority.",,,
190,1,PART 1,13,191,Wicked Administration of Achmac-Insurrection,"At length the Kataians, natives of the country, unable to endure longer his multiplied acts of injustice and violation of domestic rights, began to devise means of bringing about his death and the overthrow of the government.",,,
191,1,PART 1,13,192,Wicked Administration of Achmac-Insurrection,"Among the leading persons in this plot was Chenku, a commander of 6000 men, in whose family his dissolute conduct had spread dishonour.",Chenku,,
192,1,PART 1,13,193,Wicked Administration of Achmac-Insurrection,"He proposed the measure to one of his nation, named Vanku, who commanded 10,000 men, and suggested for its execution the period when the great khan, having completed his three months' residence in Kambalu, should have departed for his palace at Shandu, while his son Gengis had also retired to the place usually visited by him at that season.","Vanku,khan,Gengis","Kambalu,Shandu","Kambalu,Gengis"
193,1,PART 1,13,194,Wicked Administration of Achmac-Insurrection,"The charge of the city was then intrusted to Achmac, who communicated all affairs that occurred during his master's absence, and received the necessary instructions.",Achmac,,Achmac
194,1,PART 1,13,195,Wicked Administration of Achmac-Insurrection,"Vanku and Chenku, having thus consulted together, imparted the design to some leading persons among the Kataians, and also to their friends in various other cities.","Vanku,Chenku",,
195,1,PART 1,13,196,Wicked Administration of Achmac-Insurrection,"They formed an agreement, that on a certain day, immediately on perceiving a signal made by fire, they should rise and put to death all persons wearing beards. ",,,
196,1,PART 1,13,197,Wicked Administration of Achmac-Insurrection,"This distinction was made because they themselves naturally wanted this appendage, which characterized the Tartars, the Saracens, and the Christians.",,,"Tartars,Saracens,Christians"
197,1,PART 1,13,198,Wicked Administration of Achmac-Insurrection,"The grand khan, having acquired the sovereignty of Kataia, not by any legitimate right, but solely by force of arms, placed no confidence in the natives, and therefore intrusted ail the provincial governments to Tartars, Saracens, Christians, and other foreigners belonging to his household.",khan,Kataia,"Kataia,Tartars,Saracens,Christians,Kataia"
198,1,PART 1,13,199,Wicked Administration of Achmac-Insurrection,"From this cause his reign was universally detested by the people, who found themselves treated as slaves by the Tartars, and still worse by the Saracens.",,,"Tartars,Saracens"
199,1,PART 1,13,200,Wicked Administration of Achmac-Insurrection,"Vanku and Chenku, having thus arranged their plans, succeeded at night in entering the palace; ","Vanku,Chenku",,
200,1,PART 1,13,201,Wicked Administration of Achmac-Insurrection,"when the former placed himself on one of the royal seats, made the apartment be lighted up, and sent a messenger to Achmac, then residing in the old city.",Achmac,,Achmac
201,1,PART 1,13,202,Wicked Administration of Achmac-Insurrection,"He professed to come from Gengis, the emperor's son, who, he said, had unexpectedly arrived, and required his immediate attendance.",Gengis,,Gengis
202,1,PART 1,13,203,Wicked Administration of Achmac-Insurrection,The viceroy was much surprised by this intelligence ; ,,,
203,1,PART 1,13,204,Wicked Administration of Achmac-Insurrection,"but, as he stood in awe of the prince, he presently obeyed.",,,
204,1,PART 1,13,205,Wicked Administration of Achmac-Insurrection,"On passing the gate of the new city, he met the Tartar officer named Kogatai, who commanded the guard of 12,000 men, and who asked him whither hewas going at that late hour.",Kogatai,,Kogatai
205,1,PART 1,13,206,Wicked Administration of Achmac-Insurrection,"He stated his intention of waiting upon Gengis, whose arrival had just been announced to him.",Gengis,,Gengis
206,1,PART 1,13,207,Wicked Administration of Achmac-Insurrection,"""It is very surprising,"" said the officer, ""how he should have come so secretly that I was not apprized of it, so as to send a party of guards to attend him.""",,,
207,1,PART 1,13,208,Wicked Administration of Achmac-Insurrection,"The two Kataians, meantime, felt confident, that if they could succeed in despatching Achmac, they had nothing farther to fear.",Achmac,,Achmac
208,1,PART 1,13,209,Wicked Administration of Achmac-Insurrection,"On entering the palace, and seeing so many lights blazing, he prostrated himself before Vanku, whom he supposed to be the prince, when Chenku, who held a sword ready in his hand, severed his head from his body.","Vanku,Chenku",,
209,1,PART 1,13,210,Wicked Administration of Achmac-Insurrection,Kogatai had stopped at the door ; ,Kogatai,,Kogatai
210,1,PART 1,13,211,Wicked Administration of Achmac-Insurrection,"but, seeing this catastrophe, he exclaimed that treason was at work, and presently discharged an arrow, which slew Vanku as he sat upon the throne.",Vanku,,
211,1,PART 1,13,212,Wicked Administration of Achmac-Insurrection,"He then caused his men to seize the other, and despatched an order to the city to kill every one who should be found abroad.",,,
212,1,PART 1,13,213,Wicked Administration of Achmac-Insurrection,"The Kataians, however, seeing the conspiracy discovered, one of their chiefs killed, and the survivor a prisoner, remained in their houses, and could not make the concerted signals to the other towns.",,,
213,1,PART 1,13,214,Wicked Administration of Achmac-Insurrection,"Kogatai lost no time in sending messengers with a particular relation of these events to the khan, who, in reply, ordered him diligently to investigate the conspiracy, and to punish according to the degree of their guilt those found implicated in it.","Kogatai,khan",,Kogatai
214,1,PART 1,13,215,Wicked Administration of Achmac-Insurrection,"Next day, after receiving this command, he examined all the Kataians, and inflicted the punishment of death on the ringleaders.",,,
215,1,PART 1,13,216,Wicked Administration of Achmac-Insurrection,Other cities known to have participated in the guilt suffered similar inflictions.,,,
216,1,PART 1,13,217,Wicked Administration of Achmac-Insurrection,"When his majesty returned to Kambalu, he inquired eagerly into the cause of this disturbance, and learned that the infamous Achmac and seven of his sons (the others being less culpable) had committed several enormities.",Achmac,Kambalu,"Kambalu,Achmac"
217,1,PART 1,13,218,Wicked Administration of Achmac-Insurrection," He gave orders that the treasure, which he had accumulated to an incredible amount, should be removed from his place of residence to the new city, where it was lodged in his own treasury.",,,
218,1,PART 1,13,219,Wicked Administration of Achmac-Insurrection,"He directed even that his corpse should be disinterred, and thrown into the street, where the dogs might tear it in pieces.",,,
219,1,PART 1,13,220,Wicked Administration of Achmac-Insurrection,"The sons, who had pursued the same criminal course with their father, were ordered to be flayed alive.",,,
220,1,PART 1,13,221,Wicked Administration of Achmac-Insurrection,"Considering also the principles of the accursed sect of the Saracens, which allow them to indulge in the commission of every crime, and even to murder those who differ from them on points of belief, whence even the detestable Achmac and his sons might have imagined themselves guiltless, he regarded the whole body with contempt and abomination.",Achmac,,"Saracens,Achmac"
221,1,PART 1,13,222,Wicked Administration of Achmac-Insurrection,"Summoning them to his presence, he forbade the continuance of many practices enjoined in their law, ordering that in future their marriages should be arranged according to the Tartar custom ; ",,,
222,1,PART 1,13,223,Wicked Administration of Achmac-Insurrection,"and that, in killing animals for food, instead of cutting their throats, they should rip open the stomach.",,,
223,1,PART 1,13,224,Wicked Administration of Achmac-Insurrection,Marco Polo was on the spot when these events took place.,Marco Polo,,Polo
224,1,PART 1,14,225,Guards of the Great Khan,"When the great khan holds a court, he is guarded, on account of his excellency and honour, by 12,000 horsemen, who are called quiesitan, that is, faithful servants of their lord; ",khan,,
225,1,PART 1,14,226,Guards of the Great Khan,and this he does not from fear but regard to his high dignity.,,,
226,1,PART 1,14,227,Guards of the Great Khan,"Over these 12,000 are four captains, so that each commands 3000; ",,,
227,1,PART 1,14,228,Guards of the Great Khan,"and they keep guard in turn three days and three nights, eating and drinking at the expense of the prince.",,,
228,1,PART 1,14,229,Guards of the Great Khan,"Then they go away, and another party comes ; ",,,
229,1,PART 1,14,230,Guards of the Great Khan,and so they proceed throughout the whole year.,,,
230,1,PART 1,15,231,The Magnificence of his Festivals,"When the khan wishes to celebrate a splendid festival, the tables are so arranged that his is much higher than the others, and he sits on the north, with his face toward the south.",khan,,
231,1,PART 1,15,232,The Magnificence of his Festivals,"His first wife is seated beside him on the left, while, on the right, are his sons and nephews, and all those of imperial lineage, who are so stationed that their head is on a level with the feet of the monarch.",,,
232,1,PART 1,15,233,The Magnificence of his Festivals,The barons sit still lower; ,,,
233,1,PART 1,15,234,The Magnificence of his Festivals,"while the ladies, daughters, and female relations of the khan are placed beneath the queen on the left side, and under them all the wives of the barons ; ",khan,,
234,1,PART 1,15,235,The Magnificence of his Festivals,every class knows the spot where they ought to sit.,,,
235,1,PART 1,15,236,The Magnificence of his Festivals,"The tables are so arranged that the monarch can see all the company, who are very numerous ; ",,,
236,1,PART 1,15,237,The Magnificence of his Festivals,"and outside of that hall there eat more than 40,000 persons, who have come with presents or remarkable objects from foreign parts, and attend on the days when he holds a court or celebrates a marriage.",,,
237,1,PART 1,15,238,The Magnificence of his Festivals,"In the midst of this hall is a very large vessel of fine gold, containing wine, and on each side two smaller ones, whence the liquor is poured out into flagons, each containing fully enough for eight men ; ",,,
238,1,PART 1,15,239,The Magnificence of his Festivals,"and one of these is placed between every two guests, who have besides separate cups of gold to drink out of.",,,
239,1,PART 1,15,240,The Magnificence of his Festivals,"This supply of plate is of very great value, and indeed the khan has so many vessels of gold and silver that none without seeing could possibly believe it.",khan,,
240,1,PART 1,15,241,The Magnificence of his Festivals,"At each door of the great hall, or of any part of the palace occupied by his majesty, stand two officers of gigantic height, holding in their hands staves, to prevent persons who enter from touching the threshold.",,,
241,1,PART 1,15,242,The Magnificence of his Festivals,"If any one chances to commit this offence, they take from him his garment, which he must redeem by a payment, or if they spare his dress, inflict at least a number of blows fixed by authority.",,,
242,1,PART 1,15,243,The Magnificence of his Festivals,"As strangers may not be aware of this prohibition, officers are appointed to warn them of it at the time of introduction.",,,
243,1,PART 1,15,244,The Magnificence of his Festivals,"Since, however, some of the company, on leaving the hall, may be so affected with liquor as to be unable to guard against the accident, it is not then severely punished.",,,
244,1,PART 1,15,245,The Magnificence of his Festivals,"Those who serve the khan at table are great barons, who hold their mouths carefully wrapped in rich towels of silk and gold, that their breath may not blow upon the dishes.",khan,,
245,1,PART 1,15,246,The Magnificence of his Festivals,"When he begins to drink, all the instruments, which are very numerous, are sounded, and while the cup is in his hand, the barons and others present fall on their knees, and make signs of great humility ; ",,,
246,1,PART 1,15,247,The Magnificence of his Festivals,"this is done every time he drinks, or when new viands are brought in.",,,
247,1,PART 1,15,248,The Magnificence of his Festivals,"These I shall not attempt to recount, since any one may believe that he will have the greatest variety of beasts and birds, wild and domestic, and of fishes in their season, and in the greatest abundance, prepared most delicately in various modes suitable to his magnificence and dignity.",,,
248,1,PART 1,15,249,The Magnificence of his Festivals,"Every baron or knight brings his wife, and she sits at table along with the other ladies.",,,
249,1,PART 1,15,250,The Magnificence of his Festivals," When the great sire has eaten, and the tables are removed, a number of jesters, players, and other witty persons perform various pieces, exciting much mirth and pleasure among the company, who then all depart and go to their homes.",,,
250,1,PART 1,16,251,Great Festival at the King's Birthday,The Tartars celebrate a festival on the day of their nativity.,,,Tartars
251,1,PART 1,16,252,Great Festival at the King's Birthday,"The birthday of the khan is on the 28th September, and is the greatest of all, except that at the beginning of the year.",khan,,
252,1,PART 1,16,253,Great Festival at the King's Birthday,"On this occasion he clothes himself in robes of beaten gold, and his twelve barons and 12,000 soldiers wear like him dresses of a uniform colour and shape ;",,,
253,1,PART 1,16,254,Great Festival at the King's Birthday," not that they are so costly, but similarly made of silk, gilded, and bound by a cincture of gold.",,,
254,1,PART 1,16,255,Great Festival at the King's Birthday,"Many have these robes adorned with precious stones and pearls, so as to be worth 10,000 golden bezants.",,,
255,1,PART 1,16,256,Great Festival at the King's Birthday,"The great khan, twelve times in the year, presents to those barons and knights robes of the same colour with his own; ",khan,,
256,1,PART 1,16,257,Great Festival at the King's Birthday,and this is what no lord in the world can do.,,,
257,1,PART 1,16,258,Great Festival at the King's Birthday,"On the day of his nativity, all the Tartars from every province of the world, who hold lands under him, celebrate a festival, and bring presents suited to their station.",,,Tartars
258,1,PART 1,16,259,Great Festival at the King's Birthday,The same is done by every individual who asks from him any favour or office.,,,
259,1,PART 1,16,260,Great Festival at the King's Birthday,He has twelve barons who bestow commands on such persons as they think proper.,,,
260,1,PART 1,16,261,Great Festival at the King's Birthday,"On that day, the Christians, Saracens, and all the races of men who are subject to him, make prayers to their gods that they will preserve, and grant him a long, healthy, and happy life.",,,"Christians,Saracens"
261,1,PART 1,16,262,Great Festival at the King's Birthday,"I will tell you no more of this festival, but of another which they celebrate at the beginning of the year, called the White Feast.",,,
262,1,PART 1,17,263,Festival of the New Year,"The Tartars begin their year in February,when the khan and his people celebrate a feast, where all, both men and women, are clothed in white robes.",khan,,Tartars
263,1,PART 1,17,264,Festival of the New Year,"They consider these as signifying joy and good fortune, and that hence all prosperity will happen to them throughout the year.",,,
264,1,PART 1,17,265,Festival of the New Year,"On that day, all who hold land or any dominion under him, make the most magnificent presents in their power, consisting of gold, silver, pearls, precious stones, and rich white cloths; ",,,
265,1,PART 1,17,266,Festival of the New Year,"so that, during the whole year, he may have abundance of treasures, and of the means of enjoying himself.",,,
266,1,PART 1,17,267,Festival of the New Year,"They present also more than 5000 camels, with about 100,000 beautiful white horses.",,,
267,1,PART 1,17,268,Festival of the New Year,"On that day, too, he is gratified with at least 5000 elephants covered with cloths of silk and gold, finely wrought with figures of beasts and birds, and each having on his back a box filled with vessels of gold and silver, and other things necessary for the feast.",,,
268,1,PART 1,17,269,Festival of the New Year,"They all pass before the great khan, and form the most brilliant spectacle ever seen in this world.",khan,,
269,1,PART 1,17,270,Festival of the New Year,"In the morning of that festal day, before the tables are spread, the kings, generals, counts, astrologers, physicians, falconers, and many other officers and rulers, repair to the hall of the sovereign, and those who are not admitted remain without the palace in a place where the monarch can fully see them.",,,
270,1,PART 1,17,271,Festival of the New Year,"They are in the following order :-Foremost, his sons, nephews, and others of his lineage, then kings, generals, and others according to their rank.",,,
271,1,PART 1,17,272,Festival of the New Year,"As soon as each has taken his place, a great prelate rises and says, with a loud voice,""incline and adore ;""ù and presently all bend down, strike their foreheads on the earth, and make prayers to their master, adoring him as a god.",,,
272,1,PART 1,17,273,Festival of the New Year,"This they do four times, and then go to an altar, on which is written the name of the great khan.",khan,,
273,1,PART 1,17,274,Festival of the New Year,"Then, out of a beautiful box, they pour incense on that table in reverence of him, and return to their place ; ",,,
274,1,PART 1,17,275,Festival of the New Year,they next make those rich and valuable presents which I have described.,,,
275,1,PART 1,17,276,Festival of the New Year,"When all these things have been done, and the prince has seen them all, the tables are placed, and they sit down, when the feast is ordered and celebrated in the manner already explained.",,,
276,1,PART 1,17,277,Festival of the New Year,"Now that I have described to you the joy of the White Feast, I will tell you of a most noble thing done by this monarch ;",,,
277,1,PART 1,17,278,Festival of the New Year, for he has ordered vestments to be bestowed upon the barons there present.,,,
278,1,PART 1,18,279,Robes bestowed by the Great Khan,"He has twelve barons, who are called quiesitan, or the faithful men of the supreme lord.",,,
279,1,PART 1,18,280,Robes bestowed by the Great Khan,"He gives to each thirteen vestments, differing in colour, and adorned with precious stones, pearls, and other great and most valuable articles ; also a golden girdle, and sandals worked with threads of silver, so that each, in these several dresses, appears like a king; ",,,
280,1,PART 1,18,281,Robes bestowed by the Great Khan,and there is a regulation what dress ought to be worn at each of the feasts.,,,
281,1,PART 1,18,282,Robes bestowed by the Great Khan,"The monarch has thirteen robes of the same colour with those of his barons, but more costly.",,,
282,1,PART 1,18,283,Robes bestowed by the Great Khan,"And now I will relate a most wonderful thing, namely, that a large lion is led into his presence, which, as soon as it sees him, drops down, and makes a sign of deep humility, owning him for its lord, and moving about without any chain.",,,
283,1,PART 1,18,284,Robes bestowed by the Great Khan,Now you shall hear of the great huntings made by this powerful ruler.,,,
284,1,PART 1,19,285,Profusion of Game supplied to his Court,"He resides in the city of Cathay, that is Kambalu, three months, December, January, and February, and has commanded that, for forty days' journey round, all the people should engage in hunting and falconry.",,"Cathay,Kambalu","Cathay,Kambalu"
285,1,PART 1,19,286,Profusion of Game supplied to his Court,"The various lords of nations and lands are ordered to bring to him large beasts, stags, boars, wild-goats, and other animals.",,,
286,1,PART 1,19,287,Profusion of Game supplied to his Court,"Those at the distance of thirty days' journey send the bodies preserved with the entrails taken out, while those at forty send only the skins, which are employed as furniture for his army.",,,
287,1,PART 1,20,288,Leopards and other wild Animals kept for Hunting,Now let us tell of the beasts which his majesty keeps for hunting.,,,
288,1,PART 1,20,289,Leopards and other wild Animals kept for Hunting,"Among these are leopards and lynxes, or stag-wolves, well fitted for that purpose.",,,
289,1,PART 1,20,290,Leopards and other wild Animals kept for Hunting,"He has also many lions larger than those of Babylon, of a beautiful hair and colour, striped lengthways, black, red, and white, and trained to catch stags, wild-oxen, hogs, wild-goats, and asses ; ",,Babylon,Babylon
290,1,PART 1,20,291,Leopards and other wild Animals kept for Hunting,"and it is delightful to see one of these chases, where the hunters go out, carrying the lion in a cage, and with him a small dog.",,,
291,1,PART 1,20,292,Leopards and other wild Animals kept for Hunting,"They have likewise abundance of eagles, with which they capture hares, foxes, and even wolves; ",,,
292,1,PART 1,20,293,Leopards and other wild Animals kept for Hunting,"those which are trained to catch these last are very large, and of great weight, so that no wolf can escape them.",,,
293,1,PART 1,21,294,His numerous Dogs and splendid Hunting Expeditions,Now let us speak of the dogs kept by this monarch.,,,
294,1,PART 1,21,295,His numerous Dogs and splendid Hunting Expeditions,"He has two barons who are brothers, named Bayam and Migam ; ","Bayam,Migam ",,Bayam
295,1,PART 1,21,296,His numerous Dogs and splendid Hunting Expeditions,"they are called cinuci, that is, the keepers of mastiff dogs, and each commands a party of 10,000 men, one clothed in vermilion, and the other in blue; ",,,
296,1,PART 1,21,297,His numerous Dogs and splendid Hunting Expeditions,whenever they go out with the monarch they are dressed in these vestments.,,,
297,1,PART 1,21,298,His numerous Dogs and splendid Hunting Expeditions,"In each party there are 2000 of the men, who guide respectively one, two, or more large mastiffs, making altogether a vast multitude.",,,
298,1,PART 1,21,299,His numerous Dogs and splendid Hunting Expeditions,"When his majesty goes to hunt, these two brothers attend him on opposite sides, each with 10,000 men and 5000 dogs; and they hunt thus a day's journey distant from each other, and never pursue any animal which is not captured.",,,
299,1,PART 1,21,300,His numerous Dogs and splendid Hunting Expeditions,"It is indeed beautiful to see the speed of these dogs and the hunters, for when the prince goes out with his barons, boars and other animals are running on every side, and the dogs pursuing.",,,
300,1,PART 1,22,301,Falconry and the Chase after Birds,"When the monarch has remained in Kambalu these three months, he departs and goes southward to the ocean two days' journey distant.",,Kambalu,Kambalu
301,1,PART 1,22,302,Falconry and the Chase after Birds,"He leads with him 10,000 falconers, conveying full 5000 gerfalcons, peregrine falcons in abundance, and also many vultures; ",,,
302,1,PART 1,22,303,Falconry and the Chase after Birds,but do not imagine that these are all kept in one place ;,,,
303,1,PART 1,22,304,Falconry and the Chase after Birds," there are 200 here, 300 there, and so on.",,,
304,1,PART 1,22,305,Falconry and the Chase after Birds,"The birds caught are mostly presented to the great sire, and when he goes to hunt with his gerfalcons, vultures, and falcons, 10,000 men are ranged, two together, so as to enclose much ground ; ",,,
305,1,PART 1,22,306,Falconry and the Chase after Birds,"these are called toscaor, meaning in our language men who remain on the watch, and each has a call and a hood to invite the birds.",,,
306,1,PART 1,22,307,Falconry and the Chase after Birds,"And when any falconer, by order of his majesty, sends forth a falcon, he has no need to follow it, because wherever it may go, it is watched by the men ranged in double order, who can either catch it again, or if necessary afford it succour.",,,
307,1,PART 1,22,308,Falconry and the Chase after Birds,"Each of the birds belonging to the sovereign and barons has a tablet of silver on its feet, with its name and that of the owner inscribed, so that wherever caught, it can be returned to him.",,,
308,1,PART 1,22,309,Falconry and the Chase after Birds,"If he is unknown, the animal must be carried to a chief named bulangazi, or guardian of things that are lost, who stands with his flag on an elevated spot, and all who have missed any thing go to him and recover it.",bulangazi,,
309,1,PART 1,22,310,Falconry and the Chase after Birds,"Whoever finds a horse, a bird, a sword, or any thing else, and does not carry it to the owner or to this officer, is treated as a robber; thus scarcely any thing is ever lost.",,,
310,1,PART 1,22,311,Falconry and the Chase after Birds,"When the monarch goes upon these excursions, he has with him four elephants, and a chamber prepared, covered within with cloth of beaten gold, and outwardly with lions' skins, where he keeps twelve of his very best gerfalcons, with twelve barons to amuse him by their society.",,,
311,1,PART 1,22,312,Falconry and the Chase after Birds,"As the falconers ride by, they call, ""Sire, the birds are passing,""ù when he throws open the chamber, and seeing the object, selects the gerfalcons that please him, and sends them forth against the birds, few of which ever escape.",,,
312,1,PART 1,22,313,Falconry and the Chase after Birds,"Lying on his couch, he can view and enjoy the chase.",,,
313,1,PART 1,22,314,Falconry and the Chase after Birds,"Thus, I think, there is not, and never will be, any lord in the world, who has or can have so much diversion as the great khan.",khan,,
314,1,PART 1,23,315,Magnificent Tents of the Great Khan,"When this mighty monarch comes to one of his places, named Chaccia, he causes his tents to be pitched, with those of his sons and barons.",,Chaccia,
315,1,PART 1,23,316,Magnificent Tents of the Great Khan,"These exceed 10,000 in number, and are very beautiful and rich.",,,
316,1,PART 1,23,317,Magnificent Tents of the Great Khan,That in which he keeps his court is so large that 1000 knights can dwell in it; ,,,
317,1,PART 1,23,318,Magnificent Tents of the Great Khan,this is for his nobles and other attendants.,,,
318,1,PART 1,23,319,Magnificent Tents of the Great Khan,"He himself resides in another, looking westward, where those to whom he wishes to speak are introduced ; ",,,
319,1,PART 1,23,320,Magnificent Tents of the Great Khan,while there is an interior chamber in which he sleeps.,,,
320,1,PART 1,23,321,Magnificent Tents of the Great Khan,"The two halls have each three fine columns of aromatic wood, and are covered outwardly with beautiful lions' hides, all striped with black, white, and vermilion, so that water cannot enter.",,,wood
321,1,PART 1,23,322,Magnificent Tents of the Great Khan,"The inside is lined with skins of ermine and zibelline, of the highest value, especially the latter, of which a robe suitable for a man would be worth 2000 golden bezants, while a common one would be worth 1000.",,,
322,1,PART 1,23,323,Magnificent Tents of the Great Khan,"The Tartars call them royal skins, and they are as large as those of a fawn; the whole hall is covered with them, worked most delicately in intaglio.",,,Tartars
323,1,PART 1,23,324,Magnificent Tents of the Great Khan,"the whole hall is covered with them, worked most delicately in intaglio.",,,
324,1,PART 1,23,325,Magnificent Tents of the Great Khan,These apartments contain furniture of such value that a little king could not purchase them.,,,
325,1,PART 1,23,326,Magnificent Tents of the Great Khan,"Around are large tents for his ladies, and for his gerfalcons and other beasts and birds; ",,,
326,1,PART 1,23,327,Magnificent Tents of the Great Khan,"for he brings all his train, doctors, astronomers, hunters, and other officials, so that the whole appears a large and crowded city.",,,
327,1,PART 1,23,328,Magnificent Tents of the Great Khan,"He remains there till the feast of the Resurrection, during which time he does nothing but chase cranes, swans, and other birds, when those who catch any bring them to him, and thus the sport is beyond what any one can describe.",,,
328,1,PART 1,23,329,Magnificent Tents of the Great Khan,"No baron, nor lord, nor husbandman, can keep a dog or falcon for twenty days' journey round his residence ; ",,,
329,1,PART 1,23,330,Magnificent Tents of the Great Khan,beyond that distance they may do what they please.,,,
330,1,PART 1,23,331,Magnificent Tents of the Great Khan,"No person, too, of whatever condition, must, from March to October, take any game, but leave them to multiply their kind ;",,,
331,1,PART 1,23,332,Magnificent Tents of the Great Khan," so that hares and stags become so fearless as frequently to come up to men, yet are not taken.",,,
332,1,PART 1,23,333,Magnificent Tents of the Great Khan,"The great khan then returns to the city of Kambalu by the same road, hawking and sporting.",khan,Kambalu,Kambalu
333,1,PART 1,24,334,Hunting Palace at Shandu in Tartary,"At Shandu in Tartary, near the western frontier of China, he has built a very large palace of marble and other valuable stones.",,"Shandu,Tartary,China",China
334,1,PART 1,24,335,Hunting Palace at Shandu in Tartary,"The halls are gilded all over and wonderfully beautiful, and a space sixteen miles in circuit is surrounded by a wall, within which are fountains, rivers, and meadows.",,,
335,1,PART 1,24,336,Hunting Palace at Shandu in Tartary,"Here he finds stags, deer, and wild-goats to give for food to the falcons and gerfalcons, which he keeps in cages, and goes out once a-week to sport with them.",,,
336,1,PART 1,24,337,Hunting Palace at Shandu in Tartary,"Frequently he rides through that enclosure, having a leopard on the crupper of his horse, which, whenever he is inclined, he lets go, and it catches a stag, deer, or wild-goat, which is given to the gerfalcons in the cage.",,,
337,1,PART 1,24,338,Hunting Palace at Shandu in Tartary,"In this park, too, the monarch has a large palace framed of cane, the interior gilded all over, having pictures of beasts and birds most skilfully worked on it.",,,
338,1,PART 1,24,339,Hunting Palace at Shandu in Tartary,"The roof is of the same material, and so richly varnished that no water can penetrate.",,,
339,1,PART 1,24,340,Hunting Palace at Shandu in Tartary,"I assure you these canes are more than three palms thick, and from ten to fifteen paceslong.",,,
340,1,PART 1,24,341,Hunting Palace at Shandu in Tartary,"They are cut lengthways, from onc knot to the other, and then arranged so as to form the roof.",,,
341,1,PART 1,24,342,Hunting Palace at Shandu in Tartary,"The whole structure is so disposed that the khan, when he pleases, can order it to be taken down, for it is supported by more than 200 cords of silk.",khan,,
342,1,PART 1,24,343,Hunting Palace at Shandu in Tartary,"His majesty remains there three months of the year, June, July, and August, the situation being cool and agreeable ; ",,,
343,1,PART 1,24,344,Hunting Palace at Shandu in Tartary,"and during this period his palace of cane is set up, while all the rest of the year it is down.",,,
344,1,PART 1,24,345,Hunting Palace at Shandu in Tartary,"On the 28th of August, he departs thence, and for the following purpose :-There are a race of mares white as snow, with no mixture of any other colour, and in number 10,000, whose milk must not be drunk by any one who is not of imperial lineage.",,,
345,1,PART 1,24,346,Hunting Palace at Shandu in Tartary,"Only one other race of men can drink it, called Boriat, because they gained a victory for Gengis Khan.",Gengis Khan,,Gengis
346,1,PART 1,24,347,Hunting Palace at Shandu in Tartary,"When one of these white animals is passing, the Tartars pay respect to it as to a great lord, standing by to make way for it.",,,Tartars
347,1,PART 1,24,348,Hunting Palace at Shandu in Tartary,"The astrologers and idolaters, too, have told the khan, that on the 28th August this milk must be sprinkled through the air, and over the earth, that the spirits may drink plentifully, and may preserve all that belong to him, men, women, beasts, birds, and other things.",khan,,
348,1,PART 1,24,349,Hunting Palace at Shandu in Tartary,But there is a wonderful circumstance that I had forgotten.,,,
349,1,PART 1,24,350,Hunting Palace at Shandu in Tartary,"When the monarch remained in that palace, and there came on rain, fog, or any bad weather, he had skilful astronomers and enchanters, who made these mischiefs fly away from his palace, so that none of them could approach it.",,,
350,1,PART 1,24,351,Hunting Palace at Shandu in Tartary,"These wise men are called Tebet and Quesmur,they are idolaters, and more skilful in diabolical arts and enchantments than any other generation; ",,,Tebet
351,1,PART 1,24,352,Hunting Palace at Shandu in Tartary,"and though they do it by the art of the devil, they make other men believe that it is through their great sanctity and by the power of God.",,,
352,1,PART 1,24,353,Hunting Palace at Shandu in Tartary,"t I must tell you, too, another of their customs, that when any man is judged and condemned to death by his lord, they cook and eat him, but not when he dies a natural death.",,,
353,1,PART 1,24,354,Hunting Palace at Shandu in Tartary,"t I will tell you, too, a great wonder which these baksi do by their enchantments.",,,
354,1,PART 1,24,355,Hunting Palace at Shandu in Tartary,"When the monarch sits at table in his hall of state, and the cups are ten paces distant, full of wine, milk, and other beverages, they cause them, by their magical spells, to rise from the pavement and place themselves before the prince, without any one touching them ; ",,,
355,1,PART 1,24,356,Hunting Palace at Shandu in Tartary,"this is done in the presence of 10,000 men ; ",,,
356,1,PART 1,24,357,Hunting Palace at Shandu in Tartary,"and the fact is real and true, without any lie.",,,
357,1,PART 1,24,358,Hunting Palace at Shandu in Tartary,"These baksi, when the festivals of their idols come round, go to his majesty and say, "" Great sire, you know the feast of such an idol approaches, and are aware that he can cause bad weather and much mischief to your cattle and grain. We pray,therefore,that you will give us all the sheep with black heads,also incense, aloe-wood, and such and such other things.""",,,Great
358,1,PART 1,24,359,Hunting Palace at Shandu in Tartary,"We pray, therefore, that you will give us all the sheep with black heads, also incense, aloe-wood, and such and such other things‚Äù.",,,
359,1,PART 1,24,360,Hunting Palace at Shandu in Tartary,"This they tell to the barons, who repeat it to the khan, and he gives what they demand.",khan,,
360,1,PART 1,24,361,Hunting Palace at Shandu in Tartary,"Then they goto the image and raise in his presence a delicious fragrance, with incense and spices, cook the flesh, and place it with bread before him.",,,
361,1,PART 1,24,362,Hunting Palace at Shandu in Tartary,Thus every god has his day of commemoration in the same manner as our saints.,,,
362,1,PART 1,24,363,Hunting Palace at Shandu in Tartary,"They have also extensive abbeys and monasteries, one of which here resembles a little city, containing upwards of 2000 monks, who are clothed in a particular dress, which is handsomer than that of other men.",,,
